PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
66049,LAquila,,1,660490000001,4,Piazza monumentale,5,Edifici pubblici e servizi,4,,True,39.77,39.89,39.86,40.04,41.99,42.19,42.14,42.39,40.17,40.63,40.68,41.04,42.64,42.99,42.95,43.17,40.65,41.25,41.33,41.69,39.93,40.48,40.51,40.93,38.44,38.71,38.68,39.12,45.17,45.46,45.38,46.05
66049,LAquila,,2,660490000002,1,Residenziale,1,Tessuto urbano continuo,12,,True,39.42,39.53,39.53,39.64,42.02,42.1,42.1,42.18,39.47,39.47,39.47,39.48,42.21,42.28,42.28,42.34,39.91,39.93,39.93,39.96,41.83,41.95,41.95,42.07,40.78,40.87,40.87,40.95,45.59,45.62,45.62,45.66
66049,LAquila,,3,660490000003,1,Residenziale,1,Tessuto urbano continuo,24,,True,38.86,39.19,39.26,39.53,41.44,41.68,41.71,42.04,38.87,39.08,39.08,39.33,41.83,42.04,42.08,42.25,39.24,39.55,39.53,39.78,41.78,41.96,42.01,42.16,39.98,40.34,40.32,40.68,45.45,46.22,46.34,46.62
66049,LAquila,,4,660490000004,1,Residenziale,1,Tessuto urbano continuo,2,,True,37.05,38.77,38.95,39.58,40.93,41.38,41.34,41.91,38.55,38.92,38.92,39.34,41.63,41.91,41.9,42.25,39.39,39.75,39.84,40.01,41.59,41.86,41.88,42.13,40.07,40.53,40.65,40.94,45.32,45.77,45.7,46.12
66049,LAquila,,5,660490000005,1,Residenziale,1,Tessuto urbano continuo,28,,True,38.44,38.92,38.99,39.15,40.6,41.14,41.22,41.47,38.42,39.02,39.16,39.61,41.55,42.0,42.13,42.2,39.16,39.72,39.91,39.99,41.41,41.75,41.81,42.07,39.81,40.37,40.49,40.74,44.74,45.45,45.49,46.68
66049,LAquila,,6,660490000006,1,Residenziale,1,Tessuto urbano continuo,26,,True,38.82,38.9,38.92,38.96,40.98,41.16,41.15,41.32,38.96,39.26,39.31,39.62,41.92,42.1,42.15,42.26,39.6,40.27,40.21,40.85,41.67,41.82,41.84,41.89,39.8,40.19,40.2,40.52,44.85,45.23,45.26,45.51
66049,LAquila,,7,660490000007,1,Residenziale,1,Tessuto urbano continuo,11,,True,37.17,38.86,39.61,39.8,41.68,41.8,41.77,41.95,40.37,40.47,40.39,40.66,42.74,42.85,42.87,42.94,39.97,40.22,40.02,40.66,41.03,41.28,41.25,41.56,39.15,39.44,39.5,39.66,44.53,45.43,45.26,46.5
66049,LAquila,,8,660490000008,1,Residenziale,1,Tessuto urbano continuo,16,,True,37.21,38.93,38.85,41.11,41.08,41.24,41.15,41.81,39.19,39.54,39.4,40.36,41.89,42.17,42.1,42.69,39.16,39.68,39.57,40.68,41.52,41.71,41.69,42.06,39.71,39.97,39.94,40.26,44.58,44.9,44.83,45.31
66049,LAquila,,9,660490000009,1,Residenziale,1,Tessuto urbano continuo,2,,True,41.52,41.52,41.52,41.52,41.64,41.64,41.64,41.64,40.32,40.32,40.32,40.32,42.68,42.68,42.68,42.68,40.0,40.0,40.0,40.0,41.86,41.86,41.86,41.86,39.92,39.92,39.92,39.92,45.27,45.27,45.27,45.27
66049,LAquila,,10,660490000010,1,Residenziale,1,Tessuto urbano continuo,6,,True,37.29,38.4,37.39,41.52,41.64,41.81,41.82,41.96,40.32,40.46,40.48,40.58,42.68,42.72,42.69,42.83,39.89,40.02,39.99,40.2,41.48,41.82,41.83,42.14,39.43,39.86,39.87,40.29,44.8,45.1,45.15,45.29
