PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
59011,Latina,,1,590110000001,1,Residenziale,1,Tessuto urbano continuo,110,8806.3,True,45.06,45.35,45.37,45.71,44.4,44.96,44.98,45.51,40.74,41.14,41.14,41.6,46.29,46.62,46.56,46.94,44.17,44.85,44.92,45.35,44.27,44.66,44.59,44.96,44.99,45.35,45.32,45.56,47.74,48.25,48.24,48.55
59011,Latina,,2,590110000002,1,Residenziale,1,Tessuto urbano continuo,75,6426.9,True,45.3,45.7,45.68,45.97,44.71,45.05,45.0,45.36,41.3,41.82,41.81,42.34,46.67,46.81,46.78,47.06,44.61,44.89,44.87,45.11,44.81,45.1,45.09,45.42,45.27,45.42,45.36,45.68,48.35,48.52,48.49,48.68
59011,Latina,,3,590110000003,37,Scuole/istituti,5,Edifici pubblici e servizi,0,7252.1,True,45.22,45.66,45.6,46.23,44.61,44.95,44.96,45.17,41.25,41.82,42.05,42.31,46.62,46.75,46.77,46.87,44.22,44.72,44.82,44.94,44.31,44.62,44.57,45.1,45.24,45.32,45.3,45.44,48.17,48.35,48.34,48.57
59011,Latina,,4,590110000004,1,Residenziale,1,Tessuto urbano continuo,63,6025.4,True,45.14,45.51,45.32,46.12,44.23,44.39,44.35,44.61,41.15,41.3,41.24,41.74,46.35,46.6,46.55,46.78,43.81,44.01,44.03,44.22,43.9,44.42,44.42,44.74,44.8,45.26,45.3,45.43,47.78,48.21,48.2,48.52
59011,Latina,,5,590110000005,1,Residenziale,1,Tessuto urbano continuo,58,6520.6,True,43.98,44.59,44.71,45.08,43.56,44.28,44.32,44.7,40.13,40.68,40.77,41.03,45.58,46.04,46.12,46.36,43.8,44.43,44.45,44.72,43.41,44.22,44.21,44.6,44.02,44.8,44.86,45.25,46.82,47.84,47.99,48.34
59011,Latina,,6,590110000006,1,Residenziale,1,Tessuto urbano continuo,105,10876.5,True,44.6,45.25,45.06,46.03,44.03,44.45,44.47,44.83,40.65,41.26,41.24,41.92,46.07,46.56,46.53,46.98,44.16,44.36,44.35,44.59,44.24,44.6,44.59,44.92,44.26,45.14,45.23,45.44,48.21,48.6,48.65,48.98
59011,Latina,,7,590110000007,1,Residenziale,1,Tessuto urbano continuo,90,6059.3,True,44.2,44.77,44.63,45.58,43.65,43.91,43.92,44.18,41.42,41.57,41.59,41.69,45.84,46.15,46.16,46.48,43.78,43.88,43.83,44.12,43.88,44.07,44.04,44.26,44.26,44.54,44.59,44.84,47.21,47.49,47.49,47.99
59011,Latina,,8,590110000008,18,Universita/ricerca,5,Edifici pubblici e servizi,26,13551.1,True,44.28,44.95,45.02,45.25,44.16,44.78,44.82,45.35,41.48,41.93,41.96,42.26,45.95,46.39,46.36,46.8,43.41,44.1,44.11,44.54,43.89,44.21,44.18,44.57,44.22,44.84,44.88,45.39,47.2,47.6,47.61,47.89
59011,Latina,,9,590110000009,1,Residenziale,1,Tessuto urbano continuo,274,11661.1,True,44.14,45.13,45.12,45.95,43.37,44.28,44.35,45.1,39.6,41.16,41.49,42.37,45.26,46.27,46.3,46.95,42.37,43.4,43.32,44.31,42.86,44.03,44.2,44.77,43.79,44.53,44.68,45.19,46.89,47.37,47.38,47.74
59011,Latina,,10,590110000010,1,Residenziale,1,Tessuto urbano continuo,64,9219.6,True,44.68,45.31,45.31,45.75,43.7,44.54,44.54,45.04,40.09,41.28,41.44,41.65,44.91,45.91,46.25,46.57,43.04,44.08,44.13,44.47,42.67,43.5,43.44,44.33,43.76,44.27,44.32,44.71,47.04,47.32,47.34,47.68
59011,Latina,,11,590110000011,1,Residenziale,1,Tessuto urbano continuo,338,9320.0,True,42.77,43.31,43.3,43.85,42.36,42.94,42.91,43.6,38.58,39.31,39.2,40.56,44.19,44.91,44.99,45.53,42.53,43.15,43.1,43.76,42.13,42.91,42.97,43.65,42.65,43.41,43.5,44.18,45.56,46.43,46.47,47.39
59011,Latina,,12,590110000012,1,Residenziale,1,Tessuto urbano continuo,162,8644.4,True,43.57,44.13,44.18,44.72,43.03,43.45,43.48,43.91,40.28,41.05,41.16,41.58,45.51,45.9,45.87,46.48,43.39,43.81,43.81,44.13,43.56,43.88,43.9,44.16,43.92,44.36,44.34,44.84,47.1,47.45,47.36,47.99
59011,Latina,,13,590110000013,1,Residenziale,1,Tessuto urbano continuo,297,15887.0,True,43.61,44.31,44.27,45.09,43.07,44.0,43.83,45.3,40.62,41.22,41.16,41.91,45.41,46.01,45.83,46.9,43.2,43.74,43.64,44.54,43.29,43.84,43.85,44.39,43.97,44.36,44.28,45.04,47.2,47.44,47.45,47.75
59011,Latina,,14,590110000014,37,Scuole/istituti,5,Edifici pubblici e servizi,0,8743.9,True,44.34,44.68,44.6,45.32,43.79,44.12,44.03,44.72,40.96,41.36,41.29,42.11,45.71,46.07,46.09,46.49,43.29,43.57,43.46,44.16,43.74,43.94,43.94,44.24,44.34,44.6,44.6,44.92,47.35,47.61,47.57,48.12
59011,Latina,,15,590110000015,1,Residenziale,1,Tessuto urbano continuo,132,9820.9,True,44.12,44.72,44.65,45.59,42.89,43.85,43.78,45.13,40.24,41.27,41.21,42.42,45.01,45.83,45.74,47.05,42.91,43.66,43.52,44.74,42.74,43.52,43.53,44.4,43.23,43.97,43.94,44.88,46.59,47.36,47.32,48.38
59011,Latina,,16,590110000016,1,Residenziale,1,Tessuto urbano continuo,441,8861.3,True,42.74,43.28,43.23,43.91,42.27,42.67,42.67,43.07,38.58,39.77,39.66,40.62,44.14,44.59,44.53,45.41,42.39,42.65,42.59,43.22,42.02,42.42,42.13,43.29,42.52,43.1,42.84,43.99,45.56,46.3,46.12,47.29
59011,Latina,,17,590110000017,1,Residenziale,1,Tessuto urbano continuo,57,7222.7,True,43.34,44.17,43.95,45.11,43.36,44.23,44.11,45.11,39.72,40.34,40.09,41.17,45.44,45.91,45.75,46.75,42.94,43.62,43.4,44.48,43.16,43.84,43.7,44.6,42.68,43.93,43.83,45.0,46.68,47.25,47.0,48.12
59011,Latina,,18,590110000018,5,Area verde/parco urbano,7,Verde urbano,0,2374.3,False,45.09,45.57,45.52,45.93,44.91,45.18,45.15,45.56,41.3,41.49,41.57,41.66,46.46,46.77,46.83,47.06,44.42,44.71,44.71,45.05,44.73,45.04,45.1,45.34,44.92,45.3,45.51,45.54,48.27,48.54,48.65,48.74
59011,Latina,,19,590110000019,37,Scuole/istituti,5,Edifici pubblici e servizi,0,6316.7,True,43.16,44.28,43.99,45.48,43.19,44.09,43.82,45.15,39.73,40.61,40.42,41.3,45.17,45.75,45.34,46.64,42.89,43.67,43.34,44.51,43.29,43.95,43.61,44.8,42.67,43.76,43.83,45.01,46.35,47.26,46.87,48.31
59011,Latina,,20,590110000020,1,Residenziale,1,Tessuto urbano continuo,55,7288.6,True,43.99,45.02,45.0,45.9,43.18,44.05,44.26,44.63,40.42,41.26,41.35,41.96,45.27,46.15,46.21,47.02,43.04,44.06,44.1,44.82,43.53,44.45,44.37,45.37,43.83,44.7,44.68,45.65,46.54,47.7,47.71,48.68
59011,Latina,,21,590110000021,4,Piazza monumentale,5,Edifici pubblici e servizi,0,8078.9,True,45.12,45.73,45.8,46.07,44.33,44.55,44.56,44.78,41.15,41.63,41.7,41.94,46.33,46.84,46.89,47.12,44.13,44.67,44.69,45.09,44.2,44.96,45.17,45.37,44.63,45.33,45.53,45.76,47.65,48.36,48.45,48.63
59011,Latina,,22,590110000022,1,Residenziale,1,Tessuto urbano continuo,67,8552.0,True,43.02,43.95,44.04,44.37,41.8,43.0,42.97,43.75,38.58,39.9,40.1,40.43,43.9,45.1,45.22,45.55,41.03,42.71,42.81,43.36,41.23,43.03,43.27,43.71,42.36,43.61,43.83,43.99,44.13,45.88,45.99,46.64
59011,Latina,,23,590110000023,1,Residenziale,1,Tessuto urbano continuo,66,8092.2,True,43.16,43.54,43.56,44.0,42.1,42.76,42.76,43.36,38.71,39.36,39.33,39.83,44.29,44.62,44.6,45.01,41.6,42.43,42.49,43.1,41.73,42.47,42.52,42.8,42.64,42.98,43.03,43.4,44.57,45.7,45.59,46.79
59011,Latina,,24,590110000024,8,Caserma,5,Edifici pubblici e servizi,0,12838.0,True,43.79,44.66,44.66,46.0,42.89,43.75,43.8,44.75,39.34,40.25,40.16,41.67,44.36,45.45,45.27,46.94,42.25,43.37,43.19,44.9,42.96,43.85,44.03,44.83,43.22,44.16,44.18,45.32,46.8,47.55,47.62,48.62
59011,Latina,,25,590110000025,5,Area verde/parco urbano,7,Verde urbano,0,81884.9,True,40.47,42.19,42.2,44.65,40.21,41.59,41.38,44.22,36.83,38.58,38.44,40.66,41.25,43.03,42.89,46.04,37.97,40.14,40.01,43.5,38.59,40.64,40.48,44.31,38.51,40.43,40.25,43.44,39.96,42.69,42.7,47.23
59011,Latina,,26,590110000026,1,Residenziale,1,Tessuto urbano continuo,88,9531.3,True,45.05,45.55,45.58,45.92,43.7,44.49,44.51,45.13,41.0,41.84,41.89,42.33,45.73,46.46,46.49,46.85,44.45,44.95,44.94,45.23,44.22,44.82,44.95,45.18,44.66,45.24,45.32,45.56,47.61,48.2,48.19,48.61
59011,Latina,,27,590110000027,1,Residenziale,1,Tessuto urbano continuo,53,4550.7,False,44.59,44.93,44.95,45.6,43.76,44.16,44.13,44.68,40.04,40.54,40.25,41.63,45.34,45.84,45.76,46.57,43.73,44.21,44.16,44.87,43.78,44.24,44.19,44.87,44.25,44.62,44.58,45.24,47.08,47.62,47.55,48.33
59011,Latina,,28,590110000028,1,Residenziale,1,Tessuto urbano continuo,12,2745.8,False,45.07,45.63,45.76,45.88,44.44,44.63,44.67,44.78,40.57,41.41,41.61,41.89,46.18,46.62,46.62,46.89,44.13,44.8,44.87,45.22,44.54,44.91,44.87,45.15,44.77,45.28,45.27,45.56,47.98,48.34,48.41,48.52
59011,Latina,,29,590110000029,1,Residenziale,1,Tessuto urbano continuo,15,3863.8,False,45.25,45.39,45.39,45.52,44.46,44.53,44.54,44.61,40.56,40.73,40.75,40.81,46.13,46.31,46.33,46.39,43.48,43.83,43.89,44.07,44.21,44.33,44.34,44.45,44.75,44.87,44.87,44.95,47.81,48.08,48.1,48.25
59011,Latina,,30,590110000030,37,Scuole/istituti,5,Edifici pubblici e servizi,0,3826.6,False,45.17,45.27,45.26,45.4,44.18,44.36,44.4,44.53,40.15,40.46,40.52,40.72,45.92,46.05,46.05,46.22,42.98,43.29,43.37,43.5,43.48,43.92,44.0,44.29,44.31,44.58,44.64,44.81,47.27,47.54,47.58,47.76
59011,Latina,,31,590110000031,5,Area verde/parco urbano,7,Verde urbano,0,7230.3,True,44.25,44.64,44.63,45.15,43.22,43.79,43.87,44.42,38.98,39.6,39.64,40.3,44.48,45.19,45.27,45.93,42.13,42.79,42.8,43.56,42.49,43.08,43.2,44.16,43.0,43.59,43.67,44.54,46.37,46.85,46.91,47.61
59011,Latina,,32,590110000032,1,Residenziale,1,Tessuto urbano continuo,154,6393.8,True,43.47,43.82,43.71,44.08,42.67,42.97,43.1,43.17,38.94,39.3,39.36,39.57,44.04,44.38,44.26,44.78,41.95,42.32,42.39,42.64,42.37,42.69,42.62,42.99,42.72,43.06,42.9,43.46,46.0,46.17,46.16,46.27
59011,Latina,,33,590110000033,1,Residenziale,1,Tessuto urbano continuo,199,9734.6,True,43.47,44.15,44.28,44.58,43.1,43.36,43.41,43.56,38.77,39.12,39.09,39.56,44.2,44.59,44.67,44.99,41.99,42.16,42.09,42.58,42.32,42.58,42.56,42.94,42.86,43.1,43.12,43.49,45.99,46.17,46.14,46.51
