PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
75035,Lecce,,1,750350000001,1,Residenziale,1,Tessuto urbano continuo,37,11598.0,True,39.27,40.3,40.25,41.85,38.71,40.62,40.18,42.46,40.24,42.1,42.23,42.82,41.9,42.53,42.53,43.0,38.99,39.55,39.61,40.0,42.25,42.66,42.69,42.92,40.51,41.0,40.99,41.35,42.54,43.23,43.21,43.67
75035,Lecce,,2,750350000002,5,Area verde/parco urbano,7,Verde urbano,0,39426.4,True,36.92,38.28,38.32,39.87,36.78,37.82,37.88,39.43,39.4,40.69,40.78,42.4,40.06,41.17,41.13,42.76,37.17,38.34,38.34,39.56,40.16,41.41,41.35,43.01,38.79,39.96,40.07,41.18,39.8,41.27,41.37,42.87
75035,Lecce,,3,750350000003,1,Residenziale,1,Tessuto urbano continuo,47,18558.0,True,39.52,40.49,40.61,41.29,39.11,41.35,41.41,44.53,39.68,42.46,42.77,43.72,42.27,43.33,43.46,44.78,39.25,39.95,39.88,40.66,42.75,43.56,43.5,44.58,41.13,41.75,41.72,42.58,42.52,43.51,43.49,44.49
75035,Lecce,,4,750350000004,3,Monumento/palazzo storico,5,Edifici pubblici e servizi,0,29551.5,True,40.92,41.53,41.47,43.07,38.25,41.17,41.4,43.36,42.99,43.94,44.0,44.5,43.05,44.41,44.54,45.54,40.31,40.86,40.87,41.33,44.16,44.98,45.04,45.5,41.2,42.33,42.41,42.91,43.42,44.25,44.35,44.72
75035,Lecce,,5,750350000005,1,Residenziale,1,Tessuto urbano continuo,25,15556.8,True,40.89,41.81,41.73,43.96,39.9,42.03,41.62,44.62,43.39,44.35,44.46,44.81,43.11,44.21,44.37,45.01,39.5,40.63,40.65,41.56,43.59,44.5,44.56,45.4,41.07,42.08,42.08,43.14,43.17,44.04,44.03,45.02
75035,Lecce,,6,750350000006,1,Residenziale,1,Tessuto urbano continuo,58,11830.9,True,40.65,41.06,40.79,42.44,37.34,39.94,40.04,42.17,41.12,43.14,43.13,43.98,42.87,43.35,43.17,44.34,39.72,40.41,40.23,41.27,43.7,44.4,44.34,45.26,41.41,41.87,41.8,42.54,43.36,43.65,43.52,44.36
75035,Lecce,,7,750350000007,1,Residenziale,1,Tessuto urbano continuo,10,2398.4,False,40.47,40.72,40.73,40.97,41.62,41.69,41.69,41.76,42.36,42.73,42.79,43.01,42.68,42.73,42.73,42.77,39.32,39.49,39.5,39.65,42.94,43.16,43.11,43.47,40.4,40.7,40.67,41.05,42.68,43.0,43.02,43.29
75035,Lecce,,8,750350000008,1,Residenziale,1,Tessuto urbano continuo,34,2944.2,False,40.15,40.34,40.38,40.43,39.52,41.08,41.55,41.7,42.01,42.26,42.31,42.39,42.64,43.0,43.03,43.3,39.57,39.71,39.74,39.81,43.13,43.32,43.34,43.46,40.95,40.99,41.0,41.02,42.88,42.89,42.89,42.91
75035,Lecce,,9,750350000009,1,Residenziale,1,Tessuto urbano continuo,55,3417.5,False,40.25,40.54,40.52,40.78,39.64,39.88,39.86,40.07,40.24,42.29,42.67,42.96,42.57,42.65,42.67,42.7,39.64,39.75,39.75,39.86,42.7,42.94,42.95,43.25,41.11,41.25,41.22,41.35,43.38,43.51,43.52,43.64
75035,Lecce,,10,750350000010,1,Residenziale,1,Tessuto urbano continuo,33,4625.5,False,40.38,40.59,40.61,40.84,39.88,40.71,40.04,42.28,40.47,42.34,42.63,43.0,42.79,43.0,42.91,43.42,39.69,39.84,39.85,40.0,43.26,43.54,43.55,43.83,40.99,41.16,41.18,41.36,43.09,43.3,43.35,43.51
75035,Lecce,,11,750350000011,1,Residenziale,1,Tessuto urbano continuo,32,4157.8,False,40.75,41.02,41.05,41.26,42.48,42.59,42.58,42.7,42.8,43.0,43.01,43.2,42.79,43.01,43.04,43.14,39.83,39.95,39.98,40.07,42.76,42.92,42.9,43.12,41.25,41.34,41.34,41.46,43.67,43.76,43.76,43.86
75035,Lecce,,12,750350000012,1,Residenziale,1,Tessuto urbano continuo,131,9742.0,True,41.39,41.62,41.61,41.85,38.15,41.52,41.69,42.89,43.51,43.78,43.82,43.99,43.66,43.94,43.91,44.3,40.02,40.3,40.33,40.51,44.04,44.25,44.2,44.49,41.82,42.03,42.03,42.22,43.98,44.15,44.14,44.35
75035,Lecce,,13,750350000013,1,Residenziale,1,Tessuto urbano continuo,70,10032.8,True,41.3,41.76,41.6,42.48,40.6,42.24,42.74,43.88,43.52,43.93,43.86,44.52,43.31,44.09,43.95,45.15,40.22,40.68,40.58,41.34,43.77,44.32,44.17,44.98,41.78,42.16,42.02,42.85,43.95,44.36,44.18,45.1
75035,Lecce,,14,750350000014,1,Residenziale,1,Tessuto urbano continuo,55,6745.5,True,41.16,41.95,42.28,42.48,40.5,42.27,42.55,43.69,43.13,43.93,44.26,44.5,43.11,43.72,44.14,44.27,40.1,40.78,41.1,41.33,42.97,43.74,44.09,44.25,41.43,42.15,42.47,42.72,43.8,44.48,44.84,45.04
75035,Lecce,,15,750350000015,1,Residenziale,1,Tessuto urbano continuo,46,4229.4,False,41.72,41.98,42.0,42.18,41.68,43.12,43.54,43.54,43.81,44.08,44.06,44.32,43.91,44.16,44.16,44.37,41.05,41.27,41.19,41.51,43.96,44.1,44.03,44.25,42.44,42.6,42.56,42.77,44.67,44.9,44.86,45.12
75035,Lecce,,16,750350000016,37,Scuole/istituti,5,Edifici pubblici e servizi,0,7391.9,True,39.91,41.38,41.65,42.48,39.29,41.09,41.38,42.47,42.34,43.63,43.83,44.73,42.42,43.71,43.87,45.0,39.72,40.83,41.02,41.89,42.63,43.91,44.1,45.05,41.62,42.47,42.62,43.37,43.03,44.28,44.68,45.05
75035,Lecce,,17,750350000017,1,Residenziale,1,Tessuto urbano continuo,78,26499.2,True,41.28,42.02,41.99,42.64,40.5,42.04,41.8,44.58,43.33,44.23,44.22,45.02,43.59,45.17,45.27,46.28,40.57,41.82,41.93,42.72,43.75,45.08,45.11,45.91,42.08,42.93,42.98,43.71,43.93,44.71,44.68,45.46
75035,Lecce,,18,750350000018,1,Residenziale,1,Tessuto urbano continuo,131,10453.4,True,41.29,41.57,41.54,42.2,40.27,42.44,42.54,43.0,43.48,43.79,43.79,44.51,43.33,44.05,43.97,44.87,40.3,40.81,40.59,41.75,43.66,44.28,44.26,45.15,41.88,42.26,42.1,43.04,43.71,44.09,43.92,44.84
75035,Lecce,,19,750350000019,1,Residenziale,1,Tessuto urbano continuo,84,9845.5,True,38.98,40.17,40.3,41.98,37.94,40.7,41.07,42.89,41.54,42.53,42.61,43.81,41.6,42.67,42.75,43.96,38.52,39.75,39.86,41.19,42.15,43.33,43.5,44.93,40.65,41.5,41.54,42.53,41.66,43.02,43.22,44.55
75035,Lecce,,20,750350000020,1,Residenziale,1,Tessuto urbano continuo,205,12398.0,True,39.63,41.05,41.27,43.04,38.51,42.09,42.24,45.35,41.49,42.96,42.87,44.11,42.21,43.37,43.55,44.5,39.08,40.32,40.34,42.07,42.91,44.1,44.33,45.32,41.2,42.13,42.25,43.13,42.28,43.45,43.62,44.71
75035,Lecce,,21,750350000021,1,Residenziale,1,Tessuto urbano continuo,23,1628.1,False,40.65,40.75,40.75,40.84,42.05,42.13,42.15,42.17,43.14,43.26,43.27,43.36,43.22,43.33,43.35,43.39,39.71,39.76,39.77,39.8,43.54,43.65,43.65,43.75,41.15,41.24,41.16,41.48,43.21,43.28,43.29,43.33
75035,Lecce,,22,750350000022,1,Residenziale,1,Tessuto urbano continuo,71,7923.9,True,40.91,41.41,41.38,42.7,40.4,42.33,42.61,44.56,42.86,43.26,43.27,43.47,43.23,43.48,43.56,43.73,40.11,40.44,40.56,40.67,44.38,44.53,44.55,44.83,41.92,42.19,42.22,42.42,43.8,43.94,43.92,44.17
75035,Lecce,,23,750350000023,1,Residenziale,1,Tessuto urbano continuo,24,3073.7,False,40.7,40.82,40.81,40.95,41.81,42.49,41.92,44.29,43.02,43.08,43.07,43.16,42.83,42.93,42.89,43.09,39.36,39.63,39.66,39.85,43.48,43.79,43.78,44.13,40.92,41.15,41.12,41.43,43.0,43.2,43.19,43.42
75035,Lecce,,24,750350000024,1,Residenziale,1,Tessuto urbano continuo,30,4251.7,False,41.44,42.01,41.49,43.1,40.14,40.66,40.29,42.44,43.7,43.8,43.77,44.06,43.22,43.47,43.38,44.07,40.0,40.12,40.03,40.62,43.75,43.88,43.85,44.13,41.44,41.49,41.46,41.63,43.52,43.54,43.52,43.6
75035,Lecce,,25,750350000025,1,Residenziale,1,Tessuto urbano continuo,121,7644.8,True,40.41,41.26,40.94,42.47,41.78,42.99,43.46,44.31,42.21,42.77,42.59,43.7,42.71,42.94,42.87,43.66,39.52,39.7,39.65,40.0,43.6,43.76,43.76,43.92,40.88,41.06,41.02,41.5,42.66,43.04,43.01,43.59
75035,Lecce,,26,750350000026,1,Residenziale,1,Tessuto urbano continuo,48,5027.7,True,42.26,42.4,42.35,42.57,42.21,43.38,43.95,44.24,42.59,42.95,42.85,43.32,43.16,43.36,43.19,43.92,39.7,39.92,39.97,40.06,43.71,43.78,43.79,43.87,41.22,41.36,41.27,41.64,43.09,43.13,43.14,43.15
75035,Lecce,,27,750350000027,1,Residenziale,1,Tessuto urbano continuo,106,19435.4,True,39.87,41.8,41.78,43.08,39.89,41.18,41.29,42.29,41.41,42.68,42.9,44.41,42.05,43.22,43.37,44.93,38.4,39.42,39.46,41.01,42.73,43.39,43.44,44.48,40.26,41.15,41.18,42.38,42.2,42.93,43.05,44.04
75035,Lecce,,28,750350000028,1,Residenziale,1,Tessuto urbano continuo,146,14134.0,True,40.02,41.61,41.92,42.31,39.66,41.27,41.37,42.18,40.15,42.34,42.29,42.99,41.97,42.52,42.5,43.29,39.08,39.52,39.52,40.2,43.06,43.55,43.48,44.1,40.59,41.16,41.14,41.65,42.64,42.97,42.93,43.45
75035,Lecce,,29,750350000029,1,Residenziale,1,Tessuto urbano continuo,85,13677.4,True,40.12,40.91,40.64,43.06,39.67,41.41,42.18,42.69,40.93,42.69,43.04,43.61,42.69,43.15,43.12,43.73,39.79,40.29,40.26,40.91,43.74,44.25,44.2,44.82,41.17,41.8,41.82,42.35,43.06,43.62,43.57,44.11
75035,Lecce,,30,750350000030,1,Residenziale,1,Tessuto urbano continuo,40,6255.0,True,38.55,40.79,41.0,41.33,38.7,42.02,42.93,43.17,40.47,42.38,43.22,43.89,41.59,43.03,43.58,43.97,38.72,40.08,40.72,41.54,42.33,43.69,44.4,44.94,40.25,41.41,42.09,42.64,41.48,43.11,43.88,44.45
75035,Lecce,,31,750350000031,1,Residenziale,1,Tessuto urbano continuo,47,5563.6,True,40.13,41.44,41.67,42.6,38.9,41.34,41.38,42.63,40.02,42.04,42.39,43.3,42.1,42.84,42.4,43.62,39.53,40.12,39.61,41.35,43.22,44.0,43.64,44.73,40.95,41.47,41.1,42.05,42.45,43.05,42.71,43.69
75035,Lecce,,32,750350000032,1,Residenziale,1,Tessuto urbano continuo,31,1681.0,False,41.54,41.56,41.56,41.59,42.79,42.8,42.8,42.81,44.08,44.13,44.13,44.17,43.89,43.91,43.91,43.92,40.9,40.92,40.92,40.93,44.26,44.3,44.3,44.34,42.6,42.63,42.63,42.67,44.19,44.22,44.22,44.26
75035,Lecce,,33,750350000033,1,Residenziale,1,Tessuto urbano continuo,12,1325.2,False,40.95,40.95,40.95,40.95,40.02,40.02,40.02,40.02,43.39,43.39,43.39,43.39,43.15,43.15,43.15,43.15,40.08,40.08,40.08,40.08,43.67,43.67,43.67,43.67,41.48,41.48,41.48,41.48,43.74,43.74,43.74,43.74
75035,Lecce,,34,750350000034,1,Residenziale,1,Tessuto urbano continuo,140,17049.2,True,40.7,41.1,40.99,42.13,40.19,41.38,41.38,42.85,43.14,43.53,43.43,44.59,42.85,43.04,43.01,43.62,39.99,40.27,40.22,40.88,43.52,43.98,43.88,45.12,41.37,41.81,41.72,42.65,43.47,43.83,43.73,44.65
