PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
97042,Lecco,,1,970420000001,1,Residenziale,1,Tessuto urbano continuo,284,,True,37.94,38.87,39.02,39.67,39.88,40.88,41.08,41.45,37.72,38.24,38.26,38.81,43.73,44.31,44.26,44.98,42.48,42.93,42.9,43.58,41.98,42.84,42.94,43.38,39.13,40.03,40.07,40.46,43.8,44.6,44.61,45.12
97042,Lecco,,2,970420000002,1,Residenziale,1,Tessuto urbano continuo,305,,True,37.72,38.13,38.08,38.73,39.36,39.9,39.91,40.41,37.52,38.03,37.88,38.87,43.6,44.42,44.24,45.81,41.99,42.79,42.75,43.63,41.77,42.67,42.58,43.75,38.84,39.74,39.77,40.51,43.36,43.98,43.97,44.74
97042,Lecco,,3,970420000003,1,Residenziale,1,Tessuto urbano continuo,5,,True,36.91,37.54,37.61,38.04,38.07,38.98,38.95,39.9,37.04,37.58,37.63,38.19,43.76,44.26,44.26,44.94,41.67,42.26,42.29,42.85,41.98,42.38,42.44,42.75,39.17,39.55,39.5,39.92,42.58,43.31,43.28,44.14
97042,Lecco,,4,970420000004,1,Residenziale,1,Tessuto urbano continuo,272,,True,37.25,38.71,38.97,39.42,39.4,40.55,40.69,41.14,36.71,37.65,37.84,38.27,41.97,43.84,44.13,44.99,40.68,42.24,42.42,43.24,41.73,42.81,42.95,43.38,39.1,39.91,40.07,40.55,42.61,44.06,44.36,44.85
97042,Lecco,,5,970420000005,1,Residenziale,1,Tessuto urbano continuo,225,,True,36.86,37.78,37.89,38.38,39.33,40.49,40.63,41.02,37.25,37.69,37.64,38.16,43.31,44.36,44.43,44.83,42.03,42.68,42.73,43.11,41.99,42.66,42.76,43.23,39.8,40.18,40.18,40.61,43.63,44.3,44.36,44.72
97042,Lecco,,6,970420000006,1,Residenziale,1,Tessuto urbano continuo,100,,True,35.6,36.07,35.88,37.05,38.12,38.93,39.22,39.58,35.25,35.88,36.11,36.34,40.73,41.14,41.19,41.66,39.21,39.84,39.85,40.36,40.34,41.06,41.18,41.73,37.58,38.37,38.49,38.86,41.14,42.09,42.25,42.49
97042,Lecco,,7,970420000007,1,Residenziale,1,Tessuto urbano continuo,236,,True,30.26,34.02,33.58,36.79,31.45,35.99,35.57,39.33,30.05,33.53,33.1,36.13,33.35,38.34,37.85,41.51,32.86,37.14,36.69,40.2,33.06,38.05,37.72,41.44,31.43,35.49,35.05,38.52,34.0,38.64,38.14,42.21
97042,Lecco,,8,970420000008,15,Cimitero,5,Edifici pubblici e servizi,0,,True,34.96,36.08,35.91,37.34,37.3,38.93,38.88,40.58,34.88,36.18,36.12,37.36,39.79,41.3,41.29,42.93,39.22,41.04,41.03,42.58,39.61,40.88,40.79,42.5,37.26,38.52,38.49,40.0,40.68,42.51,42.53,44.31
97042,Lecco,,9,970420000009,1,Residenziale,1,Tessuto urbano continuo,80,,True,29.53,32.3,32.51,34.43,30.32,33.36,33.69,36.08,29.02,31.64,32.09,34.1,33.38,36.56,37.07,39.44,32.36,35.41,35.87,38.18,32.02,35.3,35.76,38.43,30.16,33.09,33.18,35.77,32.55,35.87,36.28,38.52
97042,Lecco,,10,970420000010,1,Residenziale,1,Tessuto urbano continuo,34,,True,38.81,39.28,39.31,39.79,40.31,41.06,41.14,41.57,37.94,38.44,38.48,38.92,44.07,44.55,44.51,45.04,41.74,42.46,42.51,43.28,42.18,42.77,42.82,43.23,39.2,39.8,39.76,40.37,43.92,44.6,44.54,45.26
