PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
49009,Livorno,,1,490090000001,1,Residenziale,1,Tessuto urbano continuo,43,,True,40.67,41.59,41.66,42.3,40.18,40.8,40.77,41.46,41.76,42.04,42.11,42.4,43.19,43.78,43.83,44.49,42.31,42.74,42.72,43.26,42.06,42.52,42.54,43.13,39.8,40.1,40.04,40.59,41.96,42.45,42.38,43.04
49009,Livorno,,4,490090000004,6,Porto,3,Rete infrastrutturale,28,,True,29.12,41.37,41.65,46.34,27.88,41.49,42.02,45.83,28.91,42.69,43.36,46.15,30.93,44.63,45.18,49.0,29.52,43.82,44.26,48.26,29.57,43.18,43.57,47.99,28.07,40.98,41.33,46.14,28.46,43.48,44.11,48.61
49009,Livorno,,5,490090000005,12,Attivita produttive,2,Superficie impervia pesante,1,,True,35.81,41.41,41.42,46.99,36.47,42.26,41.99,48.0,37.64,43.37,43.18,48.64,38.22,43.34,43.8,46.44,35.18,41.3,42.07,44.87,38.31,42.5,42.86,45.4,33.74,40.42,41.25,43.85,37.77,43.31,44.0,46.16
49009,Livorno,,6,490090000006,12,Attivita produttive,2,Superficie impervia pesante,0,,True,40.3,43.24,43.52,44.45,41.38,44.13,44.46,45.77,42.9,45.08,45.2,46.73,44.79,47.72,48.02,49.46,40.14,44.15,44.55,46.5,42.36,45.55,45.87,47.34,40.05,43.69,43.89,45.78,42.79,46.29,46.46,48.4
49009,Livorno,,7,490090000007,12,Attivita produttive,2,Superficie impervia pesante,0,,True,39.91,42.26,42.28,44.12,40.36,42.61,42.72,44.22,42.27,44.12,44.22,45.43,43.18,45.63,45.73,47.59,41.46,44.88,44.86,47.24,42.14,44.72,44.78,46.68,39.77,42.86,43.06,44.75,42.38,45.1,45.2,47.22
49009,Livorno,,8,490090000008,12,Attivita produttive,2,Superficie impervia pesante,8,,True,40.57,42.73,42.68,44.39,41.04,42.9,43.1,44.52,41.29,43.42,43.54,45.3,42.77,45.75,45.79,47.94,41.19,44.6,44.69,47.44,42.26,44.59,44.71,46.46,39.67,42.34,42.53,44.58,42.0,44.95,45.1,47.44
49009,Livorno,,9,490090000009,6,Porto,3,Rete infrastrutturale,0,,True,35.93,41.08,41.64,43.32,34.42,40.52,41.34,42.56,35.67,41.79,42.58,44.06,36.91,43.64,44.41,45.84,36.31,42.94,43.58,45.51,36.04,42.17,42.82,44.21,32.95,39.75,40.28,42.1,34.72,42.27,43.03,45.34
49009,Livorno,,10,490090000010,12,Attivita produttive,2,Superficie impervia pesante,6,,True,40.15,41.4,41.33,42.84,40.11,41.45,41.34,43.25,40.69,42.46,42.51,44.43,42.35,44.55,44.55,46.66,39.11,42.91,43.21,45.76,40.32,43.1,43.04,45.52,38.25,41.17,41.13,43.67,40.37,42.74,42.69,45.3
49009,Livorno,,11,490090000011,12,Attivita produttive,2,Superficie impervia pesante,13,,True,41.87,42.91,42.95,43.51,42.13,43.4,43.61,44.34,43.4,44.55,44.59,45.46,45.78,47.01,47.1,47.85,44.32,46.17,46.29,47.32,44.87,46.14,46.13,47.09,43.21,44.26,44.17,45.58,44.36,45.41,45.21,47.05
49009,Livorno,,12,490090000012,12,Attivita produttive,2,Superficie impervia pesante,0,,True,40.96,43.31,43.16,46.43,41.53,43.74,43.59,47.11,42.36,44.51,44.19,48.82,43.69,46.48,46.34,50.84,42.11,44.86,44.74,49.76,42.07,45.12,45.01,49.0,39.41,43.42,43.4,48.02,42.53,45.77,45.78,49.43
49009,Livorno,,13,490090000013,12,Attivita produttive,2,Superficie impervia pesante,41,,True,42.59,44.17,44.17,45.42,43.36,44.36,44.46,45.06,43.56,44.53,44.44,45.51,45.84,47.71,47.86,48.85,44.78,47.42,47.58,48.5,44.23,46.11,46.22,47.02,42.92,44.65,44.82,45.94,45.29,47.29,47.37,48.45
49009,Livorno,,14,490090000014,12,Attivita produttive,2,Superficie impervia pesante,0,,True,42.28,42.51,42.51,42.79,42.89,43.13,43.12,43.5,43.62,44.11,44.28,44.37,46.25,46.45,46.48,46.65,44.24,44.67,44.77,45.03,43.68,44.45,44.62,44.98,42.67,42.98,43.03,43.27,44.97,45.28,45.26,45.68
49009,Livorno,,15,490090000015,12,Attivita produttive,2,Superficie impervia pesante,4,,True,37.41,40.83,40.89,43.52,37.55,40.74,40.83,42.68,37.37,40.99,41.19,43.53,40.8,43.38,43.36,45.99,38.92,42.75,42.76,46.12,37.58,41.67,41.6,44.72,36.15,40.09,40.38,42.57,38.07,42.43,42.43,45.96
49009,Livorno,,16,490090000016,12,Attivita produttive,2,Superficie impervia pesante,8,,True,40.83,42.74,42.73,44.23,41.85,42.99,42.94,44.43,42.16,43.79,43.92,45.06,44.78,46.06,46.15,47.38,42.53,45.68,45.78,47.36,42.87,44.08,44.0,45.69,41.21,42.61,42.69,44.23,43.51,45.32,45.37,47.1
49009,Livorno,,17,490090000017,12,Attivita produttive,2,Superficie impervia pesante,8,,True,41.56,43.46,43.61,44.67,42.15,43.05,43.02,44.19,43.2,44.0,43.91,45.85,45.33,46.4,46.43,47.88,43.12,44.84,44.94,46.09,43.78,44.86,44.89,45.81,41.88,43.11,43.04,44.73,44.42,45.78,45.76,46.87
49009,Livorno,,18,490090000018,12,Attivita produttive,2,Superficie impervia pesante,16,,True,37.05,40.84,41.48,44.35,37.78,41.28,41.67,43.43,37.65,41.82,42.35,44.1,39.72,43.91,44.53,46.73,36.91,42.93,43.87,47.0,38.1,42.27,42.84,44.91,35.34,40.23,41.12,43.23,37.4,42.43,43.14,45.76
