PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
98031,Lodi,,1,980310000001,1,Residenziale,1,Tessuto urbano continuo,70,4696.2,False,43.13,43.27,43.28,43.39,41.47,41.54,41.55,41.64,44.74,44.78,44.76,44.87,46.42,46.55,46.55,46.76,45.6,45.7,45.69,45.85,42.14,42.3,42.34,42.36,41.23,41.28,41.29,41.35,48.34,48.44,48.41,48.62
98031,Lodi,,2,980310000002,1,Residenziale,1,Tessuto urbano continuo,106,16300.0,True,41.17,42.43,42.65,43.25,38.78,40.33,40.69,41.35,40.75,43.53,44.2,44.64,44.7,45.67,45.86,46.33,43.78,44.92,45.18,45.62,39.59,41.42,41.91,42.46,39.66,40.68,40.95,41.24,46.03,47.3,47.53,48.15
98031,Lodi,,3,980310000003,1,Residenziale,1,Tessuto urbano continuo,140,10210.2,True,42.71,43.08,43.18,43.24,40.96,41.45,41.5,41.82,42.6,43.51,43.06,44.96,46.35,46.59,46.58,46.83,45.27,45.6,45.62,45.78,41.78,42.07,42.1,42.32,41.01,41.35,41.39,41.52,47.85,48.28,48.35,48.42
98031,Lodi,,4,980310000004,1,Residenziale,1,Tessuto urbano continuo,189,20489.2,True,42.21,42.5,42.47,42.9,40.66,41.3,41.35,41.87,42.08,43.97,44.18,44.54,45.9,46.15,46.1,46.5,44.82,45.27,45.24,45.8,40.64,41.19,41.18,41.72,40.43,40.65,40.63,40.93,47.49,47.92,47.91,48.2
98031,Lodi,,5,980310000005,1,Residenziale,1,Tessuto urbano continuo,132,17103.7,True,42.89,43.16,43.18,43.43,41.0,41.29,41.3,41.59,44.59,44.84,44.86,45.07,46.07,46.36,46.34,46.71,45.19,45.69,45.68,46.3,41.64,41.85,41.86,42.11,40.84,41.01,41.01,41.24,47.91,48.12,48.11,48.41
98031,Lodi,,6,980310000006,1,Residenziale,1,Tessuto urbano continuo,79,7674.1,True,42.71,43.25,43.31,43.45,40.62,41.25,41.32,41.56,44.03,44.67,44.78,44.93,46.46,46.85,46.89,46.98,45.55,45.99,45.99,46.3,41.52,42.0,41.97,42.28,40.87,41.26,41.31,41.48,47.58,48.28,48.36,48.49
98031,Lodi,,7,980310000007,1,Residenziale,1,Tessuto urbano continuo,115,14225.7,True,42.57,43.22,43.26,43.46,40.57,41.27,41.36,41.48,43.89,44.46,44.52,44.72,46.17,46.76,46.83,47.14,44.78,45.46,45.55,45.79,41.38,41.98,42.03,42.23,40.77,41.47,41.46,41.8,47.62,48.26,48.34,48.57
98031,Lodi,,8,980310000008,1,Residenziale,1,Tessuto urbano continuo,142,7661.1,True,40.07,41.14,41.04,42.25,38.27,39.43,39.47,40.46,39.69,42.06,42.1,43.39,44.34,44.9,44.8,45.72,43.53,43.89,43.79,44.38,40.34,41.05,41.11,41.67,38.49,39.29,39.16,40.4,45.22,45.98,45.8,46.99
98031,Lodi,,9,980310000009,1,Residenziale,1,Tessuto urbano continuo,108,6373.1,True,39.27,40.84,40.87,41.88,37.61,39.2,39.26,40.04,39.12,41.16,40.44,43.28,43.27,44.58,44.65,45.3,42.82,43.61,43.63,44.23,38.69,39.63,39.57,40.51,38.38,39.43,39.49,40.01,44.21,45.7,45.79,46.59
98031,Lodi,,10,980310000010,1,Residenziale,1,Tessuto urbano continuo,46,6562.7,True,38.82,40.04,40.07,40.89,37.03,38.14,37.93,39.05,38.53,39.64,39.52,40.6,43.23,44.17,44.03,45.14,42.3,43.25,43.22,43.98,38.35,39.31,39.32,40.08,37.55,38.73,38.58,39.7,43.57,44.61,44.41,45.59
98031,Lodi,,11,980310000011,1,Residenziale,1,Tessuto urbano continuo,214,11395.7,True,42.3,42.74,42.65,43.34,40.22,40.81,40.75,41.51,41.39,42.72,42.63,44.64,46.12,46.47,46.44,46.81,44.65,45.15,45.15,45.81,41.18,42.07,42.09,42.68,40.7,41.01,40.95,41.38,47.44,48.05,48.02,48.64
98031,Lodi,,12,980310000012,1,Residenziale,1,Tessuto urbano continuo,187,9962.4,True,39.93,41.4,41.4,42.32,37.77,39.7,39.91,40.92,38.08,41.04,41.18,42.1,44.33,45.48,45.52,46.26,42.99,43.82,43.84,44.44,39.22,40.59,40.65,41.37,38.51,39.78,39.73,40.69,44.38,46.09,46.03,47.2
98031,Lodi,,13,980310000013,1,Residenziale,1,Tessuto urbano continuo,99,11461.0,True,42.39,42.98,43.05,43.51,40.93,41.64,41.79,42.16,40.34,42.02,42.38,42.85,44.24,46.42,46.78,47.22,44.81,45.21,45.19,45.74,42.26,43.54,43.77,44.41,40.03,40.84,41.03,41.36,46.96,47.58,47.59,48.27
98031,Lodi,,14,980310000014,1,Residenziale,1,Tessuto urbano continuo,196,9625.0,True,42.38,42.83,42.76,43.21,40.66,41.67,41.78,42.17,42.41,42.89,42.84,43.21,46.27,46.63,46.61,46.86,44.87,45.36,45.34,45.68,41.53,42.25,42.32,42.58,40.79,41.11,41.04,41.35,47.85,48.25,48.23,48.59
98031,Lodi,,15,980310000015,1,Residenziale,1,Tessuto urbano continuo,80,3464.6,False,43.29,43.51,43.58,43.69,41.52,41.71,41.76,41.92,40.58,41.6,40.83,42.95,44.57,45.09,44.68,46.85,46.0,46.47,46.6,46.61,44.4,44.45,44.47,44.49,41.44,41.5,41.52,41.54,48.4,48.6,48.67,48.68
98031,Lodi,,16,980310000016,1,Residenziale,1,Tessuto urbano continuo,55,3459.1,False,41.65,41.69,41.68,41.71,39.89,39.95,39.95,40.0,40.97,41.31,41.21,41.57,45.9,45.91,45.92,45.92,43.78,43.91,44.0,44.0,40.98,41.17,41.23,41.41,39.61,39.81,39.7,40.01,46.11,46.26,46.14,46.46
98031,Lodi,,17,980310000017,1,Residenziale,1,Tessuto urbano continuo,71,22000.9,True,36.2,38.4,38.54,39.46,35.13,36.96,37.04,38.19,37.26,38.15,37.95,39.64,42.54,44.98,45.08,46.39,40.94,42.26,42.19,43.49,37.27,39.2,39.26,40.01,36.32,37.57,37.55,38.42,40.82,42.89,43.0,43.9
