PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
20030,Mantova,,1,200300000001,1,Residenziale,1,Tessuto urbano continuo,56,5887.1,True,41.33,41.85,42.01,42.16,39.41,39.98,40.07,40.46,43.18,43.69,43.75,44.15,45.8,46.21,46.34,46.48,47.22,47.47,47.51,47.72,42.88,43.27,43.25,43.63,39.86,40.21,40.13,40.6,45.46,45.7,45.72,45.97
20030,Mantova,,2,200300000002,1,Residenziale,1,Tessuto urbano continuo,106,9178.9,True,40.94,41.31,41.25,41.91,38.77,39.03,38.97,39.63,42.77,43.05,43.02,43.6,45.39,45.68,45.66,46.27,46.54,46.85,46.79,47.36,42.57,42.85,42.83,43.23,38.51,38.99,38.92,39.86,44.96,45.13,45.05,45.63
20030,Mantova,,3,200300000003,1,Residenziale,1,Tessuto urbano continuo,53,4637.5,False,41.91,42.09,42.1,42.22,39.55,39.82,39.81,40.38,43.6,43.85,43.89,44.11,46.27,46.42,46.44,46.6,47.36,47.56,47.61,47.78,43.23,43.31,43.24,43.64,39.62,39.95,40.0,40.47,45.63,45.73,45.77,45.82
20030,Mantova,,4,200300000004,1,Residenziale,1,Tessuto urbano continuo,20,1381.7,False,42.09,42.13,42.1,42.22,40.38,40.44,40.41,40.52,44.06,44.11,44.11,44.16,46.17,46.36,46.32,46.6,47.47,47.61,47.6,47.78,43.5,43.55,43.5,43.64,40.47,40.59,40.59,40.72,45.71,45.78,45.8,45.82
20030,Mantova,,5,200300000005,1,Residenziale,1,Tessuto urbano continuo,40,2364.0,False,41.78,41.83,41.83,41.88,40.42,40.54,40.54,40.65,44.02,44.09,44.03,44.26,45.95,46.07,46.05,46.22,47.31,47.4,47.39,47.51,43.43,43.51,43.48,43.65,40.51,40.55,40.53,40.63,45.6,45.66,45.63,45.78
20030,Mantova,,6,200300000006,1,Residenziale,1,Tessuto urbano continuo,113,4728.8,False,41.98,42.07,42.07,42.15,39.96,40.37,40.5,40.59,43.63,44.02,44.12,44.27,46.01,46.24,46.3,46.48,47.44,47.58,47.58,47.72,43.17,43.48,43.49,43.83,40.38,40.6,40.61,40.7,45.86,46.0,46.04,46.09
20030,Mantova,,7,200300000007,1,Residenziale,1,Tessuto urbano continuo,13,9543.6,True,40.71,41.24,41.19,41.9,38.82,39.33,39.32,39.88,42.66,42.98,43.01,43.39,45.19,45.5,45.51,45.8,46.52,46.9,46.9,47.22,42.42,42.62,42.59,42.88,39.21,39.81,39.77,40.45,44.79,45.13,45.05,45.63
20030,Mantova,,8,200300000008,1,Residenziale,1,Tessuto urbano continuo,90,9784.8,True,40.91,41.28,41.11,41.92,38.98,39.13,39.14,39.3,42.38,42.74,42.71,43.62,45.14,45.39,45.35,45.63,46.35,46.61,46.7,46.86,42.5,42.74,42.75,42.97,38.51,39.34,39.16,41.52,44.84,44.93,44.93,45.06
20030,Mantova,,9,200300000009,1,Residenziale,1,Tessuto urbano continuo,58,4738.4,False,41.15,41.52,41.44,42.05,38.58,38.95,38.86,39.4,43.02,43.3,43.19,43.72,45.6,45.9,45.79,46.33,46.65,46.96,46.85,47.41,42.62,42.92,42.88,43.3,38.01,38.42,38.37,38.88,44.89,45.15,45.1,45.51
20030,Mantova,,10,200300000010,1,Residenziale,1,Tessuto urbano continuo,80,8338.8,True,41.62,42.22,42.26,42.48,39.07,39.75,39.69,40.24,43.3,43.86,43.84,44.12,45.88,46.49,46.47,46.79,47.0,47.65,47.66,47.95,42.85,43.29,43.3,43.66,38.68,39.25,39.36,39.81,45.16,45.76,45.75,46.07
20030,Mantova,,11,200300000011,1,Residenziale,1,Tessuto urbano continuo,44,2092.4,False,41.89,42.24,42.37,42.48,40.24,40.52,40.37,40.95,43.96,44.04,44.06,44.11,46.69,46.8,46.79,46.92,47.56,47.78,47.84,47.93,43.32,43.59,43.66,43.78,39.37,39.49,39.39,39.71,45.8,45.99,46.07,46.1
20030,Mantova,,12,200300000012,1,Residenziale,1,Tessuto urbano continuo,50,2201.0,False,42.13,42.21,42.13,42.36,40.14,40.61,40.84,40.84,44.09,44.11,44.12,44.12,46.82,46.83,46.84,46.84,47.81,47.85,47.81,47.92,43.56,43.57,43.56,43.58,39.42,39.61,39.71,39.71,45.95,45.99,45.95,46.05
20030,Mantova,,13,200300000013,1,Residenziale,1,Tessuto urbano continuo,53,3765.1,False,41.93,42.09,42.04,42.25,40.26,40.41,40.47,40.48,43.82,43.99,43.97,44.1,46.46,46.66,46.64,46.79,47.46,47.66,47.62,47.83,42.94,43.36,43.29,43.67,39.66,40.05,40.15,40.48,45.3,45.68,45.61,45.94
20030,Mantova,,14,200300000014,1,Residenziale,1,Tessuto urbano continuo,15,2383.5,False,42.02,42.16,42.14,42.32,40.17,40.23,40.24,40.25,43.92,44.02,44.01,44.14,46.34,46.57,46.57,46.78,47.49,47.66,47.64,47.89,43.21,43.45,43.43,43.73,40.13,40.27,40.24,40.46,45.5,45.71,45.7,45.94
20030,Mantova,,15,200300000015,1,Residenziale,1,Tessuto urbano continuo,14,3410.3,False,41.71,41.97,42.01,42.09,40.16,40.32,40.38,40.52,44.0,44.2,44.16,44.67,45.8,46.09,46.17,46.22,47.13,47.35,47.43,47.47,43.19,43.32,43.35,43.5,40.47,40.63,40.64,40.72,45.58,45.67,45.59,45.81
20030,Mantova,,16,200300000016,3,Monumento/palazzo storico,5,Edifici pubblici e servizi,0,1537.9,False,41.81,41.84,41.84,41.88,40.36,40.51,40.51,40.65,44.26,44.51,44.51,44.77,45.97,46.06,46.06,46.14,47.32,47.4,47.4,47.47,43.57,43.61,43.61,43.65,40.58,40.61,40.61,40.63,45.71,45.75,45.75,45.78
