PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
77014,Matera,,1,770140000001,1,Residenziale,1,Tessuto urbano continuo,515,,True,40.44,41.56,41.58,42.73,38.15,39.38,39.46,40.41,44.55,45.51,45.5,46.29,43.3,44.38,44.35,45.44,39.95,42.41,42.64,43.88,41.54,42.62,42.48,44.01,39.28,40.38,40.44,41.58,42.28,43.97,44.11,45.82
77014,Matera,,2,770140000002,1,Residenziale,1,Tessuto urbano continuo,165,,True,42.76,42.93,42.93,43.05,41.35,41.51,41.47,41.79,47.26,47.4,47.35,47.66,45.0,45.33,45.3,45.76,43.51,44.06,43.96,44.73,42.36,42.8,42.86,43.11,41.38,41.73,41.72,42.38,46.18,46.57,46.61,46.98
77014,Matera,,3,770140000003,1,Residenziale,1,Tessuto urbano continuo,70,,True,42.1,42.36,42.31,42.79,40.78,41.08,41.04,41.52,46.09,46.56,46.57,47.11,44.77,45.19,45.17,45.74,43.51,43.73,43.67,44.25,42.99,43.34,43.34,43.72,41.49,41.91,41.88,42.68,45.38,45.76,45.72,46.26
77014,Matera,,4,770140000004,1,Residenziale,1,Tessuto urbano continuo,104,,True,42.38,43.19,43.08,43.9,41.44,42.08,41.94,42.74,47.29,47.72,47.55,48.35,45.7,46.13,46.13,46.41,43.95,44.25,44.26,44.37,43.21,43.9,43.95,44.34,42.3,42.94,42.95,43.36,46.08,46.6,46.57,46.99
77014,Matera,,5,770140000005,1,Residenziale,1,Tessuto urbano continuo,45,,True,43.25,43.4,43.4,43.59,41.52,41.94,42.0,42.28,47.67,48.0,48.11,48.15,45.16,45.57,45.64,45.81,43.89,44.56,44.64,44.98,42.88,43.37,43.39,43.71,40.9,41.23,41.28,41.38,45.11,45.55,45.45,46.14
77014,Matera,,6,770140000006,8,Caserma,5,Edifici pubblici e servizi,0,,True,38.88,41.09,41.33,41.98,36.64,39.16,39.41,39.95,43.52,45.89,46.08,46.92,41.59,43.55,43.74,44.41,40.63,42.31,42.39,43.57,40.02,41.58,41.77,42.33,37.33,40.39,40.74,41.36,40.89,44.57,44.98,45.53
77014,Matera,,7,770140000007,1,Residenziale,1,Tessuto urbano continuo,43,,True,40.89,40.99,40.99,41.1,39.39,39.51,39.51,39.62,45.08,45.15,45.15,45.22,43.37,43.49,43.49,43.61,42.66,42.79,42.79,42.91,41.32,41.4,41.4,41.48,38.61,38.72,38.72,38.82,44.73,44.85,44.85,44.98
77014,Matera,,8,770140000008,37,Scuole/istituti,5,Edifici pubblici e servizi,3,,True,39.0,40.15,40.09,41.18,36.57,38.47,38.73,39.57,43.71,45.17,45.07,46.45,41.87,43.22,43.29,44.2,40.83,41.89,41.73,42.65,39.87,41.96,42.03,43.57,37.41,39.16,39.29,40.34,41.15,42.89,42.95,44.36
77014,Matera,,9,770140000009,1,Residenziale,1,Tessuto urbano continuo,238,,True,38.18,39.45,39.43,41.19,35.76,37.49,37.46,39.54,42.47,43.91,43.81,45.83,40.94,41.94,41.86,43.58,39.69,40.9,40.83,42.85,39.18,40.07,39.87,42.52,37.02,38.64,38.61,40.42,40.87,42.78,42.82,44.32
77014,Matera,,10,770140000010,1,Residenziale,1,Tessuto urbano continuo,95,,True,41.56,41.79,41.82,42.0,39.61,39.98,39.94,40.34,46.23,47.08,46.96,48.11,43.86,44.15,44.05,44.92,42.69,43.14,43.11,43.7,42.5,43.38,43.5,44.34,39.45,39.85,39.56,40.91,42.67,42.98,42.91,43.36
77014,Matera,,11,770140000011,37,Scuole/istituti,5,Edifici pubblici e servizi,0,,True,40.74,41.07,40.92,41.87,38.56,39.27,39.25,40.46,45.3,46.05,45.99,47.22,42.47,43.06,43.04,43.71,40.99,42.09,42.32,43.15,41.91,42.8,42.93,43.73,38.25,38.61,38.62,39.33,42.45,43.26,43.14,44.51
77014,Matera,,12,770140000012,1,Residenziale,1,Tessuto urbano continuo,149,,True,40.97,42.23,42.21,43.46,38.79,40.0,40.02,40.76,45.8,47.16,47.3,48.0,43.58,44.93,45.09,45.77,42.45,44.05,44.21,44.91,44.66,46.06,46.21,47.29,39.67,41.71,41.84,42.88,43.52,44.75,44.88,45.45
77014,Matera,,13,770140000013,1,Residenziale,1,Tessuto urbano continuo,260,,True,40.69,41.48,41.44,42.27,38.48,39.31,39.24,40.32,45.49,46.4,46.24,47.29,43.77,44.55,44.59,45.34,42.65,43.46,43.43,44.27,42.72,45.64,45.62,46.73,40.23,40.8,40.74,41.64,42.32,43.61,43.57,44.86
77014,Matera,,14,770140000014,1,Residenziale,1,Tessuto urbano continuo,115,,True,42.16,42.9,42.93,43.44,39.87,40.77,40.84,41.31,47.0,47.67,47.71,48.21,44.38,45.32,45.41,45.97,43.68,44.64,44.75,45.33,45.36,46.28,46.23,47.48,40.43,41.84,41.96,42.94,43.26,43.93,43.88,44.61
77014,Matera,,15,770140000015,1,Residenziale,1,Tessuto urbano continuo,844,,True,39.83,41.27,41.21,43.46,37.43,39.01,39.08,40.76,44.71,46.29,46.3,48.0,42.12,44.08,44.12,45.77,41.47,43.1,43.16,44.91,41.86,44.9,45.01,47.29,37.47,40.15,40.17,42.88,40.84,43.25,43.12,45.19
77014,Matera,,16,770140000016,1,Residenziale,1,Tessuto urbano continuo,154,,True,39.73,41.26,41.39,42.09,38.69,40.49,40.7,41.53,45.62,47.41,47.6,48.24,42.22,44.2,44.44,45.08,42.51,43.73,43.81,44.5,43.12,44.9,45.05,46.19,40.05,41.25,41.21,42.51,38.75,40.14,39.96,42.24
