PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
15146,Milano,,1,151460000001,2,Culto,5,Edifici pubblici e servizi,0,36493.7,True,38.47,39.78,39.86,41.11,36.86,39.01,39.23,40.68,35.43,37.53,37.36,40.64,42.82,44.32,44.44,45.66,44.3,46.06,46.25,47.71,40.7,42.14,41.98,44.01,39.77,40.77,40.63,42.5,44.78,46.29,46.37,47.62
15146,Milano,,2,151460000002,1,Residenziale,1,Tessuto urbano continuo,15,2554.6,False,40.03,40.45,40.43,40.82,37.84,38.23,38.09,38.8,39.81,40.29,40.33,40.66,43.73,44.29,43.83,45.18,45.68,45.98,45.96,46.3,41.44,41.81,41.91,41.95,40.57,40.77,40.77,40.97,45.67,46.09,46.08,46.52
15146,Milano,,3,151460000003,3,Monumento/palazzo storico,5,Edifici pubblici e servizi,18,10961.1,True,41.35,42.24,42.26,43.47,39.82,40.46,40.46,41.55,37.29,39.75,41.03,41.96,44.22,45.49,45.04,47.46,46.74,47.5,47.37,48.79,41.87,42.56,42.48,43.33,41.48,42.07,41.93,43.17,47.04,47.73,47.77,48.76
15146,Milano,,4,151460000004,1,Residenziale,1,Tessuto urbano continuo,13,2384.9,False,42.03,42.55,42.57,43.06,40.83,40.98,40.9,41.2,41.9,41.92,41.91,41.96,46.62,47.41,47.75,47.86,47.43,47.76,47.59,48.27,42.88,42.97,42.96,43.08,42.38,42.59,42.46,42.92,47.85,48.2,48.2,48.55
15146,Milano,,5,151460000005,31,Museo,5,Edifici pubblici e servizi,0,21951.2,True,41.23,42.56,42.58,43.57,39.18,40.55,40.69,41.57,36.73,37.55,37.56,38.22,44.16,45.17,45.24,45.86,46.29,47.69,47.74,48.89,41.69,43.04,43.03,43.97,41.08,42.38,42.44,43.44,46.53,47.93,47.94,49.02
15146,Milano,,6,151460000006,1,Residenziale,1,Tessuto urbano continuo,4,5169.9,True,40.83,41.18,41.15,41.72,39.62,39.79,39.78,40.06,36.8,36.94,36.91,37.19,44.98,45.15,45.16,45.27,46.48,46.69,46.63,46.94,42.42,42.74,42.73,43.11,41.49,41.71,41.73,42.04,46.88,47.12,47.14,47.48
15146,Milano,,7,151460000007,1,Residenziale,1,Tessuto urbano continuo,4,5454.4,True,40.9,41.49,41.44,42.16,39.1,39.58,39.52,40.35,36.38,36.68,36.61,37.28,44.44,44.69,44.72,45.15,46.3,46.59,46.52,47.2,42.52,42.62,42.61,42.87,41.32,41.61,41.56,42.16,47.08,47.27,47.18,47.69
15146,Milano,,8,151460000008,1,Residenziale,1,Tessuto urbano continuo,12,1925.7,False,40.46,40.84,40.87,41.19,39.16,39.32,39.39,39.4,36.58,36.65,36.61,36.76,44.56,44.68,44.72,44.76,46.33,46.49,46.53,46.61,42.67,42.79,42.84,42.87,41.53,41.59,41.56,41.7,47.06,47.11,47.12,47.14
15146,Milano,,9,151460000009,1,Residenziale,1,Tessuto urbano continuo,22,5070.1,True,40.01,40.42,40.48,40.65,39.35,39.65,39.68,40.06,36.96,37.19,37.2,37.46,44.71,44.94,44.96,45.16,46.34,46.75,46.75,47.04,43.0,43.18,43.22,43.4,41.74,41.9,41.94,42.03,47.0,47.15,47.1,47.37
15146,Milano,,10,151460000010,1,Residenziale,1,Tessuto urbano continuo,20,4056.6,False,39.94,40.25,40.18,40.6,40.06,40.4,40.44,40.72,37.35,37.66,37.73,37.86,45.16,45.35,45.38,45.59,47.04,47.43,47.43,47.84,43.4,43.75,43.82,43.99,42.03,42.44,42.54,42.87,47.37,47.57,47.57,47.77
15146,Milano,,11,151460000011,1,Residenziale,1,Tessuto urbano continuo,28,3897.5,False,39.58,39.79,39.85,39.94,40.72,40.97,41.0,41.12,37.86,38.02,38.05,38.12,45.59,45.71,45.71,45.82,47.84,48.12,48.13,48.27,43.99,44.2,44.25,44.31,42.87,43.07,43.08,43.2,47.77,47.94,47.98,48.03
15146,Milano,,12,151460000012,1,Residenziale,1,Tessuto urbano continuo,7,9347.8,True,39.93,40.61,40.48,41.14,40.57,40.99,41.04,41.34,38.07,38.23,38.2,38.47,45.13,45.55,45.61,45.82,47.67,48.02,48.03,48.39,43.93,44.17,44.18,44.27,41.03,42.38,42.82,43.2,47.27,47.73,47.73,48.02
15146,Milano,,13,151460000013,1,Residenziale,1,Tessuto urbano continuo,2,4005.7,False,40.95,42.27,42.53,42.7,40.44,40.6,40.64,40.74,37.88,38.09,38.17,38.19,45.21,45.47,45.47,45.78,47.69,47.81,47.81,47.97,43.93,44.02,44.01,44.13,42.29,42.54,42.56,42.74,47.22,47.3,47.28,47.39
15146,Milano,,14,151460000014,1,Residenziale,1,Tessuto urbano continuo,9,2480.3,False,42.7,42.84,42.82,42.99,40.66,40.83,40.8,41.02,38.18,38.32,38.25,38.53,45.78,45.98,45.93,46.22,47.95,48.02,47.97,48.14,44.13,44.22,44.23,44.29,42.74,42.89,42.87,43.05,47.36,47.53,47.58,47.65
15146,Milano,,15,151460000015,1,Residenziale,1,Tessuto urbano continuo,2,17883.8,True,39.74,40.57,40.07,41.95,40.69,41.21,41.24,41.52,37.73,38.37,38.52,38.82,45.57,46.26,46.4,46.7,47.11,47.82,47.7,48.64,43.83,44.22,44.21,44.53,42.44,42.78,42.81,43.13,47.44,47.86,47.9,48.08
15146,Milano,,16,151460000016,37,Scuole/istituti,5,Edifici pubblici e servizi,0,11431.8,True,39.52,40.11,39.84,41.15,40.74,41.05,41.09,41.29,37.86,38.35,38.41,38.66,45.37,45.82,45.83,46.41,47.47,48.14,48.23,48.47,43.26,43.86,43.92,44.16,42.27,42.68,42.7,42.96,47.24,47.48,47.48,47.73
15146,Milano,,17,151460000017,1,Residenziale,1,Tessuto urbano continuo,3,4179.4,False,40.34,41.07,41.03,41.58,40.68,40.94,40.89,41.24,37.82,38.08,38.11,38.44,45.36,45.51,45.37,45.89,47.4,47.68,47.53,48.26,43.32,43.68,43.63,44.12,42.17,42.34,42.38,42.45,47.19,47.44,47.39,47.75
