PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
36023,Modena,,1,360230000001,26,Area agricola,9,Colture agricole,26,156034.5,True,35.51,38.2,38.57,40.2,30.9,32.69,32.24,36.05,35.06,37.91,37.08,42.37,37.18,38.73,38.58,41.5,33.61,37.9,38.05,41.17,33.0,34.93,34.48,38.41,37.86,40.28,40.35,41.89,34.18,36.14,35.6,40.92
36023,Modena,,2,360230000002,26,Area agricola,9,Colture agricole,2,220824.4,True,33.35,37.59,37.44,42.0,33.29,35.38,35.07,39.39,35.03,37.35,37.11,41.55,35.56,37.81,37.59,41.99,30.98,34.38,34.56,38.47,35.23,40.14,40.17,45.26,35.38,38.27,38.34,40.82,36.13,39.16,39.16,42.37
36023,Modena,,3,360230000003,26,Area agricola,9,Colture agricole,57,651791.5,True,31.39,35.18,35.17,38.87,32.15,35.09,35.1,38.36,35.38,40.39,40.26,45.71,36.7,40.62,40.56,46.43,31.63,35.3,35.55,38.89,34.51,38.44,38.74,41.64,34.34,38.09,38.01,41.75,37.49,41.53,41.39,45.82
36023,Modena,,4,360230000004,1,Residenziale,1,Tessuto urbano continuo,35,15024.5,True,34.98,35.91,35.95,36.41,34.4,36.03,36.12,36.92,37.29,38.85,38.82,40.1,38.07,39.17,39.14,40.32,32.5,35.23,35.16,37.22,39.58,40.77,40.75,41.49,36.06,37.58,37.4,39.13,37.88,41.74,42.39,44.31
36023,Modena,,5,360230000005,1,Residenziale,1,Tessuto urbano continuo,16,6086.5,True,35.42,36.23,36.1,36.95,36.06,36.22,36.21,36.38,38.99,39.52,39.48,40.39,40.23,41.16,41.22,42.16,35.9,36.93,37.22,37.71,40.72,41.46,41.53,41.98,37.18,37.72,37.74,37.94,40.78,41.54,41.63,41.92
36023,Modena,,6,360230000006,1,Residenziale,1,Tessuto urbano continuo,11,8684.6,True,33.29,34.92,34.38,37.1,34.69,36.62,36.23,38.79,35.82,37.01,36.68,38.48,38.82,40.84,40.57,42.93,33.24,34.72,34.25,36.56,36.64,38.35,37.87,40.6,34.73,35.72,35.23,37.15,39.98,41.66,41.29,43.99
36023,Modena,,7,360230000007,12,Attivita produttive,2,Superficie impervia pesante,0,16102.3,True,35.55,36.6,36.43,37.85,37.53,38.3,37.92,39.62,39.13,40.34,39.96,41.88,41.01,42.42,41.85,43.86,35.91,38.26,37.22,41.07,39.48,41.24,40.49,43.77,35.99,38.72,38.89,42.1,41.89,43.51,42.79,45.52
36023,Modena,,8,360230000008,1,Residenziale,1,Tessuto urbano continuo,57,23281.7,True,36.01,37.27,37.45,37.89,37.97,39.09,39.15,39.79,39.88,41.66,41.9,42.75,41.47,42.49,42.52,43.08,36.43,37.84,37.89,38.92,39.73,40.72,40.72,41.56,36.14,37.71,37.42,41.86,42.12,43.08,43.1,43.79
36023,Modena,,9,360230000009,1,Residenziale,1,Tessuto urbano continuo,98,22607.3,True,37.24,37.74,37.75,38.41,39.05,39.79,39.63,40.7,40.21,41.61,41.57,42.68,42.23,43.01,43.05,44.14,36.25,37.84,37.81,39.53,40.52,41.28,41.15,42.03,37.05,37.82,37.81,38.6,42.74,43.72,43.59,44.68
36023,Modena,,10,360230000010,1,Residenziale,1,Tessuto urbano continuo,20,13763.3,True,35.98,36.89,36.64,37.65,34.36,37.3,37.21,39.2,37.01,39.29,38.34,42.28,38.74,40.64,39.91,42.76,34.89,36.09,35.69,38.31,36.78,38.96,38.48,40.86,35.58,36.79,36.95,37.52,38.61,41.25,41.31,42.78
