PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
108033,Monza,Lombardia,1,1080330000001,29,Municipio,5,Edifici pubblici e servizi,0,,True,41.5,41.67,41.68,41.89,39.41,39.49,39.44,39.63,38.68,38.92,38.92,39.07,45.49,45.65,45.65,45.83,46.88,47.15,47.14,47.47,43.87,44.02,44.02,44.14,39.27,40.2,40.13,41.36,48.2,48.29,48.27,48.45
108033,Monza,Lombardia,2,1080330000002,4,Piazza monumentale,5,Edifici pubblici e servizi,157,,True,41.56,41.86,41.89,42.01,39.12,39.33,39.33,39.54,38.7,39.03,39.08,39.19,45.64,46.23,45.81,47.81,47.11,47.51,47.59,47.67,43.79,43.91,43.92,44.16,39.61,41.19,41.21,42.28,48.18,48.3,48.27,48.52
108033,Monza,Lombardia,3,1080330000003,1,Residenziale,1,Tessuto urbano continuo,40,,True,40.12,41.22,41.4,41.83,38.5,39.45,39.62,39.82,37.73,38.49,38.56,38.91,45.26,46.48,46.62,47.46,45.1,46.47,46.72,47.33,42.9,43.71,43.87,44.32,41.52,42.25,42.34,42.71,46.83,48.02,48.22,48.7
108033,Monza,Lombardia,4,1080330000004,4,Piazza monumentale,5,Edifici pubblici e servizi,0,,True,41.46,41.58,41.59,41.7,39.42,39.54,39.55,39.63,38.47,38.58,38.57,38.72,45.38,46.92,47.4,47.5,46.72,46.79,46.78,46.86,43.78,43.82,43.81,43.87,39.54,39.98,39.59,41.19,48.23,48.32,48.3,48.44
108033,Monza,Lombardia,5,1080330000005,4,Piazza monumentale,5,Edifici pubblici e servizi,0,,True,41.71,41.76,41.74,41.83,39.58,39.61,39.6,39.67,38.82,39.0,39.0,39.19,45.72,45.77,45.77,45.83,47.03,47.07,47.03,47.13,44.29,44.3,44.3,44.33,39.8,39.86,39.81,39.98,48.49,48.5,48.5,48.51
108033,Monza,Lombardia,6,1080330000006,1,Residenziale,1,Tessuto urbano continuo,26,,True,41.79,41.97,41.98,42.09,39.46,39.67,39.67,39.85,38.82,39.14,39.1,39.66,45.69,46.7,46.66,47.89,46.96,47.26,47.23,47.67,44.01,44.4,44.5,44.51,39.77,40.32,40.02,42.33,48.27,48.51,48.53,48.73
108033,Monza,Lombardia,7,1080330000007,1,Residenziale,1,Tessuto urbano continuo,78,,True,41.64,41.9,41.93,42.06,39.49,39.7,39.72,39.9,38.95,39.4,39.46,39.85,45.91,46.99,47.0,47.99,47.4,47.62,47.66,47.72,43.44,44.04,44.09,44.52,40.75,42.18,42.36,42.81,48.61,48.81,48.79,48.91
108033,Monza,Lombardia,8,1080330000008,3,Monumento/palazzo storico,5,Edifici pubblici e servizi,0,,True,41.73,41.91,41.94,42.05,39.08,39.38,39.41,39.56,37.63,38.32,38.46,38.96,45.51,46.59,46.56,47.69,47.18,47.45,47.48,47.71,43.21,43.63,43.66,44.09,40.02,40.61,40.46,41.45,48.24,48.43,48.45,48.61
108033,Monza,Lombardia,9,1080330000009,1,Residenziale,1,Tessuto urbano continuo,34,,True,40.92,41.19,41.32,41.37,38.9,39.2,39.35,39.4,37.8,38.16,38.3,38.44,46.31,46.61,46.66,46.86,45.68,46.26,46.55,46.66,42.88,43.26,43.23,43.6,38.72,39.11,39.28,39.4,47.07,47.47,47.51,47.91
108033,Monza,Lombardia,10,1080330000010,1,Residenziale,1,Tessuto urbano continuo,323,,True,39.13,40.84,40.95,41.95,37.68,38.84,38.81,39.8,35.72,37.96,37.89,41.49,45.54,46.43,46.3,47.58,43.46,45.25,45.22,46.75,42.18,42.99,42.93,44.27,38.68,40.38,40.47,42.33,45.73,47.06,46.93,48.71
108033,Monza,Lombardia,11,1080330000011,1,Residenziale,1,Tessuto urbano continuo,24,,True,41.42,41.59,41.58,41.74,39.36,39.49,39.49,39.65,38.5,38.55,38.55,38.63,45.26,46.29,46.27,47.38,46.45,46.61,46.6,46.76,43.65,43.82,43.83,43.97,39.6,39.68,39.67,39.81,48.26,48.36,48.38,48.42
108033,Monza,Lombardia,12,1080330000012,1,Residenziale,1,Tessuto urbano continuo,127,,True,41.1,41.78,42.03,42.13,38.85,39.63,39.79,40.11,37.94,38.69,38.59,39.46,46.23,47.36,47.71,48.05,44.96,45.95,46.07,46.63,42.93,43.98,44.3,44.56,38.68,39.61,39.76,40.17,47.07,48.46,48.79,49.17
108033,Monza,Lombardia,13,1080330000013,1,Residenziale,1,Tessuto urbano continuo,99,,True,39.97,40.36,40.37,40.72,38.23,38.64,38.69,39.05,40.95,41.24,41.25,41.49,45.76,46.29,46.33,46.76,43.93,44.82,44.79,45.83,42.78,43.08,43.12,43.29,38.84,39.75,39.85,40.31,47.1,47.58,47.64,47.93
108033,Monza,Lombardia,14,1080330000014,1,Residenziale,1,Tessuto urbano continuo,1,,True,41.64,41.73,41.73,41.83,39.46,39.5,39.49,39.55,38.62,38.66,38.67,38.7,45.62,45.65,45.63,45.71,46.99,47.01,47.01,47.02,44.23,44.36,44.37,44.5,39.91,39.95,39.92,40.03,48.51,48.56,48.56,48.6
108033,Monza,Lombardia,15,1080330000015,4,Piazza monumentale,5,Edifici pubblici e servizi,0,,True,41.83,41.92,41.91,42.02,39.38,39.44,39.45,39.49,38.49,38.58,38.57,38.7,45.57,45.64,45.64,45.71,47.01,47.11,47.03,47.35,44.5,44.6,44.57,44.74,39.88,39.96,39.97,40.03,48.51,48.61,48.55,48.81
108033,Monza,Lombardia,16,1080330000016,1,Residenziale,1,Tessuto urbano continuo,103,,True,39.2,40.36,40.29,41.72,37.06,38.18,38.23,39.14,37.68,39.94,40.08,41.14,43.64,44.98,44.89,46.66,42.57,44.4,44.23,46.5,41.7,42.96,42.93,44.07,37.23,39.1,39.38,40.04,45.87,47.24,47.43,48.39
108033,Monza,Lombardia,17,1080330000017,1,Residenziale,1,Tessuto urbano continuo,14,,True,41.53,41.65,41.64,41.73,38.88,39.15,39.18,39.27,38.42,38.52,38.55,38.6,45.45,46.12,46.24,46.48,46.31,46.78,46.73,47.16,44.64,44.8,44.78,45.01,39.55,39.69,39.69,39.79,48.64,48.81,48.78,49.02
