PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
114027,Nuoro,Sardegna,1,910510000001,1,Residenziale,1,Tessuto urbano continuo,34,2762.2,False,40.19,40.29,40.32,40.35,41.58,41.77,41.76,41.97,40.98,41.02,41.02,41.08,43.94,44.06,44.05,44.22,42.95,43.06,43.05,43.18,42.52,42.68,42.65,42.88,41.25,41.57,41.58,41.86,46.1,46.28,46.28,46.47
114027,Nuoro,Sardegna,2,910510000002,1,Residenziale,1,Tessuto urbano continuo,37,2801.6,False,40.63,40.85,40.8,41.17,41.18,41.32,41.28,41.52,40.77,40.92,40.81,41.3,42.63,42.79,42.72,43.07,42.72,42.91,42.81,43.29,42.3,42.53,42.43,42.97,41.69,41.85,41.74,42.25,45.85,46.02,45.95,46.33
114027,Nuoro,Sardegna,3,910510000003,5,Area verde/parco urbano,7,Verde urbano,0,7738.8,True,39.82,40.45,40.56,40.67,40.74,41.51,41.76,42.1,40.46,41.03,41.17,41.31,43.12,43.96,44.13,44.46,40.98,41.7,41.91,42.22,40.51,41.28,41.36,41.63,39.9,40.62,40.77,41.0,45.12,46.0,46.26,46.47
114027,Nuoro,Sardegna,4,910510000004,1,Residenziale,1,Tessuto urbano continuo,23,32043.4,True,38.24,39.5,39.59,40.4,38.39,39.76,39.84,40.6,38.52,39.97,40.06,41.0,40.25,42.04,41.9,45.29,40.33,41.95,41.79,44.96,39.66,41.18,41.21,43.54,38.78,40.59,40.64,43.52,44.13,45.45,45.53,47.46
114027,Nuoro,Sardegna,5,910510000005,1,Residenziale,1,Tessuto urbano continuo,414,112421.4,True,37.22,39.26,39.43,41.03,37.83,40.12,40.14,41.95,38.14,40.02,40.1,41.45,39.82,42.06,42.05,44.45,37.51,40.04,40.03,42.87,37.12,39.94,40.06,41.99,36.3,39.18,39.34,41.16,40.98,43.25,43.36,45.64
114027,Nuoro,Sardegna,6,910510000006,1,Residenziale,1,Tessuto urbano continuo,77,6630.5,True,38.79,39.61,39.72,40.12,40.3,41.42,41.6,41.96,40.12,41.49,41.65,42.35,40.16,41.44,41.32,42.6,41.7,43.13,43.31,43.84,41.72,42.3,42.39,42.84,40.34,41.59,41.81,42.17,45.46,46.14,46.26,46.56
114027,Nuoro,Sardegna,7,910510000007,1,Residenziale,1,Tessuto urbano continuo,129,74267.4,True,37.1,38.8,38.88,40.11,37.85,39.42,39.35,41.37,37.49,39.4,39.46,40.71,39.36,40.89,40.86,42.46,38.03,40.05,40.14,41.75,37.31,39.45,39.49,41.02,37.37,39.39,39.43,40.63,41.45,43.5,43.61,45.7
114027,Nuoro,Sardegna,8,910510000008,1,Residenziale,1,Tessuto urbano continuo,33,3752.8,False,39.26,39.61,39.62,39.9,40.68,40.8,40.81,40.85,39.68,39.84,39.86,39.94,40.51,41.01,41.02,41.34,40.29,40.9,40.9,41.41,40.56,40.83,40.92,40.97,38.84,39.23,39.23,39.55,44.26,45.02,45.06,45.62
114027,Nuoro,Sardegna,9,910510000009,1,Residenziale,1,Tessuto urbano continuo,116,6151.4,True,39.88,40.01,39.98,40.19,41.21,41.44,41.42,41.75,40.44,40.78,40.8,40.98,43.36,43.76,43.84,44.05,41.89,42.67,42.86,43.03,42.02,42.36,42.35,42.72,41.04,41.39,41.42,41.75,46.13,46.24,46.25,46.4
114027,Nuoro,Sardegna,10,910510000010,1,Residenziale,1,Tessuto urbano continuo,73,4936.9,False,38.89,39.16,39.24,39.28,40.44,40.75,40.82,40.87,40.13,40.37,40.42,40.49,43.31,43.47,43.51,43.62,40.62,41.02,41.08,41.2,41.3,42.0,41.95,42.3,39.59,40.12,40.07,40.44,45.84,46.0,46.02,46.15
