PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
113017,Olbia,Sardegna,1,900470000001,29,Municipio,5,Edifici pubblici e servizi,0,,True,37.95,38.95,39.32,39.58,38.91,39.89,40.13,40.63,36.74,37.71,38.02,38.39,40.77,41.97,42.43,42.71,40.23,41.32,41.57,42.16,38.09,38.53,38.59,38.9,38.73,39.78,40.08,40.52,42.62,43.54,43.82,44.18
113017,Olbia,Sardegna,2,900470000002,1,Residenziale,1,Tessuto urbano continuo,21,,True,39.47,40.15,39.91,40.92,40.5,41.44,41.19,42.19,38.32,39.55,39.21,40.51,41.58,42.83,42.27,44.28,42.15,43.06,42.95,43.72,38.86,39.64,39.33,40.39,40.51,41.51,41.28,42.31,44.05,45.27,44.79,46.59
113017,Olbia,Sardegna,3,900470000003,1,Residenziale,1,Tessuto urbano continuo,14,,True,40.76,40.94,40.94,41.04,42.01,42.21,42.22,42.34,40.38,40.57,40.6,40.66,44.18,44.26,44.23,44.42,43.8,43.93,43.94,44.08,40.01,40.44,40.6,40.77,42.35,42.45,42.48,42.55,46.54,46.68,46.72,46.73
113017,Olbia,Sardegna,4,900470000004,1,Residenziale,1,Tessuto urbano continuo,17,,True,40.86,40.89,40.89,40.92,41.84,41.96,41.96,42.08,40.62,40.62,40.62,40.63,44.22,44.26,44.26,44.31,44.05,44.06,44.06,44.08,40.24,40.47,40.47,40.7,42.43,42.46,42.46,42.49,46.52,46.55,46.55,46.58
113017,Olbia,Sardegna,5,900470000005,1,Residenziale,1,Tessuto urbano continuo,25,,True,40.81,40.81,40.81,40.81,41.65,41.65,41.65,41.65,40.63,40.63,40.63,40.63,44.07,44.07,44.07,44.07,43.98,43.98,43.98,43.98,40.09,40.09,40.09,40.09,42.37,42.37,42.37,42.37,46.48,46.48,46.48,46.48
113017,Olbia,Sardegna,6,900470000006,1,Residenziale,1,Tessuto urbano continuo,28,,True,40.69,40.77,40.69,40.91,41.53,41.64,41.53,41.86,40.67,40.78,40.67,41.01,44.03,44.13,44.03,44.32,43.74,43.76,43.77,43.77,39.81,39.87,39.81,39.99,42.22,42.28,42.22,42.39,46.48,46.62,46.48,46.88
113017,Olbia,Sardegna,7,900470000007,1,Residenziale,1,Tessuto urbano continuo,13,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113017,Olbia,Sardegna,8,900470000008,1,Residenziale,1,Tessuto urbano continuo,18,,True,40.92,40.92,40.92,40.92,42.08,42.08,42.08,42.08,40.63,40.63,40.63,40.63,44.31,44.31,44.31,44.31,44.08,44.08,44.08,44.08,40.7,40.7,40.7,40.7,42.49,42.49,42.49,42.49,46.58,46.58,46.58,46.58
113017,Olbia,Sardegna,9,900470000009,1,Residenziale,1,Tessuto urbano continuo,15,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113017,Olbia,Sardegna,11,900470000011,1,Residenziale,1,Tessuto urbano continuo,13,,True,40.81,40.81,40.81,40.81,41.98,41.98,41.98,41.98,40.59,40.59,40.59,40.59,44.2,44.2,44.2,44.2,43.99,43.99,43.99,43.99,40.31,40.31,40.31,40.31,42.43,42.43,42.43,42.43,46.58,46.58,46.58,46.58
