PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
115045,Oristano,Sardegna,1,950380000001,1,Residenziale,1,Tessuto urbano continuo,18,8077.3,True,40.71,40.92,40.94,41.06,45.77,46.17,46.19,46.47,39.61,39.97,39.94,40.24,45.37,45.74,45.78,46.03,44.26,44.44,44.45,44.58,40.96,41.2,41.19,41.36,41.98,42.13,42.13,42.26,47.88,48.01,48.0,48.22
115045,Oristano,Sardegna,2,950380000002,1,Residenziale,1,Tessuto urbano continuo,35,12761.3,True,40.92,41.17,41.14,41.55,46.47,46.73,46.68,47.12,39.84,40.47,40.46,40.98,45.85,46.11,46.03,46.53,44.5,44.98,44.96,45.42,41.23,41.47,41.43,41.78,42.37,42.6,42.62,42.81,47.99,48.3,48.21,48.81
115045,Oristano,Sardegna,3,950380000003,31,Museo,5,Edifici pubblici e servizi,9,1849.9,False,41.18,41.21,41.21,41.24,46.7,46.75,46.75,46.8,40.61,40.66,40.66,40.71,46.11,46.16,46.16,46.22,45.0,45.02,45.02,45.04,41.53,41.6,41.6,41.68,42.64,42.65,42.65,42.65,48.21,48.28,48.28,48.35
115045,Oristano,Sardegna,4,950380000004,1,Residenziale,1,Tessuto urbano continuo,25,6285.2,True,41.25,41.45,41.44,41.65,46.8,47.2,47.22,47.48,40.71,40.97,40.94,41.18,46.19,46.47,46.45,46.68,45.13,45.42,45.47,45.58,41.54,41.8,41.8,41.95,42.62,42.82,42.82,42.99,48.32,48.72,48.74,48.96
115045,Oristano,Sardegna,5,950380000005,1,Residenziale,1,Tessuto urbano continuo,15,3692.5,False,41.73,41.85,41.79,41.97,47.53,47.76,47.72,47.93,41.34,41.46,41.41,41.58,46.79,46.95,46.87,47.1,45.64,45.7,45.68,45.74,42.13,42.27,42.19,42.41,43.02,43.21,43.16,43.35,49.1,49.31,49.21,49.52
115045,Oristano,Sardegna,6,950380000006,1,Residenziale,1,Tessuto urbano continuo,2,2643.4,False,41.71,41.77,41.76,41.84,47.33,47.44,47.44,47.56,41.01,41.14,41.11,41.32,46.71,46.79,46.77,46.9,45.57,45.6,45.57,45.7,41.94,42.03,42.03,42.13,43.04,43.13,43.13,43.21,49.03,49.11,49.09,49.22
115045,Oristano,Sardegna,7,950380000007,2,Culto,5,Edifici pubblici e servizi,65,1954.1,False,41.81,41.87,41.87,41.94,47.55,47.67,47.67,47.79,41.01,41.09,41.09,41.17,46.84,46.94,46.94,47.04,45.58,45.63,45.63,45.68,42.13,42.19,42.19,42.25,43.21,43.29,43.29,43.38,49.14,49.24,49.24,49.34
115045,Oristano,Sardegna,8,950380000008,1,Residenziale,1,Tessuto urbano continuo,44,3229.4,False,41.94,42.03,42.04,42.11,47.75,48.02,48.05,48.23,41.03,41.25,41.24,41.5,47.06,47.17,47.18,47.28,45.68,45.72,45.72,45.76,42.3,42.43,42.44,42.54,43.31,43.46,43.43,43.66,49.41,49.55,49.58,49.65
115045,Oristano,Sardegna,9,950380000009,1,Residenziale,1,Tessuto urbano continuo,7,951.4,False,41.86,41.89,41.89,41.92,48.08,48.13,48.13,48.18,41.24,41.28,41.28,41.32,47.04,47.09,47.09,47.14,45.59,45.63,45.63,45.67,42.45,42.45,42.45,42.46,43.51,43.54,43.54,43.57,49.38,49.44,49.44,49.51
115045,Oristano,Sardegna,10,950380000010,1,Residenziale,1,Tessuto urbano continuo,26,3390.6,False,41.78,41.93,41.93,42.06,47.84,47.89,47.84,48.08,41.15,41.24,41.23,41.35,46.83,46.95,46.93,47.17,45.41,45.55,45.55,45.71,42.36,42.43,42.44,42.49,43.37,43.42,43.39,43.58,49.19,49.27,49.24,49.49
115045,Oristano,Sardegna,11,950380000011,1,Residenziale,1,Tessuto urbano continuo,35,9390.2,True,40.93,41.32,41.36,41.67,46.57,46.96,46.92,47.33,40.15,40.49,40.46,41.06,45.68,46.07,46.07,46.62,44.6,44.89,44.81,45.47,41.44,41.83,41.87,42.1,42.47,42.73,42.72,43.02,47.91,48.35,48.34,48.96
