PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
82053,Palermo,,1,820530000001,29,Municipio,5,Edifici pubblici e servizi,0,,True,40.06,40.25,40.32,40.37,41.79,42.1,42.2,42.31,36.63,36.95,37.05,37.18,42.57,43.0,43.2,43.24,41.62,41.9,42.03,42.04,40.78,41.0,41.1,41.14,40.34,40.71,40.89,40.9,40.37,40.74,40.88,40.97
82053,Palermo,,4,820530000004,1,Residenziale,1,Tessuto urbano continuo,42,,True,39.63,39.91,39.94,40.12,40.95,41.53,41.55,41.91,36.59,36.74,36.74,36.97,42.1,42.47,42.45,42.9,40.87,41.43,41.48,41.76,40.32,40.63,40.69,40.92,40.0,40.45,40.5,40.66,39.85,40.4,40.44,40.73
82053,Palermo,,5,820530000005,1,Residenziale,1,Tessuto urbano continuo,39,,True,39.45,39.57,39.57,39.69,41.05,41.21,41.21,41.36,36.49,36.56,36.56,36.62,41.86,42.01,42.01,42.16,40.79,40.97,40.97,41.15,40.04,40.11,40.11,40.17,39.88,39.99,39.99,40.1,40.23,40.56,40.56,40.89
82053,Palermo,,6,820530000006,1,Residenziale,1,Tessuto urbano continuo,51,,True,39.68,39.84,39.83,39.98,41.42,41.49,41.46,41.59,36.55,36.66,36.63,36.81,42.25,42.37,42.33,42.57,41.15,41.37,41.4,41.51,39.99,40.18,40.18,40.38,40.2,40.29,40.33,40.4,40.39,40.92,40.42,41.68
82053,Palermo,,7,820530000007,1,Residenziale,1,Tessuto urbano continuo,21,,True,40.21,40.22,40.22,40.22,41.79,41.79,41.79,41.8,37.03,37.05,37.03,37.1,42.71,42.75,42.71,42.83,41.66,41.7,41.66,41.77,40.46,40.51,40.46,40.61,40.57,40.58,40.57,40.6,40.68,40.69,40.68,40.7
82053,Palermo,,8,820530000008,1,Residenziale,1,Tessuto urbano continuo,130,,True,40.32,40.52,40.53,40.6,42.18,42.48,42.48,42.7,37.15,37.42,37.36,37.69,43.13,43.49,43.57,43.85,41.9,42.18,42.23,42.29,40.9,41.2,41.22,41.35,40.84,41.02,41.04,41.17,40.96,41.09,41.07,41.23
82053,Palermo,,9,820530000009,1,Residenziale,1,Tessuto urbano continuo,85,,True,40.46,40.47,40.47,40.49,42.18,42.41,42.47,42.55,37.34,37.43,37.45,37.48,43.13,43.33,43.37,43.45,41.9,42.11,42.15,42.24,40.9,41.0,41.02,41.06,40.95,41.1,41.14,41.18,40.98,41.15,41.19,41.23
82053,Palermo,,10,820530000010,1,Residenziale,1,Tessuto urbano continuo,21,,True,40.31,40.31,40.31,40.31,42.26,42.26,42.26,42.26,37.06,37.06,37.06,37.06,43.05,43.05,43.05,43.05,41.89,41.89,41.89,41.89,40.48,40.48,40.48,40.48,40.94,40.94,40.94,40.94,41.02,41.02,41.02,41.02
82053,Palermo,,11,820530000011,1,Residenziale,1,Tessuto urbano continuo,31,,True,40.11,40.17,40.17,40.23,42.16,42.27,42.28,42.36,37.05,37.15,37.17,37.22,43.07,43.13,43.13,43.22,41.83,41.92,41.9,42.04,40.57,40.63,40.63,40.69,40.75,40.89,40.9,41.0,40.61,40.88,40.92,41.08
82053,Palermo,,12,820530000012,1,Residenziale,1,Tessuto urbano continuo,56,,True,40.15,40.23,40.22,40.34,42.23,42.4,42.44,42.48,37.31,37.4,37.4,37.55,43.08,43.25,43.3,43.35,41.85,42.17,42.23,42.33,40.71,40.78,40.77,40.85,40.82,40.96,40.98,41.07,40.45,40.87,40.97,41.02
82053,Palermo,,13,820530000013,1,Residenziale,1,Tessuto urbano continuo,232,,True,40.12,40.34,40.3,40.62,42.16,42.55,42.58,42.78,37.02,37.38,37.4,37.73,43.09,43.39,43.34,43.8,41.82,42.19,42.25,42.42,40.51,40.86,40.77,41.3,40.6,41.02,41.05,41.28,40.49,40.92,40.96,41.28
82053,Palermo,,14,820530000014,1,Residenziale,1,Tessuto urbano continuo,72,,True,40.29,40.3,40.3,40.31,42.22,42.28,42.28,42.35,37.25,37.27,37.27,37.3,43.23,43.23,43.23,43.24,42.16,42.23,42.23,42.29,40.61,40.67,40.67,40.73,41.06,41.07,41.07,41.08,40.71,40.74,40.74,40.77
82053,Palermo,,15,820530000015,1,Residenziale,1,Tessuto urbano continuo,27,,True,40.32,40.32,40.32,40.32,42.46,42.46,42.46,42.46,37.41,37.41,37.41,37.41,43.31,43.31,43.31,43.31,42.4,42.4,42.4,42.4,40.72,40.72,40.72,40.72,41.12,41.12,41.12,41.12,40.93,40.93,40.93,40.93
82053,Palermo,,16,820530000016,1,Residenziale,1,Tessuto urbano continuo,61,,True,40.28,40.28,40.28,40.28,42.46,42.46,42.46,42.46,37.46,37.46,37.46,37.46,43.32,43.32,43.32,43.32,42.29,42.29,42.29,42.29,40.8,40.8,40.8,40.8,41.07,41.07,41.07,41.07,40.88,40.88,40.88,40.88
