PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
34027,Parma,,1,340270000001,1,Residenziale,1,Tessuto urbano continuo,177,,True,41.15,42.26,42.23,43.14,37.1,38.16,38.15,38.98,44.59,45.99,45.96,47.09,45.24,45.65,45.44,46.52,38.53,39.63,39.64,40.31,41.06,41.73,41.81,42.2,40.14,41.31,41.28,42.19,44.71,45.24,45.2,45.88
34027,Parma,,2,340270000002,1,Residenziale,1,Tessuto urbano continuo,76,,True,42.31,42.81,42.82,43.34,37.72,38.23,38.2,38.63,45.62,46.49,46.49,47.14,45.25,45.56,45.52,45.96,39.89,40.4,40.42,40.94,41.49,41.84,41.71,42.42,38.61,41.07,41.68,42.05,44.99,45.26,45.32,45.43
34027,Parma,,3,340270000003,1,Residenziale,1,Tessuto urbano continuo,88,,True,41.54,42.05,42.07,42.57,36.93,37.53,37.57,38.01,44.87,45.46,45.45,46.02,44.9,45.2,45.21,45.45,39.44,39.79,39.8,40.13,40.92,41.32,41.36,41.59,37.79,38.74,38.55,40.49,44.74,44.97,44.97,45.21
34027,Parma,,4,340270000004,1,Residenziale,1,Tessuto urbano continuo,51,,True,40.43,40.96,40.88,41.74,35.49,36.33,36.3,37.42,43.47,44.14,44.13,45.19,43.24,44.56,44.54,45.45,37.83,38.65,38.64,39.58,39.14,40.38,40.5,41.33,37.2,38.63,38.2,40.49,42.9,44.22,44.32,44.89
34027,Parma,,5,340270000005,23,Acque interne/zone umide,10,Acqua e zone umide,0,,True,38.33,39.83,39.97,40.77,34.31,35.37,35.39,36.36,40.77,42.56,42.68,43.89,42.06,43.23,42.95,44.63,35.79,36.85,36.84,38.12,36.99,38.49,38.48,40.5,35.9,37.51,36.78,39.62,41.3,42.75,42.7,44.19
34027,Parma,,6,340270000006,1,Residenziale,1,Tessuto urbano continuo,128,,True,40.44,41.84,41.68,43.29,36.25,37.4,37.41,38.34,44.33,45.74,45.57,47.07,44.48,45.46,45.3,46.46,38.96,42.03,41.91,44.43,40.13,41.34,41.07,42.91,37.42,39.55,39.76,41.63,44.42,45.69,45.64,47.08
34027,Parma,,7,340270000007,5,Area verde/parco urbano,7,Verde urbano,0,,True,41.24,41.42,41.35,41.68,36.08,36.47,36.37,36.88,44.23,44.46,44.38,44.77,43.88,44.11,44.05,44.38,39.47,40.53,40.94,41.53,41.44,41.51,41.52,41.6,36.84,39.1,39.42,40.12,44.03,44.2,44.14,44.49
34027,Parma,,8,340270000008,53,Ludico-ricreativo/teatro/cinema,5,Edifici pubblici e servizi,8,,True,41.9,42.78,42.93,43.34,37.32,37.97,38.08,38.63,45.13,46.46,46.6,47.14,44.28,45.38,45.46,46.3,40.18,40.75,40.67,41.2,41.59,41.99,41.94,42.42,40.5,41.37,41.45,42.05,44.99,45.41,45.43,45.66
34027,Parma,,9,340270000009,1,Residenziale,1,Tessuto urbano continuo,28,,True,43.19,43.21,43.22,43.22,38.5,38.5,38.5,38.51,47.1,47.11,47.11,47.11,45.53,46.09,46.37,46.37,41.24,41.26,41.24,41.28,42.36,42.41,42.36,42.51,42.03,42.07,42.1,42.1,45.3,45.37,45.41,45.41
34027,Parma,,10,340270000010,1,Residenziale,1,Tessuto urbano continuo,75,,True,43.2,43.36,43.39,43.54,38.55,38.83,38.8,39.1,47.07,47.2,47.2,47.35,45.63,46.38,46.75,46.78,40.89,41.02,41.01,41.15,42.33,42.48,42.49,42.53,41.98,42.14,42.16,42.28,45.25,45.61,45.5,46.17
34027,Parma,,11,340270000011,1,Residenziale,1,Tessuto urbano continuo,92,,True,43.25,43.43,43.46,43.7,38.73,38.88,38.91,39.13,47.12,47.23,47.25,47.45,45.56,45.94,45.63,46.63,41.14,41.23,41.21,41.42,42.44,42.53,42.5,42.79,42.05,42.17,42.14,42.38,45.5,45.83,45.93,46.37
34027,Parma,,12,340270000012,1,Residenziale,1,Tessuto urbano continuo,22,,True,43.33,43.77,43.84,44.05,38.66,38.91,38.92,39.08,47.18,47.47,47.49,47.65,45.77,46.42,46.56,46.9,40.08,41.02,41.18,41.56,42.07,42.57,42.59,43.03,38.95,41.94,42.21,42.35,45.95,46.39,46.42,46.68
34027,Parma,,13,340270000013,1,Residenziale,1,Tessuto urbano continuo,139,,True,39.61,41.42,41.69,43.26,35.41,37.42,37.79,38.91,42.95,45.01,45.32,47.14,44.36,45.12,45.12,45.88,36.83,38.4,38.62,40.17,40.51,41.17,41.28,41.96,38.53,40.62,41.02,42.17,43.7,44.84,44.98,46.05
34027,Parma,,14,340270000014,1,Residenziale,1,Tessuto urbano continuo,42,,True,41.11,41.83,41.83,42.55,36.95,37.54,37.54,38.13,44.7,45.62,45.62,46.55,44.46,45.2,45.2,45.94,36.78,37.43,37.43,38.07,41.18,41.5,41.5,41.83,40.37,41.11,41.11,41.85,44.31,44.72,44.72,45.13
34027,Parma,,15,340270000015,1,Residenziale,1,Tessuto urbano continuo,61,,True,39.9,40.94,40.64,42.57,35.62,36.65,36.47,38.05,43.13,44.52,44.08,46.8,44.33,44.97,44.8,45.95,36.64,37.28,37.09,38.28,40.6,41.13,40.99,41.95,36.78,39.55,39.76,41.88,43.39,44.08,43.94,45.05
34027,Parma,,16,340270000016,1,Residenziale,1,Tessuto urbano continuo,5,,True,38.66,39.78,39.93,40.1,34.32,35.72,35.81,36.28,41.81,43.15,43.15,43.94,43.34,44.3,44.39,44.48,36.18,36.89,36.86,37.51,39.78,40.49,40.55,40.7,35.71,37.83,37.98,39.29,42.64,43.56,43.51,44.19
34027,Parma,,17,340270000017,23,Acque interne/zone umide,10,Acqua e zone umide,0,,True,37.37,38.93,38.84,40.31,33.45,34.57,34.49,36.06,41.41,42.4,42.26,43.88,42.77,43.43,43.26,44.36,34.2,35.94,36.02,37.39,38.88,39.54,39.44,40.51,35.29,37.31,37.02,39.64,41.91,42.66,42.5,43.94
