PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
41044,Pesaro,,1,410440000001,53,Ludico-ricreativo/teatro/cinema,5,Edifici pubblici e servizi,0,,True,34.02,34.97,35.0,35.51,35.93,37.76,37.94,38.48,34.98,36.2,36.32,36.66,36.85,38.71,38.87,39.56,37.35,38.9,39.05,39.78,37.16,38.88,38.94,39.72,36.17,38.2,38.54,38.93,39.17,41.07,41.02,41.91
41044,Pesaro,,2,410440000002,9,Ospedale/ASL,5,Edifici pubblici e servizi,29,,True,34.5,35.07,35.08,35.73,36.36,37.71,37.89,38.28,35.25,35.95,36.08,36.66,37.37,37.99,37.83,39.25,37.0,38.25,38.4,39.7,37.2,38.15,38.08,39.21,37.28,37.96,38.01,38.8,39.99,40.79,40.84,41.37
41044,Pesaro,,3,410440000003,1,Residenziale,1,Tessuto urbano continuo,161,,True,34.52,34.67,34.63,34.95,36.87,37.1,37.04,37.48,35.06,35.52,35.36,36.06,37.12,37.36,37.37,37.61,36.83,37.4,37.22,38.31,36.76,37.17,37.03,38.05,36.95,37.32,37.33,37.62,39.03,39.8,39.84,40.42
41044,Pesaro,,4,410440000004,1,Residenziale,1,Tessuto urbano continuo,94,,True,34.79,35.13,35.13,35.55,37.01,37.46,37.44,37.88,35.36,35.86,35.87,36.4,37.26,37.6,37.59,37.98,36.69,36.96,36.85,37.56,36.75,37.09,37.0,37.6,36.78,37.15,37.12,37.51,38.84,39.36,39.32,39.82
41044,Pesaro,,5,410440000005,1,Residenziale,1,Tessuto urbano continuo,47,,True,35.3,35.57,35.6,35.83,37.71,38.09,38.06,38.4,35.89,36.27,36.28,36.49,37.92,38.15,38.07,38.57,37.15,37.91,37.9,38.64,37.6,38.15,38.04,38.87,37.34,37.78,37.68,38.4,39.77,40.17,40.13,40.65
41044,Pesaro,,6,410440000006,1,Residenziale,1,Tessuto urbano continuo,140,,True,35.28,35.71,35.72,36.34,37.42,38.16,38.27,38.56,35.52,36.44,36.54,37.03,38.01,38.73,38.79,39.34,37.06,38.17,38.32,38.86,37.57,38.61,38.75,39.42,37.05,38.06,38.04,38.92,39.71,40.59,40.71,41.19
41044,Pesaro,,7,410440000007,1,Residenziale,1,Tessuto urbano continuo,66,,True,33.83,34.84,34.86,35.28,36.12,37.01,37.01,37.45,34.6,35.28,35.32,35.66,36.72,37.48,37.47,38.01,36.22,36.71,36.76,37.06,36.17,37.03,37.15,37.57,35.76,36.67,36.69,37.11,38.31,39.05,38.93,39.71
41044,Pesaro,,8,410440000008,1,Residenziale,1,Tessuto urbano continuo,66,,True,33.92,34.18,34.23,34.59,36.26,36.54,36.51,36.82,34.66,34.93,34.87,35.21,36.74,36.92,36.88,37.09,36.47,36.98,36.94,37.67,36.3,36.79,36.71,37.42,36.01,36.56,36.54,37.07,38.41,38.86,38.77,39.55
41044,Pesaro,,9,410440000009,16,Impianto sportivo,6,Impianti sportivi,0,,True,34.09,34.55,34.51,35.08,36.5,37.19,37.19,37.85,35.0,35.75,35.79,36.3,37.02,37.92,37.98,39.04,37.73,38.97,38.98,39.62,37.52,38.6,38.67,39.31,37.06,38.03,38.14,38.75,39.88,41.03,41.11,41.71
41044,Pesaro,,10,410440000010,1,Residenziale,1,Tessuto urbano continuo,107,,True,34.72,35.58,35.65,36.39,36.87,37.63,37.54,38.53,35.26,35.9,35.71,37.01,37.44,38.48,38.25,39.35,37.02,38.04,37.94,39.02,37.3,38.0,37.8,38.96,36.6,37.63,37.27,38.97,39.01,40.26,40.07,41.26
41044,Pesaro,,11,410440000011,1,Residenziale,1,Tessuto urbano continuo,46,,True,33.82,34.1,33.93,34.79,36.13,36.38,36.17,36.98,34.52,34.75,34.56,35.21,36.67,36.97,36.78,37.55,36.04,36.34,36.13,36.86,36.15,36.5,36.23,37.22,35.66,36.01,35.91,36.63,38.27,38.42,38.28,38.98
41044,Pesaro,,12,410440000012,1,Residenziale,1,Tessuto urbano continuo,60,,True,33.68,33.77,33.74,33.86,35.89,35.96,35.94,36.12,34.07,34.27,34.27,34.6,36.32,36.46,36.45,36.72,35.9,36.19,36.07,36.64,35.81,36.04,35.93,36.52,35.47,35.69,35.55,36.04,38.24,38.39,38.34,38.7
41044,Pesaro,,13,410440000013,1,Residenziale,1,Tessuto urbano continuo,46,,True,33.85,34.06,34.06,34.36,35.51,36.08,35.99,37.85,34.27,34.8,34.76,35.45,36.34,36.6,36.59,36.79,36.64,37.31,37.43,37.92,36.52,37.35,37.37,37.92,36.04,36.61,36.53,37.0,38.7,39.51,39.36,40.15
41044,Pesaro,,15,410440000015,1,Residenziale,1,Tessuto urbano continuo,231,,True,31.81,34.15,34.15,35.51,35.14,36.16,36.17,37.5,34.29,34.77,34.81,35.64,36.18,36.84,36.71,38.61,36.03,36.88,36.58,38.63,36.45,36.97,36.9,37.92,35.82,36.49,36.4,38.0,38.35,39.12,39.04,40.55
41044,Pesaro,,16,410440000016,1,Residenziale,1,Tessuto urbano continuo,57,,True,33.92,34.07,34.08,34.22,35.97,36.17,36.16,36.56,34.14,34.35,34.26,34.92,36.17,36.43,36.38,36.87,35.83,36.03,35.99,36.54,35.82,36.18,36.1,36.9,35.64,35.85,35.83,36.17,38.27,38.38,38.37,38.49
41044,Pesaro,,17,410440000017,1,Residenziale,1,Tessuto urbano continuo,44,,True,33.85,34.14,34.08,34.5,35.95,36.22,36.13,36.68,34.07,34.28,34.16,34.74,36.23,36.32,36.32,36.39,35.9,36.31,36.37,36.83,35.84,36.21,36.26,36.66,35.48,35.77,35.71,36.09,38.39,38.66,38.61,38.96
41044,Pesaro,,18,410440000018,1,Residenziale,1,Tessuto urbano continuo,19,,True,33.85,34.2,34.12,34.63,35.94,36.49,36.52,37.04,34.47,34.93,34.96,35.35,36.16,36.57,36.64,37.05,36.83,37.07,37.1,37.44,36.57,37.04,36.96,37.56,35.95,36.37,36.41,36.77,38.74,39.09,39.06,39.5
41044,Pesaro,,20,410440000020,1,Residenziale,1,Tessuto urbano continuo,35,,True,34.22,34.43,34.31,34.77,36.24,36.49,36.39,36.76,34.22,34.63,34.59,35.02,36.14,36.34,36.22,36.73,36.08,36.39,36.29,36.77,36.13,36.59,36.67,36.89,35.9,36.06,35.96,36.3,38.43,38.61,38.6,38.83
41044,Pesaro,,21,410440000021,1,Residenziale,1,Tessuto urbano continuo,35,,True,34.43,34.76,34.81,34.91,36.52,36.85,36.89,36.98,34.48,34.96,35.05,35.08,36.34,36.63,36.69,36.75,36.49,36.92,36.97,37.07,36.41,36.83,36.89,36.93,36.01,36.3,36.35,36.4,38.77,39.03,39.07,39.15
41044,Pesaro,,22,410440000022,1,Residenziale,1,Tessuto urbano continuo,28,,True,34.63,34.97,35.01,35.23,36.87,37.41,37.36,37.89,35.07,35.49,35.47,35.86,36.66,37.11,37.19,37.36,37.06,37.69,37.68,38.17,36.96,37.31,37.33,37.72,36.41,36.9,36.88,37.26,39.14,39.48,39.47,39.84
41044,Pesaro,,23,410440000023,1,Residenziale,1,Tessuto urbano continuo,45,,True,34.62,35.56,35.68,36.46,36.88,37.56,37.66,38.31,35.45,36.14,36.25,37.03,37.37,37.97,38.09,38.68,37.71,38.37,38.45,39.03,37.21,37.86,37.97,38.59,37.15,37.64,37.72,38.31,40.08,40.42,40.45,40.98
41044,Pesaro,,24,410440000024,1,Residenziale,1,Tessuto urbano continuo,45,,True,34.89,35.37,35.33,36.08,36.71,37.32,37.27,37.95,35.25,35.93,35.92,36.62,37.05,37.7,37.61,38.56,37.09,37.66,37.75,38.35,37.13,37.63,37.7,38.12,36.64,37.17,37.21,37.9,39.48,39.93,39.96,40.49
41044,Pesaro,,25,410440000025,1,Residenziale,1,Tessuto urbano continuo,52,,True,34.5,35.18,35.16,35.92,36.51,37.15,37.07,37.95,34.9,35.52,35.43,36.4,36.5,37.4,37.42,38.43,36.59,37.1,37.03,37.98,36.8,37.19,37.17,37.9,36.16,36.7,36.7,37.46,38.8,39.3,39.2,40.27
41044,Pesaro,,26,410440000026,1,Residenziale,1,Tessuto urbano continuo,37,,True,34.87,35.0,35.01,35.09,36.61,36.71,36.7,36.83,34.76,34.88,34.84,35.05,36.63,36.78,36.73,36.99,36.87,36.98,36.94,37.16,36.8,36.88,36.87,37.0,36.23,36.36,36.38,36.51,38.88,38.97,38.96,39.09
41044,Pesaro,,27,410440000027,1,Residenziale,1,Tessuto urbano continuo,58,,True,35.08,35.19,35.18,35.36,36.24,36.89,36.9,37.64,34.91,35.32,35.33,35.89,36.69,37.17,37.12,37.62,37.04,37.4,37.39,37.9,37.06,37.48,37.36,38.01,36.6,36.98,37.02,37.29,39.09,39.42,39.4,39.93
41044,Pesaro,,29,410440000029,12,Attivita produttive,2,Superficie impervia pesante,11,,True,36.48,37.6,37.71,38.2,38.3,39.56,39.79,40.25,36.4,37.14,37.32,37.57,38.29,38.78,38.83,39.17,38.19,38.94,39.01,39.63,37.37,38.37,38.53,38.92,37.83,38.46,38.54,38.76,40.34,41.06,41.17,41.53
41044,Pesaro,,30,410440000030,1,Residenziale,1,Tessuto urbano continuo,87,,True,35.71,36.39,36.3,37.3,37.59,38.38,38.27,39.42,35.79,36.45,36.38,37.15,37.46,38.17,38.1,38.78,37.67,38.25,38.22,38.85,37.04,37.75,37.73,38.37,37.04,37.66,37.64,38.31,39.68,40.33,40.28,40.98
41044,Pesaro,,31,410440000031,1,Residenziale,1,Tessuto urbano continuo,42,,True,35.02,35.2,35.13,35.55,36.69,36.93,36.9,37.41,34.99,35.23,35.21,35.57,36.57,36.94,36.88,37.18,37.17,37.36,37.33,37.7,36.31,36.74,36.74,36.97,36.5,36.71,36.73,36.84,39.01,39.2,39.17,39.56
41044,Pesaro,,32,410440000032,1,Residenziale,1,Tessuto urbano continuo,76,,True,35.04,35.16,35.11,35.36,36.03,36.56,36.71,36.99,34.93,35.19,35.2,35.4,36.62,36.86,36.84,37.25,37.22,37.54,37.49,38.14,36.82,37.11,37.14,37.36,36.71,36.92,36.93,37.2,39.0,39.26,39.26,39.5
41044,Pesaro,,33,410440000033,1,Residenziale,1,Tessuto urbano continuo,53,,True,35.97,36.72,36.65,37.39,37.93,38.82,38.76,39.58,36.04,36.5,36.54,36.86,37.6,38.22,38.36,38.55,37.74,38.06,38.14,38.52,37.01,37.39,37.42,37.81,36.85,37.48,37.61,38.03,39.98,40.39,40.44,40.74
41044,Pesaro,,34,410440000034,1,Residenziale,1,Tessuto urbano continuo,22,,True,34.99,35.47,35.52,35.89,36.55,37.14,37.18,37.67,35.04,35.5,35.52,35.99,36.32,36.79,36.71,37.52,36.99,37.28,37.22,37.67,36.31,36.47,36.41,36.77,36.28,36.42,36.37,36.66,38.88,39.36,39.39,39.88
41044,Pesaro,,35,410440000035,1,Residenziale,1,Tessuto urbano continuo,0,,True,35.0,35.4,35.43,35.72,36.16,36.64,36.56,37.16,35.09,35.43,35.51,35.64,36.37,36.89,36.9,37.4,37.14,37.47,37.5,37.74,36.4,36.84,36.96,37.15,36.56,37.12,37.04,38.42,38.86,39.44,39.57,39.91
41044,Pesaro,,37,410440000037,1,Residenziale,1,Tessuto urbano continuo,65,,True,36.51,36.81,36.76,37.12,38.77,39.28,39.28,39.64,36.43,36.74,36.78,37.11,38.38,38.83,38.91,39.42,38.23,38.45,38.5,38.7,37.47,37.77,37.85,38.19,37.85,38.09,38.13,38.4,40.4,40.7,40.77,41.05
41044,Pesaro,,38,410440000038,1,Residenziale,1,Tessuto urbano continuo,21,,True,36.19,36.44,36.4,36.84,37.79,38.23,38.18,38.92,36.18,36.31,36.27,36.46,37.96,38.13,38.15,38.35,37.66,37.84,37.83,38.01,36.77,36.99,37.02,37.21,36.92,37.19,37.18,37.54,39.67,39.97,39.87,40.25
41044,Pesaro,,39,410440000039,1,Residenziale,1,Tessuto urbano continuo,40,,True,35.76,36.03,36.09,36.18,37.44,37.68,37.67,37.85,35.71,36.02,35.99,36.26,36.97,37.5,37.47,37.87,37.36,37.6,37.63,37.74,36.49,36.7,36.74,36.8,36.36,36.73,36.77,36.93,39.68,39.85,39.84,39.99
