PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
68028,Pescara,,1,680280000001,29,Municipio,5,Edifici pubblici e servizi,0,,True,37.77,39.33,39.16,41.12,36.76,38.53,38.41,40.33,31.09,32.72,32.66,34.39,36.84,38.52,38.51,40.03,36.33,38.24,38.17,40.07,36.3,38.17,38.28,39.75,37.0,38.96,39.01,40.68,39.78,41.67,41.62,43.75
68028,Pescara,,2,680280000002,37,Scuole/istituti,5,Edifici pubblici e servizi,0,,True,40.26,40.97,41.15,41.29,38.65,40.32,40.54,40.8,32.72,33.88,34.26,34.6,38.66,39.88,40.02,40.65,38.5,39.74,39.9,40.41,38.48,39.43,39.54,39.92,39.42,40.41,40.64,40.95,42.64,43.6,43.75,44.16
68028,Pescara,,3,680280000003,1,Residenziale,1,Tessuto urbano continuo,194,,True,40.28,40.89,40.97,41.3,39.97,40.29,40.29,40.63,32.81,33.6,33.71,34.21,39.41,40.05,40.08,40.57,39.15,39.78,39.82,40.28,39.03,39.42,39.43,39.9,39.69,40.06,40.02,40.73,42.61,43.37,43.31,44.14
68028,Pescara,,4,680280000004,37,Scuole/istituti,5,Edifici pubblici e servizi,0,,True,39.01,39.69,39.8,40.15,37.67,38.33,38.1,39.19,32.17,32.66,32.35,33.62,37.69,38.29,38.26,38.76,37.73,37.97,37.92,38.35,37.52,37.84,37.77,38.18,38.43,38.97,39.04,39.17,42.13,42.45,42.47,42.73
68028,Pescara,,5,680280000005,1,Residenziale,1,Tessuto urbano continuo,128,,True,39.95,40.24,40.23,40.63,39.34,39.68,39.73,39.97,32.26,32.62,32.59,33.07,39.07,39.47,39.55,39.89,38.42,39.12,39.26,39.53,38.44,39.08,39.13,39.49,39.34,39.64,39.7,39.85,42.47,43.13,43.16,43.95
68028,Pescara,,6,680280000006,1,Residenziale,1,Tessuto urbano continuo,175,,True,39.1,39.54,39.49,40.16,37.94,38.53,38.48,39.23,32.2,32.44,32.43,32.66,37.92,38.54,38.62,39.04,37.8,38.16,38.14,38.68,37.58,38.1,38.03,38.92,38.59,38.97,38.97,39.36,42.01,42.53,42.58,43.18
68028,Pescara,,7,680280000007,1,Residenziale,1,Tessuto urbano continuo,54,,True,37.33,38.5,38.52,39.34,36.54,37.66,37.65,38.66,30.62,31.8,31.95,32.6,36.31,37.48,37.54,38.53,36.39,37.54,37.38,38.59,36.02,37.19,37.13,38.28,36.62,37.66,37.48,39.01,39.29,40.78,40.7,42.12
68028,Pescara,,8,680280000008,1,Residenziale,1,Tessuto urbano continuo,189,,True,37.74,39.13,39.17,40.55,36.94,38.71,38.82,39.96,31.38,32.45,32.47,33.28,36.65,38.46,38.63,39.82,36.96,38.36,38.56,39.19,36.56,38.09,38.24,39.46,36.9,38.81,39.01,40.21,39.84,41.53,41.82,42.75
68028,Pescara,,9,680280000009,1,Residenziale,1,Tessuto urbano continuo,281,,True,39.17,40.12,40.17,40.74,38.57,39.28,39.26,40.0,32.33,32.79,32.7,33.83,38.77,39.27,39.22,40.07,38.16,38.82,38.9,39.43,38.21,39.1,39.26,39.83,38.89,39.69,39.7,40.47,41.91,43.04,43.17,43.56
68028,Pescara,,10,680280000010,1,Residenziale,1,Tessuto urbano continuo,155,,True,40.51,41.15,41.17,41.7,39.68,40.36,40.38,40.95,33.29,33.96,34.03,34.4,39.67,40.45,40.56,41.0,39.24,39.68,39.69,40.21,39.6,40.13,40.15,40.65,40.1,40.69,40.69,41.18,43.03,43.62,43.68,44.17
68028,Pescara,,11,680280000011,1,Residenziale,1,Tessuto urbano continuo,232,,True,40.89,41.19,41.18,41.49,40.13,40.58,40.57,41.09,33.49,34.18,34.22,34.59,40.04,40.43,40.4,40.83,39.48,39.82,39.79,40.23,39.59,40.08,40.15,40.5,40.52,40.83,40.88,41.05,43.06,43.41,43.4,43.77
