PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
50026,Pisa,,1,500260000001,29,Municipio,5,Edifici pubblici e servizi,9,,True,42.94,43.65,43.85,44.84,41.04,41.82,41.78,43.08,41.02,42.02,42.14,43.45,43.22,44.07,44.15,45.4,38.94,39.61,39.63,40.74,41.23,41.82,41.86,42.98,40.75,41.4,41.31,42.27,43.37,44.07,43.89,45.61
50026,Pisa,,2,500260000002,1,Residenziale,1,Tessuto urbano continuo,6,,True,43.12,44.37,44.56,45.28,41.07,42.46,42.81,43.35,41.2,42.74,43.1,43.69,43.02,44.64,44.95,45.76,38.02,39.96,40.23,41.43,40.91,42.31,42.51,43.49,40.56,41.92,42.01,42.86,42.37,44.56,44.84,46.22
50026,Pisa,,3,500260000003,1,Residenziale,1,Tessuto urbano continuo,74,,True,44.84,45.35,45.29,46.0,43.31,43.72,43.64,44.3,43.81,44.23,44.17,44.77,45.81,46.29,46.24,46.86,41.09,41.54,41.55,41.96,43.38,44.03,43.99,44.78,42.6,43.92,43.9,45.27,46.2,46.84,46.85,47.44
50026,Pisa,,4,500260000004,1,Residenziale,1,Tessuto urbano continuo,25,,True,44.84,45.61,45.68,46.18,43.08,43.84,43.93,44.43,43.45,44.25,44.42,44.87,45.4,46.29,46.48,46.95,40.74,41.76,42.04,42.27,42.98,44.11,44.35,44.75,42.27,44.0,44.4,45.15,45.61,46.79,47.15,47.4
50026,Pisa,,5,500260000005,1,Residenziale,1,Tessuto urbano continuo,50,,True,45.27,45.75,45.75,46.24,43.43,43.96,43.96,44.48,43.84,44.26,44.2,44.81,45.9,46.29,46.24,46.77,41.62,41.86,41.89,42.05,43.71,44.26,44.29,44.75,43.12,43.65,43.42,44.62,46.46,46.88,46.85,47.37
50026,Pisa,,6,500260000006,1,Residenziale,1,Tessuto urbano continuo,40,,True,45.65,45.75,45.75,45.84,43.87,43.96,43.96,44.05,44.11,44.2,44.2,44.28,46.19,46.24,46.24,46.29,41.79,41.89,41.89,41.98,44.23,44.29,44.29,44.35,43.12,43.15,43.15,43.18,46.83,46.85,46.85,46.86
50026,Pisa,,7,500260000007,1,Residenziale,1,Tessuto urbano continuo,31,,True,45.58,45.71,45.67,45.87,43.59,43.73,43.76,43.84,43.86,44.01,43.99,44.18,45.98,46.12,46.12,46.27,42.01,42.06,42.07,42.09,44.09,44.22,44.18,44.39,43.13,43.41,43.18,43.93,46.62,46.72,46.74,46.82
50026,Pisa,,8,500260000008,1,Residenziale,1,Tessuto urbano continuo,31,,True,45.83,45.85,45.86,45.86,43.79,43.87,43.84,43.97,44.11,44.17,44.19,44.21,45.69,45.99,46.14,46.15,41.76,42.01,41.97,42.31,44.27,44.32,44.28,44.41,42.81,42.95,42.95,43.07,46.62,46.7,46.7,46.77
50026,Pisa,,9,500260000009,1,Residenziale,1,Tessuto urbano continuo,18,,True,45.77,45.77,45.77,45.77,43.79,43.79,43.79,43.79,44.02,44.02,44.02,44.02,46.15,46.15,46.15,46.15,42.28,42.28,42.28,42.28,44.37,44.37,44.37,44.37,43.78,43.78,43.78,43.78,46.68,46.68,46.68,46.68
50026,Pisa,,10,500260000010,1,Residenziale,1,Tessuto urbano continuo,153,,True,44.43,44.97,44.83,45.55,42.9,43.44,43.53,43.89,42.92,43.5,43.37,44.03,44.14,45.31,45.31,45.91,40.32,41.17,41.2,42.57,42.67,43.34,43.25,43.92,41.37,42.28,42.37,43.13,44.65,45.84,45.72,46.53
50026,Pisa,,11,500260000011,1,Residenziale,1,Tessuto urbano continuo,26,,True,45.09,45.66,45.72,46.1,43.55,43.84,43.86,44.09,43.63,43.93,43.93,44.24,44.78,45.65,45.82,46.18,40.5,41.28,41.27,42.1,43.43,43.82,43.8,44.24,43.12,43.4,43.38,43.73,45.57,46.06,46.07,46.52
50026,Pisa,,12,500260000012,1,Residenziale,1,Tessuto urbano continuo,23,,True,45.23,45.61,45.63,45.94,43.37,43.63,43.61,43.94,43.41,43.66,43.63,43.96,44.52,45.45,45.63,46.02,40.36,40.47,40.39,40.76,43.23,43.61,43.6,44.02,42.8,43.14,43.13,43.47,45.3,45.6,45.51,46.07
50026,Pisa,,13,500260000013,1,Residenziale,1,Tessuto urbano continuo,21,,True,45.21,45.32,45.25,45.49,43.3,43.38,43.34,43.5,43.15,43.32,43.37,43.43,45.08,45.19,45.15,45.35,40.18,40.24,40.23,40.31,42.94,43.12,43.08,43.33,42.76,42.85,42.79,42.98,44.81,44.96,44.99,45.09
50026,Pisa,,15,500260000015,1,Residenziale,1,Tessuto urbano continuo,28,,True,43.11,44.28,44.32,45.36,41.14,42.25,42.27,43.34,41.59,42.59,42.64,43.48,43.25,44.59,44.69,45.76,37.96,39.72,39.91,41.1,41.08,42.71,42.95,43.84,41.15,42.27,42.35,43.22,42.33,44.56,44.9,46.1
50026,Pisa,,16,500260000016,1,Residenziale,1,Tessuto urbano continuo,29,,True,42.29,44.21,44.4,45.69,40.37,42.17,42.34,43.65,40.9,42.4,42.57,43.63,42.98,44.59,44.87,45.8,38.19,39.61,39.73,40.54,41.42,42.86,43.13,43.81,40.77,42.06,42.22,43.19,42.57,44.52,44.9,45.61
50026,Pisa,,17,500260000017,1,Residenziale,1,Tessuto urbano continuo,274,,True,43.09,44.4,44.41,45.85,41.52,42.76,42.79,44.17,41.83,42.87,42.71,44.7,42.76,44.75,44.6,46.77,39.23,40.73,40.61,43.01,42.08,42.91,42.79,44.06,40.4,41.96,42.0,43.21,43.53,44.6,44.43,46.24
50026,Pisa,,18,500260000018,1,Residenziale,1,Tessuto urbano continuo,86,,True,42.65,44.56,44.65,45.58,40.54,42.54,42.68,43.68,40.79,42.56,42.42,43.76,43.18,44.8,44.82,45.59,38.95,40.65,40.64,42.01,42.19,42.97,43.12,43.51,40.3,42.11,42.04,43.16,43.29,44.55,44.66,45.31
50026,Pisa,,19,500260000019,1,Residenziale,1,Tessuto urbano continuo,77,,True,42.55,44.64,45.1,45.98,40.44,42.75,43.25,44.21,40.94,42.93,43.49,44.28,43.1,44.79,45.11,45.91,39.64,41.2,41.19,42.68,41.75,42.95,43.11,43.93,39.9,41.84,42.23,43.14,42.28,44.26,44.54,45.59
50026,Pisa,,20,500260000020,1,Residenziale,1,Tessuto urbano continuo,89,,True,42.3,44.42,44.95,45.98,40.81,42.7,43.21,44.21,41.84,43.21,43.65,44.28,43.11,44.65,45.07,45.91,39.37,41.12,41.49,42.68,41.46,42.82,43.27,43.93,39.49,41.37,42.02,42.62,41.9,43.93,44.39,45.59
50026,Pisa,,21,500260000021,1,Residenziale,1,Tessuto urbano continuo,183,,True,43.26,44.95,45.22,45.71,41.41,43.11,43.48,43.78,42.32,43.37,43.39,43.78,43.96,45.24,45.41,46.22,39.29,41.56,41.94,42.18,41.72,43.0,43.22,43.55,40.14,41.65,41.81,42.59,42.49,44.32,44.79,45.04
50026,Pisa,,22,500260000022,1,Residenziale,1,Tessuto urbano continuo,118,,True,38.12,42.12,42.46,45.14,36.16,40.07,40.27,43.11,37.94,41.32,41.67,44.15,39.91,43.46,43.56,46.28,35.64,38.93,39.21,42.04,37.31,40.75,41.0,43.18,36.33,39.05,39.17,42.22,38.15,41.84,41.87,45.06
50026,Pisa,,23,500260000023,1,Residenziale,1,Tessuto urbano continuo,242,,True,43.29,44.21,44.17,45.59,41.6,42.6,42.67,43.74,42.3,43.22,43.35,44.05,44.26,45.32,45.42,46.53,39.82,40.76,40.83,42.03,41.98,42.79,42.79,43.73,40.49,41.35,41.44,42.52,43.62,44.57,44.71,45.66
50026,Pisa,,24,500260000024,1,Residenziale,1,Tessuto urbano continuo,106,,True,44.74,45.3,45.39,45.82,43.18,43.67,43.76,44.05,44.02,44.52,44.54,44.96,46.3,46.86,46.84,47.55,41.25,42.17,42.3,42.88,43.5,43.93,43.94,44.34,41.04,41.87,41.89,42.63,45.33,45.73,45.69,46.2
50026,Pisa,,25,500260000025,1,Residenziale,1,Tessuto urbano continuo,94,,True,44.91,45.84,45.88,46.42,43.62,44.27,44.24,44.98,43.29,44.59,44.69,45.45,45.63,46.68,46.83,47.53,41.37,44.55,45.09,45.87,43.22,44.13,44.19,44.72,41.32,42.62,42.71,43.36,45.87,46.52,46.61,46.97
50026,Pisa,,26,500260000026,1,Residenziale,1,Tessuto urbano continuo,124,,True,44.36,44.82,44.67,45.76,43.11,43.47,43.36,44.22,43.2,43.74,43.68,44.58,44.95,45.44,45.41,46.18,44.21,45.43,45.55,46.2,42.77,43.73,43.7,45.15,41.76,42.43,42.45,43.16,45.07,46.06,45.92,47.34
50026,Pisa,,27,500260000027,1,Residenziale,1,Tessuto urbano continuo,2,,True,44.25,44.43,44.41,44.99,43.07,43.22,43.17,43.72,43.2,43.37,43.33,43.96,45.15,45.51,45.55,46.04,44.06,45.01,44.91,45.85,42.67,43.31,43.4,43.7,41.75,42.03,42.02,42.45,44.92,45.15,45.0,45.69
50026,Pisa,,28,500260000028,1,Residenziale,1,Tessuto urbano continuo,57,,True,44.32,45.36,45.37,46.19,43.06,43.9,44.04,44.38,43.48,44.49,44.52,45.05,45.73,46.44,46.5,47.01,44.36,44.98,44.98,46.0,43.31,44.07,44.14,44.99,41.65,42.56,42.61,43.23,44.97,45.95,46.1,46.61
50026,Pisa,,29,500260000029,1,Residenziale,1,Tessuto urbano continuo,71,,True,45.42,45.86,45.98,46.08,43.57,43.9,43.94,44.1,44.21,44.49,44.51,44.91,46.17,46.62,46.59,47.26,44.36,44.81,44.86,45.11,44.03,44.5,44.58,44.81,42.24,42.81,42.98,43.11,45.93,46.36,46.4,46.73
50026,Pisa,,30,500260000030,1,Residenziale,1,Tessuto urbano continuo,62,,True,45.58,46.02,46.06,46.22,43.7,44.1,44.11,44.34,44.03,44.53,44.59,44.82,45.97,46.58,46.73,46.99,41.63,42.57,42.38,43.75,44.13,44.54,44.59,44.73,42.98,43.31,43.25,43.71,46.73,46.98,47.0,47.26
