PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
47014,Pistoia,,1,470140000001,29,Municipio,5,Edifici pubblici e servizi,0,,True,47.49,47.65,47.66,47.81,45.24,45.61,45.62,45.98,46.27,46.34,46.35,46.42,47.72,47.96,47.95,48.31,44.18,44.75,44.86,45.45,45.37,45.53,45.58,45.7,44.93,45.12,45.13,45.31,49.34,49.41,49.41,49.49
47014,Pistoia,,2,470140000002,37,Scuole/istituti,5,Edifici pubblici e servizi,16,,True,47.38,47.7,47.74,47.96,45.23,45.54,45.58,45.76,46.14,46.21,46.2,46.3,48.09,48.73,48.84,49.13,44.32,44.41,44.42,44.49,45.22,45.25,45.24,45.32,45.02,45.41,45.44,45.72,49.67,50.04,50.08,50.35
47014,Pistoia,,3,470140000003,1,Residenziale,1,Tessuto urbano continuo,40,,True,47.68,47.68,47.68,47.69,45.73,45.8,45.83,45.83,46.37,46.39,46.37,46.44,48.17,48.17,48.17,48.17,44.44,45.05,45.36,45.36,45.71,45.72,45.71,45.73,45.12,45.17,45.19,45.19,49.44,49.46,49.44,49.5
47014,Pistoia,,4,470140000004,1,Residenziale,1,Tessuto urbano continuo,97,,True,47.09,47.37,47.29,47.78,44.97,45.36,45.3,45.83,45.4,45.82,45.81,46.19,47.21,47.5,47.5,47.88,44.25,44.6,44.6,44.88,43.84,44.83,44.79,45.35,44.47,44.73,44.73,45.1,48.47,48.88,48.89,49.36
47014,Pistoia,,5,470140000005,1,Residenziale,1,Tessuto urbano continuo,136,,True,46.88,47.32,47.35,47.55,44.96,45.34,45.4,45.53,45.82,46.13,46.19,46.31,47.71,48.38,48.46,48.74,43.98,44.33,44.38,44.54,44.74,44.94,44.95,45.14,44.72,45.31,45.37,45.61,49.59,49.99,50.07,50.21
47014,Pistoia,,6,470140000006,1,Residenziale,1,Tessuto urbano continuo,18,,True,47.68,47.74,47.74,47.8,45.59,45.63,45.63,45.67,46.38,46.38,46.38,46.39,48.78,48.84,48.84,48.9,44.63,44.64,44.64,44.65,45.12,45.23,45.23,45.33,45.73,45.76,45.76,45.79,50.24,50.24,50.24,50.25
47014,Pistoia,,7,470140000007,1,Residenziale,1,Tessuto urbano continuo,73,,True,47.8,47.97,47.98,48.14,45.72,45.87,45.86,46.09,46.33,46.44,46.46,46.54,48.69,48.88,48.91,49.03,44.55,44.7,44.7,44.77,45.24,45.41,45.45,45.48,45.54,45.77,45.77,45.85,49.26,50.01,50.2,50.29
47014,Pistoia,,8,470140000008,1,Residenziale,1,Tessuto urbano continuo,59,,True,48.0,48.2,48.23,48.34,45.77,45.96,45.98,46.13,46.42,46.58,46.6,46.69,49.03,49.1,49.07,49.23,44.61,44.7,44.7,44.81,45.35,45.48,45.5,45.58,45.82,45.89,45.88,45.99,50.29,50.34,50.3,50.45
47014,Pistoia,,9,470140000009,1,Residenziale,1,Tessuto urbano continuo,77,,True,47.71,47.87,47.8,48.06,45.6,45.71,45.67,45.83,46.21,46.27,46.22,46.43,48.89,49.05,49.05,49.13,44.48,44.5,44.49,44.55,45.15,45.21,45.16,45.33,45.62,45.7,45.66,45.83,49.67,50.13,50.22,50.36
47014,Pistoia,,10,470140000010,1,Residenziale,1,Tessuto urbano continuo,55,,True,47.46,47.99,48.06,48.34,45.64,46.01,46.11,46.28,46.19,46.44,46.45,46.67,48.04,48.58,48.68,49.1,44.25,44.55,44.6,44.81,44.93,45.19,45.24,45.52,44.77,45.43,45.56,45.9,48.88,49.42,49.38,50.31
47014,Pistoia,,11,470140000011,1,Residenziale,1,Tessuto urbano continuo,92,,True,48.04,48.19,48.2,48.31,45.8,46.02,46.01,46.28,46.36,46.52,46.53,46.66,48.76,48.98,48.96,49.17,44.46,44.6,44.62,44.72,45.17,45.32,45.28,45.46,45.68,45.81,45.82,45.93,49.59,49.69,49.7,49.82
47014,Pistoia,,12,470140000012,1,Residenziale,1,Tessuto urbano continuo,150,,True,46.67,47.29,47.36,47.77,45.4,45.56,45.54,45.8,45.75,45.99,46.0,46.15,47.61,47.93,47.96,48.15,43.5,44.0,44.08,44.23,44.43,44.7,44.71,44.92,44.15,44.65,44.69,45.2,48.38,48.68,48.68,49.1
47014,Pistoia,,13,470140000013,1,Residenziale,1,Tessuto urbano continuo,31,,True,46.45,46.56,46.45,46.79,45.38,45.39,45.38,45.42,45.62,45.73,45.62,45.95,48.03,48.05,48.03,48.08,43.37,43.51,43.37,43.78,44.46,44.6,44.46,44.88,43.97,44.04,43.97,44.18,48.2,48.27,48.2,48.41
47014,Pistoia,,14,470140000014,1,Residenziale,1,Tessuto urbano continuo,67,,True,47.7,47.86,47.89,47.96,45.55,45.75,45.8,45.81,46.06,46.25,46.3,46.31,48.45,48.88,48.94,49.08,43.98,44.28,44.34,44.48,44.84,45.14,45.2,45.24,45.4,45.63,45.66,45.75,49.13,49.49,49.54,49.68
47014,Pistoia,,15,470140000015,1,Residenziale,1,Tessuto urbano continuo,41,,True,46.72,46.83,46.72,47.14,44.92,45.05,44.94,45.4,45.53,45.6,45.56,45.77,47.47,47.65,47.71,47.73,43.43,43.53,43.45,43.79,44.36,44.71,44.81,44.86,44.51,44.7,44.71,44.86,48.07,48.21,48.18,48.43
47014,Pistoia,,16,470140000016,1,Residenziale,1,Tessuto urbano continuo,30,,True,47.03,47.61,47.71,47.82,45.35,45.76,45.81,45.98,46.13,46.43,46.48,46.55,48.42,48.67,48.67,48.9,43.27,44.42,44.27,45.33,45.56,45.82,45.85,45.92,45.1,45.28,45.29,45.41,48.92,49.43,49.48,49.69
47014,Pistoia,,17,470140000017,1,Residenziale,1,Tessuto urbano continuo,48,,True,47.03,47.34,47.37,47.59,45.35,45.53,45.52,45.72,46.04,46.23,46.2,46.48,48.43,48.69,48.72,48.9,43.27,43.52,43.59,43.64,45.45,45.64,45.62,45.85,45.1,45.25,45.28,45.34,48.87,49.15,49.14,49.46
47014,Pistoia,,18,470140000018,1,Residenziale,1,Tessuto urbano continuo,47,,True,47.73,47.85,47.87,47.96,45.97,46.13,46.18,46.24,46.4,46.55,46.61,46.66,48.39,48.64,48.75,48.77,45.22,45.31,45.35,45.37,45.75,45.84,45.85,45.91,45.27,45.43,45.49,45.53,49.52,49.57,49.56,49.63
47014,Pistoia,,19,470140000019,1,Residenziale,1,Tessuto urbano continuo,65,,True,47.69,47.74,47.71,47.87,45.98,46.04,46.0,46.18,46.42,46.47,46.43,46.61,48.45,48.64,48.73,48.75,43.75,44.93,45.22,45.33,45.78,45.83,45.81,45.89,45.31,45.43,45.48,45.53,49.48,49.52,49.55,49.56
47014,Pistoia,,20,470140000020,1,Residenziale,1,Tessuto urbano continuo,62,,True,44.74,45.59,45.61,46.37,44.14,44.77,44.9,45.31,44.35,44.94,44.85,45.55,44.91,45.83,45.31,47.55,41.92,42.34,42.4,42.86,43.24,43.91,43.83,44.53,43.1,43.72,43.78,44.35,46.53,47.17,47.08,47.85
47014,Pistoia,,21,470140000021,1,Residenziale,1,Tessuto urbano continuo,45,,True,43.82,45.59,46.01,46.81,43.23,44.93,45.46,46.03,43.63,44.95,45.27,45.95,46.14,47.33,47.54,48.04,41.04,42.89,43.35,44.57,41.78,43.96,44.52,45.24,41.9,43.62,44.15,44.71,45.52,47.18,47.55,48.57
47014,Pistoia,,22,470140000022,1,Residenziale,1,Tessuto urbano continuo,93,,True,46.52,47.13,47.09,47.69,45.3,45.81,45.94,46.26,45.32,45.9,45.88,46.64,47.6,48.02,47.94,48.74,43.64,44.55,44.74,45.1,44.65,45.2,45.3,45.76,44.28,44.82,44.87,45.39,47.91,48.58,48.56,49.18
47014,Pistoia,,23,470140000023,1,Residenziale,1,Tessuto urbano continuo,136,,True,46.3,47.01,47.19,47.35,44.88,45.26,45.33,45.45,45.4,45.61,45.63,45.82,47.48,47.91,48.0,48.24,43.52,44.16,44.35,44.45,43.88,44.53,44.75,44.94,43.75,44.55,44.72,44.95,48.23,48.55,48.55,48.89
47014,Pistoia,,24,470140000024,1,Residenziale,1,Tessuto urbano continuo,18,,True,47.48,47.6,47.51,47.82,45.61,45.71,45.75,45.76,46.03,46.2,46.21,46.36,48.54,48.63,48.61,48.73,44.43,44.62,44.62,44.82,44.59,44.73,44.77,44.82,45.2,45.36,45.39,45.48,49.19,49.32,49.31,49.46
