PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
93033,Pordenone,,1,930330000001,1,Residenziale,1,Tessuto urbano continuo,142,,True,33.28,36.26,36.52,37.82,37.3,40.25,40.31,42.71,33.01,35.59,36.01,37.53,40.53,43.47,43.58,45.39,37.94,41.08,41.44,43.5,39.75,42.14,42.15,43.75,38.42,41.09,41.21,42.8,41.73,45.0,45.4,47.8
93033,Pordenone,,2,930330000002,1,Residenziale,1,Tessuto urbano continuo,23,,True,37.56,37.67,37.56,37.9,40.89,41.05,40.89,41.38,35.3,35.71,35.79,36.04,43.51,43.78,43.51,44.31,40.74,41.19,41.22,41.61,43.0,43.29,43.25,43.6,42.15,42.88,42.96,43.52,46.78,47.17,47.19,47.55
93033,Pordenone,,3,930330000003,1,Residenziale,1,Tessuto urbano continuo,52,,True,37.81,38.17,38.21,38.42,42.39,42.68,42.72,42.89,36.96,37.48,37.61,37.91,45.39,45.66,45.64,45.91,42.56,43.22,43.25,43.76,43.73,43.95,43.89,44.17,42.67,43.12,42.99,44.15,47.53,47.96,47.8,48.59
93033,Pordenone,,4,930330000004,1,Residenziale,1,Tessuto urbano continuo,34,,True,35.64,36.7,36.37,37.87,40.02,41.25,40.89,42.63,35.73,36.81,36.68,37.82,43.23,44.21,43.99,45.23,40.9,42.11,41.79,43.13,41.91,42.77,42.59,43.75,40.74,41.72,41.54,42.85,44.51,46.22,45.95,47.52
93033,Pordenone,,5,930330000005,1,Residenziale,1,Tessuto urbano continuo,122,,True,32.96,35.09,35.22,37.08,36.45,39.07,38.88,41.72,32.94,34.89,34.8,36.89,40.91,43.03,43.13,44.79,37.6,39.92,39.98,42.52,38.87,41.11,41.15,43.12,37.36,39.7,39.8,41.99,40.86,43.56,43.52,46.7
93033,Pordenone,,6,930330000006,1,Residenziale,1,Tessuto urbano continuo,103,,True,34.03,35.71,35.86,36.32,39.02,40.24,40.36,41.26,35.09,36.18,36.3,36.57,42.62,43.67,43.84,44.12,39.81,40.91,41.08,41.74,40.65,41.87,41.96,42.48,39.72,40.88,41.05,41.62,43.66,45.11,45.42,46.2
93033,Pordenone,,7,930330000007,1,Residenziale,1,Tessuto urbano continuo,315,,True,31.93,34.05,33.6,37.11,35.3,38.21,37.34,41.97,31.57,34.17,33.87,37.06,38.75,41.51,41.03,45.25,36.07,39.14,38.64,42.66,37.51,40.29,39.79,43.53,36.38,39.05,38.48,42.26,38.79,42.44,41.61,46.77
93033,Pordenone,,8,930330000008,1,Residenziale,1,Tessuto urbano continuo,323,,True,32.31,34.38,34.35,36.35,35.96,38.4,38.56,40.7,32.92,34.82,34.81,37.29,41.18,42.82,42.62,44.98,36.94,39.45,39.61,41.81,38.66,40.9,40.86,42.96,37.31,39.86,39.97,42.17,39.66,42.69,42.62,45.84
93033,Pordenone,,9,930330000009,1,Residenziale,1,Tessuto urbano continuo,145,,True,35.18,36.3,36.35,36.91,39.04,39.94,40.07,40.32,35.47,36.45,36.54,36.93,43.49,44.56,44.66,45.15,40.64,41.68,41.83,42.41,41.78,42.53,42.45,43.21,40.69,41.93,41.91,43.16,44.01,45.08,45.02,45.96
93033,Pordenone,,10,930330000010,1,Residenziale,1,Tessuto urbano continuo,221,,True,35.02,35.69,35.69,36.34,39.42,39.92,39.91,40.37,34.96,35.75,35.83,36.35,42.41,43.76,43.85,44.43,40.26,41.02,41.07,41.78,41.25,41.78,41.82,42.33,40.04,40.67,40.64,41.49,43.92,44.65,44.7,45.01
93033,Pordenone,,11,930330000011,1,Residenziale,1,Tessuto urbano continuo,134,,True,35.39,36.14,36.34,36.5,39.66,40.03,40.07,40.29,35.27,36.06,36.05,36.81,43.46,44.09,44.15,44.54,40.47,40.85,40.9,41.44,41.4,41.94,42.01,42.29,40.38,40.95,40.91,41.5,44.06,44.69,44.87,45.0
93033,Pordenone,,12,930330000012,1,Residenziale,1,Tessuto urbano continuo,243,,True,33.6,34.55,34.42,36.09,38.06,39.2,39.15,40.69,33.39,34.61,34.62,35.82,40.56,42.09,42.01,43.67,38.98,40.12,39.94,41.84,39.86,40.78,40.84,41.72,38.31,39.96,40.02,41.63,42.86,44.05,43.86,46.01
93033,Pordenone,,13,930330000013,1,Residenziale,1,Tessuto urbano continuo,59,,True,36.07,37.24,37.33,37.96,40.55,41.91,42.09,42.69,36.9,37.23,37.27,37.58,44.12,45.08,45.19,45.64,41.75,42.8,42.83,43.58,42.13,43.23,43.34,43.8,41.3,42.21,42.26,42.84,45.04,46.74,46.84,47.82
93033,Pordenone,,14,930330000014,1,Residenziale,1,Tessuto urbano continuo,416,,True,34.78,35.81,35.89,36.4,38.37,40.17,40.25,41.09,34.69,35.66,35.58,36.38,41.5,43.35,43.43,44.5,40.12,41.26,41.1,42.43,40.47,41.47,41.54,42.06,39.05,40.59,40.57,41.59,43.59,45.26,45.34,46.43
93033,Pordenone,,15,930330000015,1,Residenziale,1,Tessuto urbano continuo,206,,True,35.36,35.82,35.9,35.99,39.26,39.85,39.99,40.27,35.48,35.75,35.66,36.13,42.48,43.37,43.66,43.71,40.94,41.22,41.2,41.64,41.15,41.61,41.67,41.79,39.47,40.26,40.31,40.74,44.47,45.0,45.04,45.25
93033,Pordenone,,16,930330000016,1,Residenziale,1,Tessuto urbano continuo,0,,True,33.37,34.05,34.17,34.49,36.67,37.39,37.54,37.82,31.85,33.16,33.39,34.01,40.42,40.97,41.07,41.33,38.37,38.83,38.88,39.17,39.86,40.18,40.25,40.36,38.53,39.18,39.39,39.4,41.41,42.29,42.36,43.01
93033,Pordenone,,17,930330000017,1,Residenziale,1,Tessuto urbano continuo,60,,True,37.86,38.13,38.11,38.41,42.11,42.57,42.57,42.86,37.38,37.69,37.72,37.91,45.36,45.69,45.73,46.17,43.48,43.65,43.67,43.8,43.71,44.0,44.01,44.33,42.52,43.19,43.14,43.93,47.86,48.22,48.25,48.59
93033,Pordenone,,18,930330000018,1,Residenziale,1,Tessuto urbano continuo,204,,True,34.06,36.18,36.55,37.86,37.39,39.79,40.03,42.11,32.77,35.86,35.7,37.71,40.83,43.38,43.29,45.52,38.6,41.48,41.79,43.57,40.24,42.26,42.68,44.17,38.88,41.36,41.93,43.86,42.13,45.11,45.97,47.86
93033,Pordenone,,19,930330000019,53,Ludico-ricreativo/teatro/cinema,5,Edifici pubblici e servizi,0,,True,37.89,38.07,38.12,38.14,41.98,42.2,42.28,42.29,37.58,37.69,37.71,37.75,45.63,45.8,45.83,45.91,43.4,43.61,43.62,43.79,43.93,44.12,44.15,44.24,43.54,43.75,43.72,44.01,47.66,47.9,47.95,48.02
93033,Pordenone,,20,930330000020,1,Residenziale,1,Tessuto urbano continuo,48,,True,35.18,36.28,36.19,37.66,38.4,39.43,39.3,41.31,33.0,33.84,33.8,35.17,40.43,42.02,41.65,44.18,39.71,41.32,41.12,43.12,41.44,42.39,42.36,43.86,40.68,41.69,41.57,43.38,43.52,45.4,45.34,47.32
93033,Pordenone,,21,930330000021,1,Residenziale,1,Tessuto urbano continuo,116,,True,31.94,33.97,34.12,35.93,35.06,36.62,36.55,38.21,29.25,31.08,31.24,32.92,36.35,38.14,37.84,40.25,36.45,38.28,38.1,40.02,37.57,39.35,39.12,41.12,36.09,37.89,37.87,39.47,39.42,41.64,41.97,43.37
93033,Pordenone,,22,930330000022,1,Residenziale,1,Tessuto urbano continuo,251,,True,35.01,35.84,35.63,37.35,38.81,39.73,39.7,40.97,34.12,35.71,35.76,36.57,42.33,43.56,43.42,44.68,40.35,41.19,41.09,42.51,41.47,41.84,41.71,42.81,39.96,40.68,40.76,41.51,44.47,45.2,45.24,46.04
93033,Pordenone,,23,930330000023,1,Residenziale,1,Tessuto urbano continuo,278,,True,32.24,34.98,34.93,36.94,36.08,38.68,38.73,40.92,29.28,32.62,32.86,34.62,37.65,41.25,41.14,43.89,37.66,40.04,39.55,42.52,39.05,41.03,41.03,42.71,37.98,39.85,39.76,41.41,40.97,43.66,43.49,45.92
93033,Pordenone,,24,930330000024,1,Residenziale,1,Tessuto urbano continuo,271,,True,32.01,34.19,34.25,36.4,35.27,37.7,37.7,40.04,30.31,32.69,32.57,34.23,39.49,41.52,41.61,43.77,35.33,38.72,38.55,41.72,37.92,40.23,40.15,42.34,36.39,38.77,38.7,41.07,40.42,43.42,43.48,46.08
93033,Pordenone,,25,930330000025,1,Residenziale,1,Tessuto urbano continuo,248,,True,32.92,35.3,35.83,37.03,36.12,39.44,40.07,41.41,30.79,33.56,33.95,35.31,40.67,43.1,43.63,44.49,37.68,40.59,41.1,42.54,39.09,41.79,42.34,43.1,37.84,40.83,41.35,42.17,42.25,45.29,45.8,47.12
93033,Pordenone,,26,930330000026,1,Residenziale,1,Tessuto urbano continuo,218,,True,35.76,36.39,36.31,37.1,39.97,40.8,40.8,41.32,33.94,35.63,35.76,36.57,43.71,44.29,44.28,44.77,41.31,42.04,42.0,42.85,41.44,42.08,42.09,42.51,40.93,41.51,41.52,41.91,45.26,46.02,46.0,46.72
93033,Pordenone,,27,930330000027,1,Residenziale,1,Tessuto urbano continuo,474,,True,34.77,36.08,36.06,37.28,39.33,40.17,40.2,41.05,33.28,35.16,35.42,36.09,42.92,44.05,44.0,44.84,39.77,41.56,41.6,42.79,41.0,41.85,41.88,42.51,40.14,41.1,41.16,41.88,44.05,45.22,45.24,46.5
