PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
76063,Potenza,,1,760630000001,2,Culto,5,Edifici pubblici e servizi,13,,True,37.05,37.9,37.75,38.76,37.89,38.79,38.64,39.62,35.94,37.02,36.86,38.02,38.95,39.64,39.67,40.62,38.05,38.99,39.11,39.86,40.06,40.67,40.62,41.34,36.52,37.08,37.19,37.7,39.3,40.0,39.87,40.74
76063,Potenza,,2,760630000002,1,Residenziale,1,Tessuto urbano continuo,98,,True,38.38,38.94,38.6,39.67,39.48,40.01,39.57,40.8,38.02,38.69,38.11,39.96,40.14,40.64,40.63,41.14,39.86,40.15,39.94,40.52,41.34,41.82,41.63,42.5,37.52,37.95,37.7,38.45,40.51,41.03,40.72,41.69
76063,Potenza,,3,760630000003,1,Residenziale,1,Tessuto urbano continuo,22,,True,38.89,39.41,39.31,40.04,39.6,40.2,40.03,40.95,39.48,39.86,39.71,40.39,40.96,41.83,41.92,42.6,40.22,40.39,40.43,40.52,41.52,41.86,42.02,42.04,38.1,38.4,38.29,38.81,40.84,41.25,41.21,41.69
76063,Potenza,,4,760630000004,1,Residenziale,1,Tessuto urbano continuo,55,,True,37.83,38.92,38.89,40.04,38.86,39.81,39.6,40.95,38.77,39.62,39.71,40.39,40.79,41.77,41.92,42.6,39.49,40.08,40.22,40.52,40.52,41.35,41.52,42.02,37.1,38.0,38.1,38.81,40.1,40.88,40.84,41.69
76063,Potenza,,5,760630000005,37,Scuole/istituti,5,Edifici pubblici e servizi,0,,True,37.6,38.18,38.26,38.63,38.78,38.96,38.8,39.44,39.21,39.21,39.21,39.22,40.25,40.55,40.34,41.27,39.33,39.6,39.5,40.08,40.15,40.43,40.28,41.02,36.94,37.2,36.96,37.92,39.76,40.04,39.93,40.53
76063,Potenza,,6,760630000006,1,Residenziale,1,Tessuto urbano continuo,147,,True,39.31,39.98,39.93,40.58,39.69,40.87,40.72,41.73,38.59,39.49,39.41,40.24,39.49,40.17,40.08,40.74,39.98,40.53,40.51,40.89,41.2,42.47,42.33,43.35,37.86,38.64,38.5,39.38,41.16,41.99,41.9,42.69
76063,Potenza,,7,760630000007,31,Museo,5,Edifici pubblici e servizi,1,,True,39.36,39.71,39.59,40.31,39.87,40.18,40.09,40.65,38.66,39.05,38.93,39.69,39.87,40.14,40.22,40.24,39.95,40.2,40.14,40.59,41.44,41.96,41.9,42.59,38.05,38.28,38.17,38.75,41.11,41.38,41.36,41.7
76063,Potenza,,8,760630000008,1,Residenziale,1,Tessuto urbano continuo,55,,True,39.94,40.12,40.12,40.31,40.4,40.53,40.53,40.65,39.05,39.37,39.37,39.69,39.67,39.95,39.95,40.24,40.31,40.45,40.45,40.59,42.06,42.33,42.33,42.59,38.35,38.55,38.55,38.75,41.23,41.47,41.47,41.7
76063,Potenza,,9,760630000009,29,Municipio,5,Edifici pubblici e servizi,21,,True,38.51,39.42,39.51,40.23,38.98,39.85,39.99,40.6,37.36,38.68,39.19,39.48,39.55,40.01,40.07,40.41,39.24,39.99,40.14,40.57,40.8,41.54,41.56,42.26,37.49,38.16,38.36,38.63,40.21,41.07,41.34,41.65
76063,Potenza,,10,760630000010,1,Residenziale,1,Tessuto urbano continuo,32,,True,37.87,38.48,38.42,39.22,38.54,39.11,39.07,39.55,36.84,37.62,37.43,38.32,39.45,39.84,39.96,40.07,38.57,39.14,38.88,39.8,40.24,40.81,40.83,41.37,36.56,37.27,37.14,37.95,39.59,40.19,40.19,40.77
76063,Potenza,,11,760630000011,37,Scuole/istituti,5,Edifici pubblici e servizi,0,,True,40.37,40.96,41.16,41.34,41.2,41.8,41.77,42.45,40.09,40.66,40.83,41.07,40.7,41.0,40.97,41.34,40.72,41.0,41.0,41.28,43.18,43.68,43.77,44.08,39.25,39.71,39.87,40.02,42.48,42.95,43.12,43.25
76063,Potenza,,12,760630000012,37,Scuole/istituti,5,Edifici pubblici e servizi,0,,True,40.34,40.58,40.43,40.99,41.43,41.69,41.78,41.85,40.06,40.33,40.16,40.76,41.88,42.79,43.05,43.44,40.7,40.83,40.79,40.99,42.53,43.05,43.14,43.49,38.88,39.25,39.03,39.86,42.14,42.51,42.36,43.02
76063,Potenza,,13,760630000013,1,Residenziale,1,Tessuto urbano continuo,38,,True,38.71,39.87,40.14,40.69,39.51,40.73,41.02,41.56,39.3,40.17,40.13,41.3,41.31,42.34,42.33,43.39,40.01,40.56,40.69,40.93,40.99,42.26,42.57,43.05,37.94,38.82,38.98,39.49,40.74,41.9,42.08,42.76
76063,Potenza,,14,760630000014,1,Residenziale,1,Tessuto urbano continuo,66,,True,38.71,39.11,39.31,39.31,39.51,39.88,40.07,40.07,39.3,39.36,39.39,39.39,41.31,41.59,41.73,41.73,40.01,40.22,40.33,40.33,40.99,41.43,41.65,41.65,37.94,38.37,38.58,38.58,40.74,41.24,41.49,41.49
76063,Potenza,,15,760630000015,37,Scuole/istituti,5,Edifici pubblici e servizi,23,,True,37.42,37.77,37.8,38.06,39.09,39.16,39.16,39.23,39.55,39.64,39.62,39.79,40.27,40.53,40.41,41.02,39.66,39.73,39.71,39.83,40.63,40.7,40.67,40.83,37.33,37.47,37.43,37.68,39.81,39.93,39.91,40.09
76063,Potenza,,16,760630000016,8,Caserma,5,Edifici pubblici e servizi,20,,True,40.75,41.19,41.21,41.57,41.62,42.01,42.11,42.31,40.65,41.2,41.24,41.57,40.93,41.58,41.01,43.38,40.92,41.17,41.14,41.56,43.18,43.57,43.48,44.13,39.68,39.9,39.85,40.22,42.63,42.97,43.02,43.11
76063,Potenza,,17,760630000017,1,Residenziale,1,Tessuto urbano continuo,28,,True,40.7,41.07,41.09,41.4,40.49,41.11,41.16,41.63,39.86,40.47,40.52,40.99,40.39,41.35,41.39,42.22,40.81,41.09,41.11,41.33,42.82,43.39,43.43,43.88,39.01,39.42,39.46,39.74,41.88,42.25,42.33,42.48
76063,Potenza,,18,760630000018,1,Residenziale,1,Tessuto urbano continuo,31,,True,40.59,41.08,41.11,41.4,41.1,41.59,41.63,42.02,40.18,40.74,40.84,41.28,40.6,41.26,41.14,42.22,40.83,41.17,41.22,41.4,42.71,43.56,43.67,44.08,39.1,39.56,39.66,39.97,42.12,42.38,42.4,42.73
76063,Potenza,,19,760630000019,1,Residenziale,1,Tessuto urbano continuo,43,,True,40.97,41.29,41.34,41.57,42.01,42.26,42.31,42.45,40.65,41.1,41.07,41.57,41.03,41.32,41.34,41.6,41.05,41.3,41.28,41.56,43.74,43.98,44.08,44.13,39.62,39.95,40.02,40.22,42.66,43.01,43.11,43.25
76063,Potenza,,20,760630000020,8,Caserma,5,Edifici pubblici e servizi,0,,True,38.89,40.64,40.75,41.08,40.53,41.77,41.89,42.1,40.58,41.2,41.27,41.58,41.69,42.48,42.37,43.62,40.39,40.88,40.87,41.2,42.84,43.38,43.25,44.33,39.36,39.86,39.81,40.33,41.97,42.64,42.57,43.44
76063,Potenza,,21,760630000021,1,Residenziale,1,Tessuto urbano continuo,120,,True,38.61,39.1,38.95,40.56,40.41,41.33,41.38,41.89,40.43,40.83,40.83,41.27,40.8,41.32,41.36,42.25,40.13,40.54,40.55,41.01,42.6,42.9,42.95,43.12,39.18,39.47,39.5,39.71,41.47,42.02,41.98,42.57
76063,Potenza,,22,760630000022,37,Scuole/istituti,5,Edifici pubblici e servizi,0,,True,38.96,39.33,39.15,39.87,41.17,41.41,41.43,41.63,40.8,41.23,41.4,41.5,40.93,41.15,41.2,41.31,40.53,40.81,40.93,40.96,43.02,43.05,43.02,43.12,39.4,39.48,39.5,39.54,42.03,42.13,42.04,42.31
