PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
100005,Prato,Toscana,10,1000050000010,1,Residenziale,1,Tessuto urbano continuo,59,,True,47.29,47.43,47.44,47.56,43.21,43.71,43.74,44.06,46.53,46.74,46.74,46.93,44.59,44.88,44.85,45.15,43.58,43.73,43.67,43.92,42.25,44.54,44.97,45.11,44.3,44.51,44.5,44.7,49.81,50.07,50.07,50.27
100005,Prato,Toscana,11,1000050000011,1,Residenziale,1,Tessuto urbano continuo,90,,True,47.58,47.8,47.81,48.0,43.26,43.34,43.31,43.49,46.97,47.25,47.24,47.54,45.32,45.67,45.67,46.0,43.78,44.09,44.13,44.33,40.31,42.7,42.76,44.95,44.61,44.85,44.88,45.04,50.34,50.59,50.59,50.84
100005,Prato,Toscana,12,1000050000012,1,Residenziale,1,Tessuto urbano continuo,86,,True,47.71,47.88,47.78,48.16,43.21,43.45,43.39,43.76,47.12,47.43,47.36,47.8,45.93,46.13,46.1,46.51,44.12,44.38,44.39,44.69,42.51,42.76,42.71,43.01,44.9,45.02,44.96,45.24,50.52,50.79,50.72,51.14
100005,Prato,Toscana,13,1000050000013,2,Culto,5,Edifici pubblici e servizi,13,,True,47.04,47.25,47.28,47.49,42.85,43.07,43.07,43.27,46.4,46.82,46.82,47.26,46.07,46.28,46.28,46.5,43.86,44.06,44.0,44.42,39.59,41.32,42.19,42.55,44.63,44.83,44.84,45.24,50.36,50.48,50.43,50.75
100005,Prato,Toscana,14,1000050000014,1,Residenziale,1,Tessuto urbano continuo,51,,True,46.97,47.02,47.02,47.07,42.59,42.65,42.65,42.72,46.53,46.53,46.53,46.54,46.33,46.38,46.38,46.43,43.87,43.87,43.87,43.87,39.63,39.63,39.63,39.63,44.36,44.44,44.44,44.52,50.21,50.23,50.23,50.25
100005,Prato,Toscana,20,1000050000020,1,Residenziale,1,Tessuto urbano continuo,300,,True,46.24,46.52,46.44,47.01,41.61,41.93,41.94,42.57,44.84,45.13,45.09,46.11,40.47,43.16,43.76,46.47,42.28,44.31,43.16,47.35,38.88,40.44,40.01,42.05,43.4,43.75,43.7,44.51,49.06,49.54,49.54,50.16
100005,Prato,Toscana,30,1000050000030,1,Residenziale,1,Tessuto urbano continuo,103,,True,45.72,46.4,46.43,47.01,40.9,41.76,41.82,42.57,44.42,45.36,45.44,46.11,45.5,45.97,45.92,46.47,42.64,43.24,43.3,43.75,38.55,39.24,39.09,41.23,43.2,43.81,43.85,44.51,48.54,49.38,49.43,50.16
100005,Prato,Toscana,31,1000050000031,1,Residenziale,1,Tessuto urbano continuo,175,,True,43.38,45.11,45.16,46.59,39.36,42.95,43.23,44.76,41.74,43.94,44.04,46.1,43.07,44.91,45.15,46.42,41.15,42.33,42.39,43.74,38.82,40.74,40.38,43.77,40.9,42.64,42.68,44.16,45.99,48.02,48.12,49.94
100005,Prato,Toscana,32,1000050000032,1,Residenziale,1,Tessuto urbano continuo,13,,True,41.89,43.17,43.26,44.54,39.87,42.13,42.06,44.38,40.25,42.12,41.72,44.94,40.96,43.21,43.3,45.74,39.03,40.99,41.17,42.54,37.86,39.97,39.48,42.96,38.93,40.9,41.1,42.5,44.34,45.83,45.92,47.35
100005,Prato,Toscana,40,1000050000040,1,Residenziale,1,Tessuto urbano continuo,249,,True,46.16,47.65,47.34,49.06,41.81,43.46,43.26,44.86,45.35,47.21,47.18,48.87,46.34,47.56,47.43,49.0,43.29,44.59,44.46,45.79,41.9,43.81,43.96,45.77,43.75,45.24,45.16,46.65,49.2,50.68,50.64,51.76
