PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
39014,Ravenna,,1,390140000001,1,Residenziale,1,Tessuto urbano continuo,8,,True,39.51,40.66,41.35,41.43,42.89,42.98,42.95,43.1,43.85,43.89,43.88,43.91,44.74,44.92,45.03,45.04,45.17,45.25,45.2,45.35,44.01,44.13,44.13,44.25,43.03,43.12,43.1,43.21,46.48,46.64,46.59,46.83
39014,Ravenna,,2,390140000002,1,Residenziale,1,Tessuto urbano continuo,19,,True,41.14,41.3,41.35,41.41,42.08,42.38,42.34,42.69,43.7,43.83,43.85,43.93,43.88,44.32,44.29,44.82,44.66,44.9,44.97,45.06,43.52,43.73,43.76,43.89,42.37,42.68,42.68,42.98,45.67,45.92,45.91,46.19
39014,Ravenna,,3,390140000003,1,Residenziale,1,Tessuto urbano continuo,34,,True,39.36,41.13,41.31,41.35,42.14,42.38,42.31,42.79,43.77,43.87,43.89,43.99,44.59,44.77,44.78,44.92,44.98,45.03,45.02,45.15,43.84,43.91,43.9,44.05,42.68,42.87,42.92,42.99,46.03,46.22,46.2,46.44
39014,Ravenna,,4,390140000004,1,Residenziale,1,Tessuto urbano continuo,30,,True,41.04,41.41,41.45,41.64,41.86,42.23,42.23,42.52,43.17,43.53,43.59,43.86,43.72,44.27,44.21,44.77,44.52,44.87,44.91,45.05,43.51,43.72,43.71,43.9,42.06,42.43,42.38,42.71,45.58,45.75,45.73,46.05
39014,Ravenna,,5,390140000005,29,Municipio,5,Edifici pubblici e servizi,4,,True,41.03,41.41,41.49,41.52,42.14,42.3,42.27,42.45,43.34,43.74,43.78,43.91,44.13,44.73,44.76,45.21,44.7,45.09,45.12,45.24,43.73,43.91,43.92,44.02,42.34,42.61,42.67,42.73,45.67,45.97,46.01,46.08
39014,Ravenna,,6,390140000006,1,Residenziale,1,Tessuto urbano continuo,31,,True,40.97,41.34,41.38,41.5,41.97,42.15,42.16,42.31,43.32,43.61,43.66,43.78,44.39,44.54,44.51,44.92,44.55,45.0,44.98,45.29,43.65,43.85,43.89,43.92,42.32,42.58,42.58,42.71,45.97,46.03,46.01,46.08
39014,Ravenna,,7,390140000007,1,Residenziale,1,Tessuto urbano continuo,6,,True,41.27,41.32,41.32,41.37,42.25,42.25,42.25,42.26,43.8,43.81,43.81,43.83,44.63,44.66,44.66,44.69,45.12,45.18,45.18,45.24,43.91,43.93,43.93,43.96,42.5,42.53,42.53,42.56,46.14,46.19,46.19,46.23
39014,Ravenna,,8,390140000008,1,Residenziale,1,Tessuto urbano continuo,7,,True,40.85,41.21,41.18,41.57,41.75,42.06,42.02,42.33,43.07,43.32,43.33,43.59,43.86,44.37,44.46,44.7,44.19,44.56,44.56,44.83,43.07,43.33,43.29,43.53,41.7,41.97,41.91,42.27,45.38,45.5,45.47,45.67
39014,Ravenna,,9,390140000009,1,Residenziale,1,Tessuto urbano continuo,15,,True,40.82,40.98,41.01,41.19,41.59,41.75,41.73,42.01,42.9,43.11,43.15,43.19,44.27,44.51,44.39,44.88,44.05,44.24,44.25,44.53,42.9,43.01,42.99,43.28,41.63,41.71,41.7,41.88,44.75,45.12,45.17,45.38
39014,Ravenna,,10,390140000010,1,Residenziale,1,Tessuto urbano continuo,31,,True,40.5,40.79,40.75,41.02,40.83,41.31,41.25,41.75,42.68,42.88,42.98,43.16,43.26,43.83,43.78,44.26,43.82,44.16,44.2,44.47,42.5,42.98,42.95,43.32,41.36,41.68,41.72,41.92,44.86,45.45,45.48,45.82
39014,Ravenna,,11,390140000011,1,Residenziale,1,Tessuto urbano continuo,87,,True,40.45,40.6,40.65,40.8,40.92,41.22,41.2,41.81,42.54,42.75,42.65,43.08,43.6,43.87,43.95,44.19,43.42,43.74,43.59,44.39,42.63,43.04,42.9,43.5,41.33,41.6,41.51,42.12,44.88,45.42,45.38,46.02
39014,Ravenna,,12,390140000012,1,Residenziale,1,Tessuto urbano continuo,109,,True,37.99,39.64,39.39,41.41,41.51,42.47,42.51,43.02,42.77,43.67,43.7,44.0,43.95,44.82,44.82,45.53,43.7,45.01,45.14,45.51,42.36,43.77,43.74,44.33,41.42,42.49,42.36,43.13,45.45,46.52,46.53,47.04
39014,Ravenna,,13,390140000013,1,Residenziale,1,Tessuto urbano continuo,65,,True,37.74,40.0,40.63,41.13,40.96,41.32,41.32,41.9,42.28,43.05,43.08,43.51,43.35,44.4,44.39,45.15,43.1,43.81,43.62,44.54,41.87,42.67,42.49,43.39,40.58,41.48,41.2,42.28,44.75,45.41,45.15,46.05
39014,Ravenna,,14,390140000014,1,Residenziale,1,Tessuto urbano continuo,55,,True,38.87,40.92,41.25,41.38,41.89,42.2,42.24,42.56,43.37,43.59,43.51,43.84,44.3,44.57,44.46,45.34,44.84,45.03,45.01,45.3,43.46,43.73,43.66,44.0,42.09,42.39,42.48,42.61,45.92,46.15,46.16,46.35
