PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
80063,Reggio_di_Calabria,,1,800630000001,29,Municipio,5,Edifici pubblici e servizi,149,4256.2,False,38.75,39.41,39.38,40.17,39.04,40.05,39.98,41.22,36.0,36.79,36.75,37.62,38.71,39.59,39.53,40.47,40.13,40.82,40.86,41.76,39.75,40.76,40.67,41.81,38.1,38.91,39.02,39.86,41.74,42.94,42.84,44.39
80063,Reggio_di_Calabria,,2,800630000002,1,Residenziale,1,Tessuto urbano continuo,36,1616.1,False,39.59,40.02,39.96,40.5,40.24,40.82,40.79,41.43,36.97,37.35,37.34,37.75,39.78,40.23,40.2,40.72,41.39,41.77,41.61,42.32,40.87,41.44,41.43,42.02,39.41,39.8,39.78,40.2,43.19,43.97,43.92,44.81
80063,Reggio_di_Calabria,,3,800630000003,1,Residenziale,1,Tessuto urbano continuo,25,1382.6,False,40.97,40.97,40.97,40.97,41.9,41.9,41.9,41.9,38.11,38.11,38.11,38.11,41.04,41.04,41.04,41.04,42.97,42.97,42.97,42.97,42.37,42.37,42.37,42.37,40.44,40.44,40.44,40.44,45.43,45.43,45.43,45.43
80063,Reggio_di_Calabria,,4,800630000004,53,Ludico-ricreativo/teatro/cinema,5,Edifici pubblici e servizi,1,6456.6,True,39.82,40.65,40.68,41.04,40.85,41.66,41.75,41.99,37.38,38.58,38.07,39.82,40.32,40.86,40.9,41.11,41.37,42.6,42.66,43.2,41.39,42.12,42.19,42.52,39.41,40.29,40.41,40.6,43.79,45.1,45.29,45.54
80063,Reggio_di_Calabria,,5,800630000005,1,Residenziale,1,Tessuto urbano continuo,27,2770.7,False,39.52,39.77,39.79,39.96,40.4,40.71,40.75,40.93,37.03,37.26,37.3,37.42,40.0,40.19,40.21,40.35,41.3,41.63,41.66,41.89,41.03,41.26,41.29,41.43,39.3,39.78,39.81,40.18,43.32,43.91,43.96,44.42
80063,Reggio_di_Calabria,,6,800630000006,4,Piazza monumentale,5,Edifici pubblici e servizi,0,3371.4,False,39.09,39.3,39.38,39.52,39.57,39.96,40.13,40.4,36.45,36.74,36.87,37.03,39.3,39.67,39.81,40.0,40.36,40.8,40.88,41.3,40.37,40.73,40.92,41.03,38.41,38.76,38.84,39.3,42.28,42.77,42.93,43.32
80063,Reggio_di_Calabria,,7,800630000007,8,Caserma,5,Edifici pubblici e servizi,0,3505.5,False,36.51,37.64,37.65,38.62,36.34,37.57,37.42,38.83,33.5,35.01,34.53,36.8,36.17,37.44,37.29,38.69,37.81,39.13,39.31,40.08,36.36,38.04,37.88,39.6,35.26,36.57,36.47,37.78,38.68,40.12,39.92,41.55
80063,Reggio_di_Calabria,,8,800630000008,1,Residenziale,1,Tessuto urbano continuo,33,1807.0,False,37.29,38.05,38.11,38.75,37.31,38.15,38.12,39.04,34.41,36.01,36.0,37.62,37.3,37.96,37.87,38.71,38.86,39.73,40.13,40.19,37.64,38.7,38.71,39.75,36.34,37.22,37.21,38.1,39.62,40.7,40.74,41.74
80063,Reggio_di_Calabria,,9,800630000009,1,Residenziale,1,Tessuto urbano continuo,25,1560.2,False,37.24,37.81,38.09,38.09,37.48,38.07,38.36,38.36,34.54,36.7,37.78,37.78,37.25,37.84,38.13,38.13,39.06,39.5,39.73,39.73,37.7,38.48,38.87,38.87,36.57,37.21,37.52,37.52,39.59,40.4,40.81,40.81
80063,Reggio_di_Calabria,,10,800630000010,1,Residenziale,1,Tessuto urbano continuo,32,2573.6,False,37.24,38.14,38.28,38.9,37.48,38.48,38.59,39.36,34.54,35.47,35.6,36.27,37.25,38.19,38.36,38.97,39.06,39.91,40.07,40.61,37.7,38.88,39.01,39.94,36.57,37.65,37.77,38.61,39.59,40.85,40.94,42.02
