PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
35033,Reggio_nellEmilia,,1,350330000001,1,Residenziale,1,Tessuto urbano continuo,48,8812.1,True,41.42,41.53,41.5,41.69,42.71,43.03,43.04,43.24,45.63,45.84,45.84,46.04,45.73,45.82,45.81,45.96,44.37,44.55,44.51,44.93,44.7,44.79,44.77,44.92,43.25,43.52,43.54,43.84,46.79,46.98,46.94,47.29
35033,Reggio_nellEmilia,,2,350330000002,1,Residenziale,1,Tessuto urbano continuo,33,3956.4,False,41.02,41.31,41.36,41.56,43.16,43.37,43.49,43.51,45.57,45.9,45.86,46.19,45.41,45.62,45.53,45.88,44.23,44.67,44.56,45.29,44.19,44.52,44.53,44.82,43.12,43.51,43.26,44.05,46.51,46.82,46.87,47.21
35033,Reggio_nellEmilia,,3,350330000003,3,Monumento/palazzo storico,5,Edifici pubblici e servizi,0,1868.1,False,41.02,41.11,41.12,41.19,43.14,43.16,43.16,43.17,45.57,45.71,45.76,45.81,45.43,45.51,45.53,45.56,44.23,44.28,44.26,44.36,44.19,44.34,44.34,44.48,43.12,43.18,43.17,43.26,46.51,46.57,46.53,46.68
35033,Reggio_nellEmilia,,4,350330000004,1,Residenziale,1,Tessuto urbano continuo,7,1682.9,False,41.32,41.32,41.32,41.32,43.14,43.14,43.14,43.14,45.88,45.88,45.88,45.88,45.62,45.62,45.62,45.62,44.49,44.49,44.49,44.49,44.69,44.69,44.69,44.69,43.3,43.3,43.3,43.3,46.94,46.94,46.94,46.94
35033,Reggio_nellEmilia,,5,350330000005,1,Residenziale,1,Tessuto urbano continuo,39,3291.4,False,41.13,41.29,41.28,41.5,43.04,43.11,43.11,43.18,45.68,45.83,45.84,46.02,45.45,45.56,45.55,45.71,44.39,44.61,44.56,44.82,44.35,44.55,44.58,44.81,43.14,43.26,43.28,43.33,46.65,46.85,46.85,47.14
35033,Reggio_nellEmilia,,6,350330000006,1,Residenziale,1,Tessuto urbano continuo,27,1317.7,False,41.52,41.57,41.57,41.63,43.2,43.22,43.22,43.23,46.02,46.04,46.04,46.06,45.45,45.65,45.65,45.85,44.71,44.8,44.8,44.89,44.85,44.88,44.88,44.91,43.43,43.52,43.52,43.62,47.22,47.24,47.24,47.25
35033,Reggio_nellEmilia,,7,350330000007,1,Residenziale,1,Tessuto urbano continuo,27,2497.3,False,41.49,41.54,41.53,41.62,43.1,43.18,43.21,43.22,45.85,45.91,45.92,45.95,45.52,45.71,45.76,45.79,44.61,44.73,44.72,44.85,44.82,44.87,44.88,44.9,43.45,43.54,43.55,43.62,47.02,47.12,47.14,47.17
35033,Reggio_nellEmilia,,8,350330000008,1,Residenziale,1,Tessuto urbano continuo,35,2318.4,False,41.47,41.5,41.5,41.53,42.82,42.99,43.04,43.1,45.66,45.77,45.79,45.85,45.52,45.66,45.7,45.75,44.62,44.69,44.68,44.77,44.7,44.78,44.79,44.87,42.99,43.33,43.49,43.5,46.79,46.93,46.97,47.02
35033,Reggio_nellEmilia,,9,350330000009,1,Residenziale,1,Tessuto urbano continuo,40,3334.7,False,41.3,41.42,41.43,41.54,42.41,42.58,42.57,42.8,45.34,45.49,45.5,45.65,45.48,45.67,45.69,45.78,44.29,44.44,44.44,44.62,44.47,44.6,44.6,44.72,42.93,43.37,43.53,43.63,46.55,46.67,46.7,46.76
35033,Reggio_nellEmilia,,10,350330000010,1,Residenziale,1,Tessuto urbano continuo,14,610.3,False,41.67,41.67,41.67,41.67,43.23,43.23,43.23,43.23,45.96,45.96,45.96,45.96,46.04,46.04,46.04,46.04,44.51,44.51,44.51,44.51,44.9,44.9,44.9,44.9,43.82,43.82,43.82,43.82,47.05,47.05,47.05,47.05
