PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
57059,Rieti,,1,570590000001,29,Municipio,5,Edifici pubblici e servizi,0,5107.8,True,41.73,42.15,42.0,43.25,41.95,42.42,42.32,43.48,40.91,41.46,41.41,42.58,41.37,41.83,41.62,42.95,41.19,41.61,41.49,42.72,44.21,44.66,44.56,45.33,41.7,42.14,42.04,43.16,43.08,43.49,43.38,44.56
57059,Rieti,,2,570590000002,1,Residenziale,1,Tessuto urbano continuo,31,3560.0,False,41.91,42.56,42.35,43.3,42.28,42.78,42.52,43.39,41.18,41.89,41.6,42.73,41.63,42.18,41.96,42.89,41.43,42.1,41.95,42.84,43.99,44.57,44.56,45.13,41.84,42.31,42.04,42.87,43.22,43.78,43.47,44.4
57059,Rieti,,3,570590000003,1,Residenziale,1,Tessuto urbano continuo,19,2262.9,False,42.43,42.75,42.51,43.56,42.61,42.86,42.63,43.57,41.64,42.05,41.78,43.01,41.0,41.6,41.27,42.86,42.17,42.41,42.19,43.1,44.05,44.45,44.19,45.39,42.2,42.41,42.2,43.04,43.3,43.63,43.4,44.43
57059,Rieti,,4,570590000004,1,Residenziale,1,Tessuto urbano continuo,6,3017.1,False,41.45,41.67,41.66,41.91,41.77,41.94,41.78,42.28,40.61,40.8,40.62,41.18,40.38,41.0,40.98,41.66,40.91,41.12,41.03,41.43,44.11,44.32,44.28,44.56,41.35,41.51,41.36,41.84,42.55,42.8,42.62,43.22
57059,Rieti,,5,570590000005,1,Residenziale,1,Tessuto urbano continuo,3,8548.7,True,42.04,42.8,42.92,43.53,41.83,42.15,42.18,42.39,40.71,41.4,41.47,41.85,40.52,41.18,41.26,41.58,41.37,42.09,42.24,42.52,44.01,44.5,44.33,45.13,41.42,41.82,41.83,42.16,42.67,43.27,43.31,43.83
57059,Rieti,,6,570590000006,1,Residenziale,1,Tessuto urbano continuo,67,4058.4,False,43.57,43.66,43.7,43.71,42.34,42.47,42.49,42.62,41.83,41.88,41.84,41.97,41.08,41.35,41.34,41.51,42.6,42.69,42.7,42.8,44.23,44.3,44.27,44.4,42.25,42.44,42.46,42.72,43.96,44.16,44.2,44.37
57059,Rieti,,7,570590000007,1,Residenziale,1,Tessuto urbano continuo,53,4085.5,False,42.77,43.31,43.34,43.71,42.55,42.67,42.69,42.79,41.73,41.97,42.02,42.05,40.96,41.13,41.14,41.31,42.55,42.69,42.73,42.8,44.33,44.48,44.51,44.56,42.22,42.5,42.6,42.71,43.58,43.93,43.93,44.25
57059,Rieti,,8,570590000008,1,Residenziale,1,Tessuto urbano continuo,36,1919.3,False,42.77,42.91,42.96,43.01,42.55,42.71,42.74,42.83,41.73,41.9,41.95,42.02,41.06,41.11,41.14,41.15,42.55,42.64,42.67,42.7,44.33,44.41,44.41,44.49,42.22,42.43,42.47,42.6,43.58,43.6,43.59,43.64
57059,Rieti,,9,570590000009,1,Residenziale,1,Tessuto urbano continuo,76,2228.4,False,42.72,42.88,42.88,43.04,42.73,42.8,42.8,42.88,41.92,42.05,42.05,42.18,41.22,41.46,41.46,41.69,42.41,42.53,42.53,42.64,44.39,44.52,44.52,44.65,42.4,42.46,42.46,42.53,43.52,43.63,43.63,43.75
57059,Rieti,,10,570590000010,1,Residenziale,1,Tessuto urbano continuo,28,3824.0,False,43.6,43.7,43.68,43.94,42.65,42.96,42.77,43.32,41.95,42.34,42.49,42.53,41.0,41.21,41.09,41.5,43.04,43.21,43.24,43.33,44.6,44.85,44.69,45.19,42.55,42.85,42.75,43.15,44.1,44.3,44.26,44.5
57059,Rieti,,11,570590000011,1,Residenziale,1,Tessuto urbano continuo,90,4940.7,False,41.9,42.69,42.77,43.13,41.17,42.04,42.06,42.82,40.22,41.17,41.15,42.22,39.76,40.65,40.59,41.79,40.75,41.66,41.66,42.59,42.9,43.83,43.94,44.64,40.83,41.77,41.78,42.7,42.15,42.98,43.05,43.51
57059,Rieti,,12,570590000012,1,Residenziale,1,Tessuto urbano continuo,123,9011.8,True,39.75,41.28,41.38,43.01,39.28,40.42,40.04,42.13,38.52,39.78,39.33,42.06,37.62,39.1,38.8,40.79,39.27,40.31,39.94,42.49,40.34,42.16,42.12,43.97,38.88,40.23,39.76,42.25,39.73,41.87,41.75,44.1
57059,Rieti,,13,570590000013,1,Residenziale,1,Tessuto urbano continuo,74,8571.0,True,41.52,43.1,43.13,44.2,41.29,42.78,42.83,43.8,40.04,42.21,42.37,43.32,39.73,41.93,42.05,43.14,40.81,42.58,42.62,43.83,43.13,44.72,44.71,45.93,40.75,42.45,42.49,43.33,41.84,43.61,43.73,44.71
57059,Rieti,,14,570590000014,1,Residenziale,1,Tessuto urbano continuo,67,7860.8,True,40.75,42.73,42.59,44.2,40.47,42.17,41.76,43.84,39.45,41.73,41.53,43.46,39.02,41.47,41.31,43.24,40.51,42.52,42.36,43.97,42.09,44.15,43.84,46.0,40.12,41.99,41.7,43.65,40.96,43.05,42.87,44.64
57059,Rieti,,15,570590000015,1,Residenziale,1,Tessuto urbano continuo,58,3954.6,False,41.85,42.9,42.78,44.26,41.43,42.57,42.45,43.87,41.08,42.22,42.12,43.66,40.33,41.47,41.22,43.18,41.32,42.59,42.55,44.13,43.29,44.44,44.21,45.96,41.46,42.58,42.45,43.94,42.54,43.35,43.11,44.55
57059,Rieti,,16,570590000016,1,Residenziale,1,Tessuto urbano continuo,73,3490.8,False,43.49,43.99,44.06,44.27,43.26,43.59,43.55,43.8,42.98,43.4,43.49,43.61,42.05,42.89,42.87,43.39,43.2,43.76,43.9,44.05,45.03,45.57,45.48,45.95,43.3,43.62,43.7,43.84,43.69,44.23,44.1,44.66
57059,Rieti,,17,570590000017,1,Residenziale,1,Tessuto urbano continuo,44,3386.5,False,41.57,43.19,43.39,44.1,41.37,42.86,43.19,43.49,40.62,42.5,42.68,43.46,40.2,42.04,42.1,42.97,40.86,42.89,43.11,43.92,43.24,44.62,44.82,45.38,41.48,43.02,43.29,43.7,42.26,43.35,43.49,44.04
57059,Rieti,,18,570590000018,1,Residenziale,1,Tessuto urbano continuo,80,2674.7,False,42.62,43.09,42.99,43.76,42.45,42.75,42.71,43.14,42.0,42.55,42.45,43.29,41.83,42.27,42.2,42.87,42.26,42.71,42.64,43.29,44.07,44.51,44.4,45.17,42.47,42.84,42.77,43.33,42.69,43.15,43.04,43.84
57059,Rieti,,19,570590000019,1,Residenziale,1,Tessuto urbano continuo,63,5394.6,True,41.26,42.84,43.07,43.76,40.99,42.39,42.55,43.14,40.69,42.23,42.32,43.29,40.94,42.19,42.34,42.87,41.17,42.39,42.38,43.29,43.3,44.43,44.56,45.17,40.48,42.08,42.13,43.33,41.29,42.9,43.07,43.84
57059,Rieti,,20,570590000020,37,Scuole/istituti,5,Edifici pubblici e servizi,0,10440.0,True,36.18,38.62,38.65,41.33,34.53,37.32,37.24,41.09,34.13,36.99,36.75,40.48,33.82,37.1,37.13,40.2,36.98,38.02,37.58,40.63,37.3,39.64,39.28,43.0,36.38,38.09,37.9,41.42,35.15,38.84,39.35,41.88
57059,Rieti,,21,570590000021,1,Residenziale,1,Tessuto urbano continuo,26,13005.1,True,35.3,38.29,38.35,40.8,34.43,37.25,36.9,40.33,33.02,36.45,36.29,39.83,34.67,37.14,37.04,39.82,33.78,37.39,37.23,40.44,36.64,38.42,38.04,40.74,35.24,37.49,37.13,39.87,34.67,37.5,37.26,40.43
57059,Rieti,,22,570590000022,1,Residenziale,1,Tessuto urbano continuo,117,37325.0,True,34.63,37.71,37.93,41.89,34.16,38.47,38.92,41.64,32.34,36.42,36.71,41.1,34.31,37.28,37.45,40.94,32.69,37.03,37.35,41.45,35.36,38.85,38.8,42.61,33.78,37.07,36.74,40.94,33.02,37.3,37.18,41.95
57059,Rieti,,23,570590000023,1,Residenziale,1,Tessuto urbano continuo,90,16025.7,True,33.85,37.54,37.51,41.15,33.44,37.33,37.07,41.48,32.18,36.49,36.4,41.27,33.79,37.36,37.26,41.3,32.17,36.96,37.07,41.24,34.66,38.09,37.67,42.16,33.14,36.64,36.45,40.9,32.19,36.5,36.57,41.42
57059,Rieti,,24,570590000024,1,Residenziale,1,Tessuto urbano continuo,10,16992.4,True,32.82,36.09,35.39,41.15,31.95,35.7,34.73,42.2,30.73,35.12,34.01,41.38,32.33,35.79,34.88,41.28,32.07,35.58,34.92,40.81,31.65,35.24,34.32,41.19,31.5,35.0,34.42,40.86,31.83,35.54,34.86,41.77
57059,Rieti,,25,570590000025,1,Residenziale,1,Tessuto urbano continuo,78,8190.6,True,38.56,40.08,40.03,41.17,38.47,40.33,40.53,41.48,38.36,40.06,40.23,41.29,38.31,39.97,40.16,41.3,38.41,40.07,40.24,41.23,38.85,40.59,40.56,42.16,37.53,39.53,39.48,40.95,38.23,40.22,40.21,41.54
57059,Rieti,,26,570590000026,1,Residenziale,1,Tessuto urbano continuo,12,1772.6,False,40.99,41.25,41.25,41.52,41.86,42.22,42.22,42.58,41.12,41.46,41.46,41.79,40.92,41.11,41.11,41.31,40.73,40.88,40.88,41.04,41.23,41.56,41.56,41.89,40.5,40.92,40.92,41.33,41.7,42.07,42.07,42.43
57059,Rieti,,27,570590000027,1,Residenziale,1,Tessuto urbano continuo,66,7940.8,True,41.3,41.75,41.86,42.18,41.83,42.4,42.61,43.08,41.33,41.89,41.98,42.49,40.93,41.52,41.81,42.08,40.79,41.21,41.4,41.62,41.74,42.27,42.19,42.9,41.06,41.78,41.69,42.36,42.01,42.58,42.64,43.14
57059,Rieti,,28,570590000028,1,Residenziale,1,Tessuto urbano continuo,45,9139.7,True,40.25,40.72,40.77,41.14,41.08,41.35,41.42,41.61,40.89,41.15,41.16,41.42,40.64,40.9,40.9,41.14,40.38,40.93,40.9,41.41,41.59,41.97,42.1,42.33,40.6,40.84,40.87,40.97,40.82,41.12,41.08,41.52
57059,Rieti,,29,570590000029,1,Residenziale,1,Tessuto urbano continuo,70,6417.1,True,40.52,41.14,41.25,41.76,41.31,41.67,41.62,42.18,40.67,41.17,41.23,41.53,40.65,41.18,41.15,41.78,40.81,41.27,41.34,41.64,41.65,42.19,42.18,42.88,40.05,40.85,40.93,41.42,41.16,41.96,42.05,42.75
57059,Rieti,,30,570590000030,1,Residenziale,1,Tessuto urbano continuo,34,2481.2,False,42.22,42.57,42.63,42.79,42.46,42.68,42.72,42.81,41.31,41.65,41.74,41.82,41.45,41.79,41.87,41.98,41.55,41.79,41.84,41.96,43.55,43.8,43.76,44.13,41.89,42.09,42.12,42.21,42.99,43.14,43.16,43.26
57059,Rieti,,31,570590000031,1,Residenziale,1,Tessuto urbano continuo,65,4256.4,False,41.89,42.73,42.64,44.03,41.56,42.46,42.3,43.63,41.1,41.73,41.62,42.87,40.94,41.68,41.6,42.73,41.45,41.96,41.82,43.06,42.61,43.6,43.34,44.96,40.94,41.84,41.58,43.09,41.95,42.85,42.67,44.02
57059,Rieti,,32,570590000032,1,Residenziale,1,Tessuto urbano continuo,31,1908.6,False,41.8,42.85,42.85,43.89,41.31,42.31,42.31,43.31,40.82,41.79,41.79,42.76,40.57,41.57,41.57,42.58,41.26,42.15,42.15,43.04,41.72,43.07,43.07,44.43,40.85,41.89,41.89,42.93,41.33,42.46,42.46,43.6
57059,Rieti,,33,570590000033,1,Residenziale,1,Tessuto urbano continuo,29,2247.1,False,42.11,42.35,42.22,42.73,42.33,42.5,42.46,42.72,41.18,41.4,41.31,41.72,41.33,41.49,41.45,41.68,41.41,41.6,41.55,41.84,43.11,43.56,43.55,44.02,42.14,42.19,42.15,42.28,43.03,43.16,43.14,43.31
57059,Rieti,,34,570590000034,1,Residenziale,1,Tessuto urbano continuo,60,4057.9,False,43.24,43.75,43.9,43.93,42.79,43.53,43.64,43.84,42.35,42.91,42.95,43.11,42.04,42.59,42.74,42.74,42.82,43.09,43.07,43.28,43.61,44.66,44.84,45.01,42.5,43.08,43.24,43.25,42.79,43.73,43.85,44.15
57059,Rieti,,35,570590000035,1,Residenziale,1,Tessuto urbano continuo,17,2971.1,False,43.04,43.42,43.49,43.69,42.64,43.22,43.29,43.63,42.47,42.74,42.77,42.98,41.78,42.34,42.42,42.65,42.58,42.91,42.95,43.07,44.21,44.58,44.64,44.86,42.37,42.72,42.71,42.99,42.5,43.24,43.35,43.63
57059,Rieti,,36,570590000036,1,Residenziale,1,Tessuto urbano continuo,14,1577.5,False,43.19,43.28,43.3,43.36,43.01,43.08,43.08,43.17,42.19,42.26,42.26,42.35,42.35,42.48,42.5,42.58,42.42,42.55,42.57,42.65,44.17,44.35,44.44,44.44,42.53,42.59,42.6,42.63,43.65,43.76,43.72,43.9
57059,Rieti,,37,570590000037,1,Residenziale,1,Tessuto urbano continuo,48,11680.7,True,41.94,42.71,42.59,43.74,41.91,42.72,42.76,43.7,40.72,41.65,41.63,42.85,41.17,41.7,41.59,42.55,40.86,41.8,41.77,42.9,42.92,43.59,43.62,44.78,41.58,42.32,42.4,43.22,43.0,43.34,43.28,44.13
