PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
99014,Rimini,,1,990140000001,1,Residenziale,1,Tessuto urbano continuo,92,,True,37.15,37.3,37.29,37.53,40.24,41.13,40.39,43.54,39.56,39.82,39.81,40.05,43.56,43.84,43.87,44.06,42.92,43.24,43.08,43.72,42.04,42.1,42.09,42.19,40.78,40.87,40.89,40.97,43.95,44.11,44.12,44.28
99014,Rimini,,2,990140000002,1,Residenziale,1,Tessuto urbano continuo,53,,True,37.16,37.22,37.2,37.34,40.44,41.44,40.51,43.36,39.92,40.02,40.02,40.13,43.71,43.81,43.79,43.96,42.99,43.08,43.02,43.42,41.99,42.04,42.05,42.1,40.52,40.63,40.64,40.79,44.02,45.1,45.11,46.21
99014,Rimini,,3,990140000003,1,Residenziale,1,Tessuto urbano continuo,98,,True,37.12,37.41,37.36,37.58,40.56,43.23,43.52,43.55,39.95,40.01,40.02,40.05,43.83,43.95,43.98,44.05,43.05,43.21,43.23,43.27,41.92,42.03,42.04,42.19,40.36,40.47,40.46,40.6,46.05,46.11,46.13,46.15
99014,Rimini,,4,990140000004,1,Residenziale,1,Tessuto urbano continuo,67,,True,37.03,39.07,39.42,39.94,40.7,41.63,41.38,43.46,39.36,39.79,39.98,40.05,43.43,43.88,44.05,44.16,42.53,42.97,43.15,43.25,41.6,41.94,42.03,42.19,39.88,40.26,40.4,40.52,43.53,45.73,46.15,46.2
99014,Rimini,,5,990140000005,1,Residenziale,1,Tessuto urbano continuo,136,,True,37.06,37.68,37.47,39.32,41.53,43.22,43.51,43.74,39.75,39.96,39.96,40.14,43.94,44.15,44.09,44.43,42.92,43.25,43.15,43.67,41.98,42.16,42.18,42.48,40.34,40.59,40.63,40.81,44.13,44.46,44.32,46.11
99014,Rimini,,6,990140000006,1,Residenziale,1,Tessuto urbano continuo,10,,True,37.57,37.71,37.71,37.84,43.75,43.82,43.82,43.9,40.02,40.18,40.18,40.34,44.25,44.41,44.41,44.56,43.34,43.48,43.48,43.62,42.39,42.53,42.53,42.67,40.81,40.87,40.87,40.93,44.62,44.75,44.75,44.87
99014,Rimini,,7,990140000007,1,Residenziale,1,Tessuto urbano continuo,35,,True,37.87,39.41,39.66,39.88,42.15,42.53,42.26,43.93,40.22,40.43,40.42,40.66,44.45,44.55,44.53,44.66,43.41,43.58,43.6,43.69,42.26,42.4,42.35,42.67,40.7,40.9,40.9,41.06,44.61,45.01,44.72,46.51
99014,Rimini,,8,990140000008,1,Residenziale,1,Tessuto urbano continuo,6,,True,37.66,39.41,39.54,41.04,42.01,42.69,42.26,43.79,40.14,40.24,40.27,40.32,44.5,44.56,44.57,44.61,43.26,43.43,43.41,43.61,42.26,42.41,42.43,42.55,40.57,40.67,40.61,40.83,44.5,44.65,44.63,44.81
99014,Rimini,,9,990140000009,1,Residenziale,1,Tessuto urbano continuo,5,,True,39.66,39.66,39.66,39.66,42.15,42.15,42.15,42.15,40.22,40.22,40.22,40.22,44.49,44.49,44.49,44.49,43.41,43.41,43.41,43.41,42.31,42.31,42.31,42.31,40.7,40.7,40.7,40.7,44.62,44.62,44.62,44.62
99014,Rimini,,10,990140000010,1,Residenziale,1,Tessuto urbano continuo,18,,True,38.49,39.1,39.1,39.54,41.05,41.63,41.66,42.01,39.1,39.7,39.64,40.14,43.52,44.04,43.96,44.5,42.42,42.97,42.85,43.58,41.53,41.91,41.85,42.26,40.34,40.43,40.41,40.57,44.12,44.47,44.26,45.36
99014,Rimini,,11,990140000011,1,Residenziale,1,Tessuto urbano continuo,79,,True,38.03,38.56,38.63,39.13,40.12,40.83,40.94,41.55,38.39,39.2,39.25,39.67,42.47,43.28,43.24,44.1,41.45,42.08,42.1,42.8,40.98,41.55,41.62,41.94,39.3,40.09,40.28,40.49,44.55,45.28,45.34,46.0
99014,Rimini,,12,990140000012,1,Residenziale,1,Tessuto urbano continuo,95,,True,37.17,39.12,39.29,40.12,40.52,41.43,41.35,43.41,39.45,39.81,39.83,39.99,43.42,43.95,43.99,44.14,41.97,42.79,42.88,43.14,41.52,41.87,41.89,41.98,39.91,40.28,40.31,40.37,45.39,45.98,46.06,46.13
99014,Rimini,,13,990140000013,1,Residenziale,1,Tessuto urbano continuo,87,,True,36.97,38.6,38.75,39.28,40.17,40.71,40.57,42.95,39.28,39.55,39.56,39.97,43.26,43.53,43.47,44.05,41.78,42.33,42.44,43.02,41.45,41.66,41.63,42.01,39.73,39.98,39.92,40.39,43.39,45.26,45.54,46.03
99014,Rimini,,14,990140000014,1,Residenziale,1,Tessuto urbano continuo,0,,True,38.93,38.93,38.93,38.93,40.54,40.54,40.54,40.54,39.25,39.25,39.25,39.25,43.36,43.36,43.36,43.36,42.45,42.45,42.45,42.45,41.68,41.68,41.68,41.68,39.89,39.89,39.89,39.89,45.52,45.52,45.52,45.52
99014,Rimini,,15,990140000015,1,Residenziale,1,Tessuto urbano continuo,3,,True,38.85,38.89,38.89,38.94,40.62,40.66,40.66,40.7,39.66,39.67,39.67,39.67,43.74,43.74,43.74,43.75,42.63,42.68,42.68,42.73,41.83,41.91,41.91,42.0,40.18,40.23,40.23,40.28,45.69,45.78,45.78,45.87
99014,Rimini,,16,990140000016,1,Residenziale,1,Tessuto urbano continuo,68,,True,37.44,38.28,38.15,39.13,39.47,40.21,40.14,40.82,38.85,39.6,39.72,40.15,42.6,43.39,43.44,43.97,41.33,42.22,42.37,43.0,40.77,41.74,41.92,42.45,38.89,39.87,39.92,40.65,44.6,45.4,45.45,46.24
99014,Rimini,,17,990140000017,1,Residenziale,1,Tessuto urbano continuo,36,,True,35.33,35.95,35.92,36.85,37.92,38.45,38.58,39.29,36.76,37.24,37.0,38.16,40.96,41.53,41.34,42.66,39.89,40.37,40.18,41.44,39.67,40.09,39.87,40.77,37.92,38.43,38.28,39.25,42.95,43.6,43.44,44.62
99014,Rimini,,18,990140000018,3,Monumento/palazzo storico,5,Edifici pubblici e servizi,0,,True,37.41,37.75,37.77,38.19,39.51,39.98,39.96,40.52,37.77,38.33,38.25,39.1,42.02,42.67,42.57,43.52,41.44,41.76,41.56,42.42,40.3,40.84,40.77,41.53,38.47,39.34,39.22,40.34,44.02,44.57,44.38,45.36
99014,Rimini,,19,990140000019,1,Residenziale,1,Tessuto urbano continuo,16,,True,36.21,36.62,36.53,37.11,38.65,39.14,39.12,39.63,37.68,37.85,37.68,38.18,42.23,42.39,42.23,42.71,40.87,41.06,40.87,41.44,40.33,40.43,40.33,40.64,38.79,38.94,38.79,39.22,44.12,44.24,44.12,44.47
99014,Rimini,,20,990140000020,1,Residenziale,1,Tessuto urbano continuo,0,,True,35.9,36.42,36.43,36.76,37.72,38.92,39.07,39.33,36.86,37.88,37.97,38.24,41.31,42.01,41.99,42.41,39.79,40.96,40.94,41.77,40.28,40.88,40.9,41.62,38.1,38.94,38.98,39.85,43.57,44.5,44.6,45.01
