PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
65116,Salerno,,1,651160000001,1,Residenziale,1,Tessuto urbano continuo,514,,True,38.72,40.12,40.09,41.19,38.49,39.07,39.06,40.33,35.34,36.55,36.49,37.89,38.94,40.19,40.24,41.72,38.86,39.82,39.69,40.97,39.03,40.06,40.08,41.15,39.01,40.12,40.18,41.19,39.15,40.37,40.39,41.82
65116,Salerno,,2,651160000002,1,Residenziale,1,Tessuto urbano continuo,350,,True,39.71,41.93,41.69,44.39,38.93,40.46,39.81,42.88,36.8,38.25,38.04,40.65,40.63,42.2,41.68,44.66,40.32,41.73,41.67,43.87,39.86,41.5,41.28,43.63,40.05,41.56,41.37,43.55,40.53,41.82,41.56,43.66
65116,Salerno,,3,651160000003,1,Residenziale,1,Tessuto urbano continuo,146,,True,40.82,41.05,41.05,41.34,39.07,39.45,39.52,39.85,37.2,37.6,37.62,38.0,40.63,40.88,40.73,41.5,40.08,40.34,40.24,40.91,39.86,40.19,40.21,40.53,40.11,40.2,40.16,40.4,40.62,40.81,40.76,41.19
65116,Salerno,,4,651160000004,1,Residenziale,1,Tessuto urbano continuo,187,,True,39.97,40.75,40.78,41.31,38.78,39.21,39.24,39.48,36.6,37.51,37.69,38.35,40.27,40.89,40.88,41.55,39.33,39.98,40.07,40.52,39.39,39.88,39.88,40.35,39.53,39.81,39.78,40.15,40.22,40.66,40.69,41.02
65116,Salerno,,5,651160000005,1,Residenziale,1,Tessuto urbano continuo,449,,True,38.93,40.05,40.24,41.03,38.17,38.61,38.55,39.37,35.81,37.17,37.41,38.24,38.96,40.09,40.24,40.73,38.42,39.4,39.46,40.1,38.67,39.25,39.3,39.79,38.8,39.46,39.49,40.36,39.22,40.15,40.15,41.29
65116,Salerno,,6,651160000006,1,Residenziale,1,Tessuto urbano continuo,167,,True,38.69,39.34,39.22,40.24,38.34,38.79,38.81,39.13,35.65,36.48,36.38,37.52,38.77,39.28,39.13,40.24,37.69,38.53,38.58,39.46,38.1,38.83,38.66,39.51,38.74,39.26,39.22,39.83,39.1,39.62,39.54,40.43
65116,Salerno,,8,651160000008,1,Residenziale,1,Tessuto urbano continuo,236,,True,39.22,40.19,40.09,40.82,38.89,39.04,39.06,39.14,36.39,37.37,37.39,37.9,39.32,39.85,39.81,40.2,38.18,38.81,38.81,39.29,38.35,39.08,39.13,39.43,39.08,39.8,39.84,40.17,39.66,40.45,40.39,40.89
65116,Salerno,,9,651160000009,53,Ludico-ricreativo/teatro/cinema,5,Edifici pubblici e servizi,3,,True,39.25,39.92,39.87,40.79,37.68,38.33,38.38,39.28,37.15,37.32,37.22,37.52,39.51,40.09,40.21,40.74,38.91,39.26,39.23,39.72,38.49,39.07,39.15,40.02,38.4,38.88,38.88,39.57,39.05,39.76,39.97,40.75
65116,Salerno,,10,651160000010,37,Scuole/istituti,5,Edifici pubblici e servizi,8,,True,41.05,41.46,41.43,41.87,39.52,39.83,39.79,40.15,37.02,38.04,38.25,38.85,40.85,41.63,41.7,42.24,40.08,40.67,40.62,41.35,40.21,40.78,40.72,41.2,40.16,40.48,40.38,40.9,40.78,41.35,41.24,41.8
65116,Salerno,,11,651160000011,1,Residenziale,1,Tessuto urbano continuo,69,,True,39.97,41.0,41.09,41.7,38.61,39.7,39.83,40.04,36.61,37.81,37.89,38.58,39.91,41.39,41.51,42.1,39.71,40.91,41.07,41.44,39.75,40.78,40.89,41.34,39.61,40.57,40.72,40.98,39.38,41.02,41.23,41.8
