PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
117015,Sanluri,Sardegna,1,1110670000001,1,Residenziale,1,Tessuto urbano continuo,460,91001.1,True,43.76,44.21,44.21,44.79,43.96,44.48,44.5,44.95,42.01,42.42,42.45,42.76,46.74,47.89,47.69,48.96,45.89,46.77,46.78,47.34,43.23,43.67,43.65,44.66,44.61,45.19,45.19,45.53,49.66,50.37,50.4,50.98
117015,Sanluri,Sardegna,2,1110670000002,1,Residenziale,1,Tessuto urbano continuo,688,204401.3,True,42.92,44.53,44.5,46.24,43.91,45.61,45.44,47.69,41.59,43.26,42.98,45.13,46.57,49.01,48.79,51.71,44.5,46.87,46.91,48.77,42.54,44.39,44.07,46.84,43.43,45.12,45.29,46.29,47.62,50.33,50.43,52.05
117015,Sanluri,Sardegna,3,1110670000003,1,Residenziale,1,Tessuto urbano continuo,680,146540.3,True,42.35,43.2,43.08,44.82,43.49,44.43,44.3,46.13,41.23,42.2,42.05,43.87,45.85,47.27,46.99,49.89,43.58,44.93,44.71,46.99,42.03,43.11,42.95,44.81,43.14,44.25,44.19,45.26,48.4,49.61,49.56,50.89
117015,Sanluri,Sardegna,4,1110670000004,1,Residenziale,1,Tessuto urbano continuo,301,92251.3,True,41.4,43.22,43.26,44.82,42.46,44.31,44.43,45.58,39.98,41.85,41.91,43.35,44.31,46.41,46.55,47.83,42.46,45.03,45.52,46.99,40.42,42.85,43.13,44.25,41.52,44.16,44.04,45.78,46.13,49.02,49.12,50.97
117015,Sanluri,Sardegna,5,1110670000005,1,Residenziale,1,Tessuto urbano continuo,466,98620.9,True,42.06,43.26,43.27,44.02,43.65,44.31,44.37,45.15,41.03,42.03,42.07,43.0,45.77,46.86,46.89,47.75,44.1,45.02,45.0,45.67,42.38,43.19,43.2,43.94,43.66,44.91,44.93,45.65,48.05,49.86,49.91,50.78
117015,Sanluri,Sardegna,6,1110670000006,1,Residenziale,1,Tessuto urbano continuo,657,160576.9,True,42.94,43.72,43.74,45.01,44.23,45.04,44.95,46.8,41.41,42.59,42.62,44.14,45.95,46.97,46.96,48.2,44.24,45.07,45.07,46.14,42.63,43.11,43.05,44.49,43.92,44.65,44.64,45.7,48.28,49.61,49.67,50.84
117015,Sanluri,Sardegna,7,1110670000007,1,Residenziale,1,Tessuto urbano continuo,1060,221834.2,True,41.8,43.44,43.45,46.13,42.65,44.48,44.4,47.54,40.79,42.2,42.23,44.93,45.56,46.89,46.95,49.3,43.02,45.25,45.34,48.56,41.35,43.26,43.32,45.92,42.91,44.93,44.94,47.0,47.77,49.63,49.7,51.34
117015,Sanluri,Sardegna,8,1110670000008,1,Residenziale,1,Tessuto urbano continuo,345,104809.9,True,41.35,43.8,43.99,44.73,44.17,45.0,44.93,46.69,41.45,42.7,42.56,44.25,45.29,47.38,47.33,48.78,43.87,45.84,45.72,47.32,42.7,43.81,43.8,45.04,43.05,45.07,45.18,46.04,46.42,49.78,49.83,51.06
117015,Sanluri,Sardegna,9,1110670000009,1,Residenziale,1,Tessuto urbano continuo,573,143830.1,True,42.86,43.98,44.1,44.62,43.99,44.57,44.56,45.34,41.65,42.42,42.48,43.12,46.41,47.26,47.27,48.25,44.5,45.87,45.79,47.18,42.32,43.46,43.57,44.04,44.19,45.0,45.05,45.58,48.76,49.88,50.0,50.78
117015,Sanluri,Sardegna,10,1110670000010,1,Residenziale,1,Tessuto urbano continuo,760,248232.6,True,42.53,44.48,44.44,46.36,43.18,45.3,45.05,48.73,41.62,43.18,42.97,45.67,46.71,48.35,48.14,50.7,44.71,46.87,46.7,49.9,42.32,44.08,43.97,46.09,44.09,45.45,45.33,47.6,48.49,50.4,50.35,52.88
