PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
9056,Savona,,1,90560000001,6,Porto,3,Rete infrastrutturale,0,,True,27.76,36.88,37.31,43.41,27.04,37.86,38.3,42.62,24.14,36.49,37.16,43.21,27.3,38.32,39.13,43.59,29.32,40.54,41.09,46.07,28.57,38.12,38.56,43.04,27.74,38.12,38.21,43.06,29.3,42.27,42.81,47.17
9056,Savona,,2,90560000002,3,Monumento/palazzo storico,5,Edifici pubblici e servizi,0,,True,36.76,39.21,38.83,43.81,35.62,37.43,37.39,39.86,34.51,37.29,37.17,40.5,37.04,38.73,38.69,40.83,37.51,40.31,40.35,42.81,35.63,38.33,38.31,40.97,35.91,39.05,39.1,41.21,40.62,44.08,44.18,46.24
9056,Savona,,3,90560000003,78,Area archeologica,5,Edifici pubblici e servizi,0,,True,36.41,37.82,37.11,42.93,35.7,36.76,36.51,38.67,34.5,36.21,35.66,38.78,36.83,37.82,37.46,40.48,37.49,39.19,38.91,41.7,36.99,39.41,39.44,42.3,35.7,37.68,37.55,40.9,40.64,43.02,43.17,45.24
9056,Savona,,4,90560000004,37,Scuole/istituti,5,Edifici pubblici e servizi,0,,True,38.74,39.65,39.37,43.27,38.68,39.28,39.36,39.59,38.65,39.38,39.52,39.64,40.38,41.13,41.06,41.84,41.73,42.15,42.18,42.35,42.84,43.29,43.36,43.57,41.11,41.63,41.66,42.01,45.13,45.5,45.55,45.69
9056,Savona,,5,90560000005,1,Residenziale,1,Tessuto urbano continuo,218,,True,37.32,38.9,38.31,42.03,37.29,38.14,38.08,38.88,36.51,38.08,38.26,39.11,37.38,38.56,38.72,39.57,39.58,40.55,40.45,41.33,40.78,42.1,42.09,42.88,37.32,39.53,39.7,40.55,42.9,44.09,44.09,44.87
9056,Savona,,6,90560000006,1,Residenziale,1,Tessuto urbano continuo,22,,True,36.4,39.42,39.76,41.35,34.09,36.5,36.75,37.78,35.22,36.78,36.98,38.25,34.56,36.43,36.64,38.26,37.37,38.86,38.89,40.43,39.12,40.26,40.16,41.38,37.04,38.38,38.34,39.83,41.25,42.61,42.57,43.83
9056,Savona,,7,90560000007,1,Residenziale,1,Tessuto urbano continuo,280,,True,36.24,37.63,37.44,39.83,36.19,37.6,37.8,38.37,35.22,37.29,37.27,38.25,35.71,36.88,36.66,38.49,38.74,40.26,40.34,41.24,38.11,40.85,41.0,42.46,38.27,39.65,39.51,40.87,42.33,43.71,43.72,44.85
9056,Savona,,8,90560000008,1,Residenziale,1,Tessuto urbano continuo,250,,True,38.65,39.19,39.22,39.58,38.07,38.61,38.56,38.97,37.76,38.69,38.48,39.89,38.39,39.31,39.37,40.13,40.66,41.16,41.09,41.59,41.2,41.6,41.53,42.09,39.39,40.01,40.02,40.68,43.63,44.09,44.06,44.62
9056,Savona,,9,90560000009,1,Residenziale,1,Tessuto urbano continuo,53,,True,37.83,39.28,38.04,41.97,37.39,37.54,37.53,37.71,36.99,37.12,37.09,37.28,38.23,38.4,38.3,38.69,39.81,39.97,40.03,40.06,40.68,40.71,40.69,40.76,38.61,38.8,38.76,39.02,43.14,43.26,43.27,43.36
9056,Savona,,10,90560000010,5,Area verde/parco urbano,7,Verde urbano,0,,True,37.38,39.05,38.83,42.51,36.11,37.75,37.66,39.69,34.92,37.42,37.33,39.46,36.62,38.49,38.37,40.46,37.66,39.81,39.57,41.78,35.81,39.05,39.61,42.21,36.8,38.52,38.31,40.34,40.7,42.98,42.76,45.39
9056,Savona,,11,90560000011,1,Residenziale,1,Tessuto urbano continuo,349,,True,38.1,38.71,38.62,39.54,38.01,38.54,38.5,39.21,37.71,38.22,38.14,38.94,39.53,39.99,39.93,40.83,40.73,41.39,41.31,41.92,41.23,41.63,41.57,42.46,39.77,40.18,40.16,40.8,43.97,44.31,44.21,45.14
9056,Savona,,12,90560000012,1,Residenziale,1,Tessuto urbano continuo,238,,True,39.08,39.37,39.33,39.76,38.76,38.92,38.92,39.13,38.47,38.6,38.6,38.74,39.72,40.07,40.09,40.34,41.37,41.55,41.6,41.65,41.82,41.97,41.94,42.1,40.31,40.41,40.36,40.52,44.23,44.38,44.38,44.54
9056,Savona,,13,90560000013,1,Residenziale,1,Tessuto urbano continuo,193,,True,37.94,39.13,38.46,42.26,37.53,38.18,38.29,38.75,37.2,38.42,38.27,39.49,37.92,38.86,38.81,39.99,40.24,40.98,41.12,41.49,40.89,41.46,41.51,41.96,39.35,40.1,40.12,40.68,43.27,43.78,43.71,44.42
9056,Savona,,14,90560000014,1,Residenziale,1,Tessuto urbano continuo,186,,True,38.87,39.9,39.0,42.77,38.19,38.44,38.52,38.65,38.01,38.65,38.35,39.7,37.41,38.51,38.55,39.51,41.02,41.36,41.53,41.55,41.41,41.67,41.77,41.93,40.17,40.57,40.75,40.86,44.18,44.47,44.61,44.71
9056,Savona,,15,90560000015,1,Residenziale,1,Tessuto urbano continuo,409,,True,38.73,38.93,38.88,39.2,38.29,38.64,38.65,38.82,38.01,38.34,38.38,38.54,36.97,37.73,37.39,38.83,41.02,41.47,41.52,41.74,41.5,42.21,42.23,42.52,40.17,40.71,40.78,41.05,44.21,44.65,44.68,45.06
9056,Savona,,16,90560000016,1,Residenziale,1,Tessuto urbano continuo,133,,True,38.44,38.71,38.72,39.09,38.28,38.47,38.36,38.81,37.81,38.32,37.95,40.26,36.97,37.82,37.29,38.98,40.95,41.25,41.04,41.77,41.59,42.05,41.88,42.57,40.3,40.72,40.55,41.19,44.31,44.74,44.59,45.19
9056,Savona,,17,90560000017,1,Residenziale,1,Tessuto urbano continuo,1,,True,38.11,39.78,39.81,43.26,36.55,38.8,38.69,41.14,35.44,38.64,38.96,41.33,37.17,39.93,40.26,42.54,38.74,41.88,42.2,44.11,39.34,41.83,42.31,43.89,37.95,40.42,40.56,42.28,42.47,45.11,45.36,47.3
9056,Savona,,19,90560000019,1,Residenziale,1,Tessuto urbano continuo,183,,True,38.62,39.19,39.35,39.56,38.79,39.17,39.19,39.58,38.63,39.37,39.36,40.71,37.19,38.35,38.42,39.3,41.54,41.96,42.03,42.36,42.1,42.7,42.65,43.18,40.22,41.03,40.93,41.64,44.75,45.33,45.24,45.83
9056,Savona,,20,90560000020,1,Residenziale,1,Tessuto urbano continuo,392,,True,37.99,38.61,38.67,39.18,38.25,38.71,38.75,39.29,37.69,38.4,38.41,40.26,36.81,38.02,37.85,39.37,41.14,41.58,41.65,42.07,41.75,42.54,42.55,43.03,39.74,40.76,40.86,41.54,43.86,44.79,44.9,45.54
9056,Savona,,21,90560000021,1,Residenziale,1,Tessuto urbano continuo,226,,True,38.68,38.89,38.91,39.1,38.61,38.85,38.86,38.99,38.37,39.14,38.86,40.4,37.26,38.04,37.59,39.17,41.68,41.92,41.92,42.13,42.61,42.68,42.65,42.82,41.18,41.29,41.26,41.44,45.22,45.32,45.31,45.44
