PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
52032,Siena,,1,520320000001,4,Piazza monumentale,5,Edifici pubblici e servizi,0,,True,45.58,46.0,45.98,46.39,43.0,43.25,43.25,43.53,42.33,42.58,42.61,43.12,45.62,45.88,45.72,47.26,45.09,45.29,45.16,45.77,43.48,43.74,43.71,44.24,42.88,43.24,43.15,43.89,50.01,50.24,50.24,50.81
52032,Siena,,2,520320000002,1,Residenziale,1,Tessuto urbano continuo,70,,True,46.55,46.98,47.08,47.2,43.25,43.73,43.77,44.14,42.93,43.2,43.26,43.34,47.02,47.37,47.45,47.57,46.09,46.25,46.24,46.41,44.7,44.89,44.95,44.96,44.37,44.77,44.85,45.03,50.66,50.77,50.77,50.88
52032,Siena,,3,520320000003,1,Residenziale,1,Tessuto urbano continuo,74,,True,45.72,46.48,46.5,47.07,42.21,43.25,43.28,43.91,41.49,42.61,42.76,43.07,44.89,46.65,46.95,47.23,45.08,45.81,45.91,46.2,43.4,44.43,44.54,44.87,43.01,43.97,44.07,44.47,49.52,50.48,50.6,50.93
52032,Siena,,4,520320000004,1,Residenziale,1,Tessuto urbano continuo,54,,True,45.31,45.79,45.9,46.17,42.42,42.63,42.7,42.76,41.56,41.67,41.71,41.75,45.08,45.21,45.23,45.33,44.29,44.89,44.95,45.42,43.64,43.93,43.65,44.51,42.9,43.1,43.17,43.23,50.13,50.39,50.43,50.62
52032,Siena,,5,520320000005,1,Residenziale,1,Tessuto urbano continuo,84,,True,45.22,46.13,46.13,46.8,42.16,42.72,42.65,43.33,41.49,42.11,42.11,42.82,45.27,46.08,45.76,47.22,45.21,45.44,45.49,45.73,43.1,43.9,43.88,44.71,42.96,43.46,43.39,44.05,50.36,50.74,50.73,51.14
52032,Siena,,6,520320000006,1,Residenziale,1,Tessuto urbano continuo,18,,True,42.76,43.1,43.19,43.33,40.59,40.89,40.88,41.2,40.49,40.87,40.9,41.15,44.16,44.68,44.74,45.02,40.37,41.45,41.65,41.98,42.49,42.88,42.88,43.09,40.12,41.41,41.61,42.04,47.62,48.27,48.38,48.67
52032,Siena,,7,520320000007,1,Residenziale,1,Tessuto urbano continuo,34,,True,35.08,40.02,40.26,42.83,34.34,38.32,38.57,40.98,33.84,38.14,38.39,40.6,35.91,40.76,41.16,43.94,35.2,38.28,38.67,40.41,35.75,39.82,40.27,42.57,32.43,37.84,38.69,40.68,40.59,44.97,45.84,47.24
52032,Siena,,8,520320000008,2,Culto,5,Edifici pubblici e servizi,6,,True,40.84,42.43,42.84,43.23,39.24,40.36,40.52,40.83,38.89,39.97,40.15,40.81,42.21,43.57,43.81,44.67,38.13,39.92,39.97,41.61,40.67,42.18,42.5,42.92,39.05,40.4,40.39,41.62,46.82,47.66,47.75,48.34
52032,Siena,,9,520320000009,1,Residenziale,1,Tessuto urbano continuo,37,,True,42.86,43.17,43.26,43.33,40.94,41.12,41.13,41.23,40.32,40.82,40.96,41.15,44.5,44.68,44.65,45.02,41.74,41.96,41.98,42.17,42.7,42.93,42.93,43.09,41.17,41.59,41.66,42.04,47.72,48.31,48.48,48.62
52032,Siena,,10,520320000010,2,Culto,5,Edifici pubblici e servizi,53,,True,41.21,43.18,43.17,44.53,39.12,40.93,41.01,41.85,38.83,40.23,40.17,41.08,41.94,43.63,43.72,44.96,40.13,42.1,42.11,43.4,41.24,42.93,43.04,44.06,39.46,41.11,40.95,42.3,46.41,48.4,48.42,49.63
52032,Siena,,11,520320000011,1,Residenziale,1,Tessuto urbano continuo,283,,True,35.51,40.36,40.62,44.86,35.47,38.99,39.17,41.88,34.65,38.17,38.31,41.72,36.72,41.71,41.84,45.68,33.63,38.31,38.64,42.26,36.93,40.51,40.74,43.81,34.34,38.95,38.93,43.37,40.69,45.75,46.18,50.26
52032,Siena,,13,520320000013,8,Caserma,5,Edifici pubblici e servizi,0,,True,41.04,42.16,42.26,43.25,38.65,39.55,39.61,40.64,37.86,38.98,39.17,39.81,41.37,42.26,42.52,43.02,36.78,38.2,38.37,39.09,39.73,40.52,40.54,41.19,38.83,40.24,40.27,41.3,45.36,46.39,46.6,47.06
52032,Siena,,14,520320000014,1,Residenziale,1,Tessuto urbano continuo,167,,True,37.59,41.27,41.55,45.16,36.51,38.93,39.19,41.43,36.5,38.8,39.11,41.16,39.26,42.26,42.67,44.87,34.5,38.4,38.45,43.56,37.0,40.1,40.49,42.73,35.54,39.85,40.53,42.47,45.03,47.27,47.09,50.2
52032,Siena,,15,520320000015,2,Culto,5,Edifici pubblici e servizi,4,,True,39.84,41.24,40.91,42.95,37.75,39.06,38.73,40.7,37.68,38.74,38.6,39.95,41.23,42.37,42.32,43.56,37.92,39.18,39.24,40.37,38.77,40.2,39.72,42.1,38.54,40.21,40.18,41.91,46.92,47.81,47.71,48.81
52032,Siena,,16,520320000016,1,Residenziale,1,Tessuto urbano continuo,119,,True,43.15,44.4,44.64,44.99,40.78,41.7,41.87,42.1,40.23,41.37,41.61,41.88,44.41,45.29,45.5,45.59,39.65,40.82,40.5,42.21,42.6,43.52,43.69,43.95,41.38,42.65,42.56,43.42,47.94,49.58,49.8,50.47
52032,Siena,,17,520320000017,1,Residenziale,1,Tessuto urbano continuo,172,,True,34.78,40.04,39.71,45.35,36.06,38.77,38.31,42.19,35.22,38.44,38.19,41.68,37.23,41.09,40.82,46.19,34.28,38.03,36.81,44.36,35.49,39.27,38.93,43.57,34.84,38.9,38.36,43.12,42.92,46.3,45.84,50.02
52032,Siena,,18,520320000018,1,Residenziale,1,Tessuto urbano continuo,64,,True,45.17,45.77,45.69,46.28,41.94,42.53,42.48,43.0,41.53,42.37,42.32,42.87,44.33,45.87,46.05,47.18,42.97,44.27,44.39,45.08,43.21,44.01,44.01,44.49,42.33,43.46,43.59,44.24,49.68,50.46,50.51,51.27
52032,Siena,,19,520320000019,1,Residenziale,1,Tessuto urbano continuo,158,,True,44.66,46.04,46.18,46.99,41.85,42.79,42.92,43.47,41.35,42.42,42.52,43.22,45.07,46.37,46.42,47.57,44.74,45.15,45.08,45.62,42.78,44.08,44.3,44.86,42.58,43.74,43.91,44.55,49.79,50.87,50.96,51.7
52032,Siena,,20,520320000020,1,Residenziale,1,Tessuto urbano continuo,105,,True,45.22,45.7,45.8,45.95,42.14,42.35,42.25,42.59,41.37,41.52,41.52,41.66,45.06,45.22,45.24,45.37,44.61,44.93,45.01,45.26,42.86,43.29,43.18,43.66,42.96,43.02,42.99,43.07,50.2,50.49,50.55,50.68
52032,Siena,,21,520320000021,1,Residenziale,1,Tessuto urbano continuo,117,,True,43.98,45.26,45.51,45.8,41.51,41.97,42.03,42.39,40.92,41.3,41.32,41.66,44.48,44.94,45.01,45.33,43.76,44.35,44.3,45.01,42.3,42.97,43.06,43.61,42.29,42.72,42.75,42.99,49.09,50.1,50.4,50.59
52032,Siena,,22,520320000022,2,Culto,5,Edifici pubblici e servizi,5,,True,34.97,39.32,39.93,43.29,35.91,39.08,39.14,41.73,35.03,37.32,37.37,39.54,35.74,39.11,38.92,42.13,34.51,37.0,36.6,42.28,35.49,38.67,39.04,41.84,34.3,37.79,37.82,40.96,42.46,45.11,45.0,48.49
52032,Siena,,23,520320000023,1,Residenziale,1,Tessuto urbano continuo,8,,True,41.9,42.98,43.21,43.75,41.23,41.75,41.84,42.09,38.97,39.71,39.74,40.3,41.38,42.3,42.37,43.01,39.91,41.68,41.8,43.04,41.19,41.86,41.92,42.27,40.77,41.2,41.21,41.68,46.85,48.29,48.4,49.19
52032,Siena,,24,520320000024,1,Residenziale,1,Tessuto urbano continuo,201,,True,41.49,43.37,43.12,45.71,39.36,41.43,41.57,42.83,38.36,40.29,40.04,42.4,41.16,43.29,42.98,45.56,39.0,42.12,41.62,45.07,40.42,42.06,41.85,43.98,39.84,41.59,41.34,43.34,46.54,48.84,48.91,50.93
52032,Siena,,25,520320000025,1,Residenziale,1,Tessuto urbano continuo,89,,True,44.37,45.12,44.92,46.26,42.09,42.51,42.53,43.16,40.42,41.45,41.36,42.63,43.36,44.28,44.06,45.46,43.5,44.28,44.18,45.31,42.11,43.18,43.12,44.36,41.22,42.38,42.2,43.66,49.58,50.26,50.17,51.29
52032,Siena,,26,520320000026,1,Residenziale,1,Tessuto urbano continuo,56,,True,44.74,45.62,45.63,46.49,42.5,42.92,42.92,43.44,41.09,42.05,42.13,42.81,43.92,44.83,44.89,45.62,44.09,44.85,44.82,45.6,43.24,43.93,43.91,44.6,42.44,43.15,43.19,43.76,50.1,50.79,50.82,51.41
52032,Siena,,27,520320000027,1,Residenziale,1,Tessuto urbano continuo,39,,True,44.3,44.63,44.68,44.85,42.08,42.58,42.55,43.14,40.45,40.89,40.96,41.18,43.29,43.73,43.78,44.08,43.32,43.8,43.9,44.09,42.4,43.02,43.15,43.38,42.03,42.36,42.4,42.62,49.44,49.92,50.02,50.19
52032,Siena,,28,520320000028,1,Residenziale,1,Tessuto urbano continuo,118,,True,42.51,43.35,43.28,44.36,41.04,41.68,41.62,42.44,39.2,39.66,39.66,40.13,41.75,42.38,42.44,42.9,39.76,41.25,41.18,42.9,40.82,41.68,41.63,42.65,40.63,41.27,41.14,42.17,47.78,48.47,48.37,49.36
52032,Siena,,29,520320000029,1,Residenziale,1,Tessuto urbano continuo,61,,True,42.86,44.26,44.56,45.08,41.27,42.41,42.63,43.2,39.69,40.42,40.61,40.84,42.34,43.14,43.33,43.76,39.97,42.47,42.86,44.04,41.04,42.54,42.88,43.41,40.85,41.97,42.04,43.07,48.16,49.24,49.35,50.21
52032,Siena,,30,520320000030,1,Residenziale,1,Tessuto urbano continuo,91,,True,42.96,43.78,43.57,45.03,41.22,41.69,41.77,42.46,39.51,40.2,39.87,41.55,42.38,43.06,42.88,44.22,40.07,42.75,42.61,44.19,40.83,41.61,41.3,43.23,40.48,41.06,40.96,42.08,48.08,49.06,48.96,49.94
52032,Siena,,31,520320000031,1,Residenziale,1,Tessuto urbano continuo,23,,True,45.52,45.96,45.93,46.32,42.58,43.15,43.25,43.49,42.06,42.43,42.5,42.68,44.84,45.17,45.17,45.44,44.73,45.38,45.51,45.78,43.68,44.13,44.19,44.5,42.73,43.09,42.97,43.58,50.12,50.54,50.43,51.04
52032,Siena,,32,520320000032,1,Residenziale,1,Tessuto urbano continuo,39,,True,45.12,45.51,45.48,45.74,42.36,43.24,43.11,43.66,41.7,42.21,42.25,42.49,44.41,44.93,44.99,45.11,44.48,45.15,45.22,45.39,43.32,43.73,43.69,43.96,42.18,42.47,42.41,42.73,49.78,50.4,50.5,50.86
52032,Siena,,33,520320000033,1,Residenziale,1,Tessuto urbano continuo,59,,True,45.71,45.98,46.0,46.16,42.75,42.99,43.1,43.12,42.32,42.54,42.63,42.68,45.49,45.59,45.63,45.64,44.27,45.12,45.4,45.42,43.89,44.13,44.24,44.27,43.05,43.38,43.46,43.52,50.93,51.03,51.0,51.13
52032,Siena,,34,520320000034,1,Residenziale,1,Tessuto urbano continuo,9,,True,46.28,46.28,46.28,46.28,43.36,43.36,43.36,43.36,42.78,42.78,42.78,42.78,45.75,45.75,45.75,45.75,45.65,45.65,45.65,45.65,44.29,44.29,44.29,44.29,43.66,43.66,43.66,43.66,50.5,50.5,50.5,50.5
52032,Siena,,35,520320000035,1,Residenziale,1,Tessuto urbano continuo,197,,True,35.49,39.15,39.52,41.02,35.95,37.93,38.16,39.56,33.33,36.45,36.73,37.97,37.32,39.91,40.18,41.37,37.49,39.83,40.06,42.14,36.05,38.42,39.01,39.73,35.5,37.11,37.24,39.33,41.49,44.57,44.87,46.13
52032,Siena,,36,520320000036,9,Ospedale/ASL,5,Edifici pubblici e servizi,16,,True,36.63,39.0,39.4,40.65,36.84,38.51,38.76,39.53,35.46,38.21,38.52,39.63,38.36,40.94,41.24,42.62,37.82,39.31,39.59,40.19,36.97,39.44,39.73,41.01,36.58,37.65,37.91,38.33,42.93,45.07,45.43,46.14
52032,Siena,,37,520320000037,1,Residenziale,1,Tessuto urbano continuo,165,,True,36.73,39.7,39.94,41.61,37.6,39.49,39.6,41.03,35.79,38.63,38.75,40.44,40.16,41.37,41.5,42.47,36.88,40.29,40.52,42.13,37.5,39.74,39.73,41.47,35.45,38.09,38.38,39.33,42.3,45.5,45.62,47.3
52032,Siena,,38,520320000038,1,Residenziale,1,Tessuto urbano continuo,63,,True,36.06,38.04,37.97,39.34,37.92,38.82,38.8,39.57,36.47,37.27,37.29,38.08,39.55,40.51,40.42,41.71,37.83,40.55,40.67,41.55,37.21,38.5,38.61,39.43,36.58,37.64,37.58,38.74,43.14,44.46,44.43,45.81
