PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
73027,Taranto,,1,730270000001,29,Municipio,5,Edifici pubblici e servizi,0,1749.8,False,37.63,38.38,38.38,39.13,35.43,36.88,36.88,38.34,35.88,37.28,37.28,38.68,34.97,36.86,36.86,38.75,36.5,37.91,37.91,39.32,36.33,37.35,37.35,38.38,34.6,36.2,36.2,37.79,34.5,35.94,35.94,37.39
73027,Taranto,,2,730270000002,2,Culto,5,Edifici pubblici e servizi,0,1996.0,False,40.52,40.52,40.52,40.52,39.79,39.79,39.79,39.79,40.06,40.06,40.06,40.06,40.43,40.43,40.43,40.43,40.31,40.31,40.31,40.31,39.45,39.45,39.45,39.45,39.39,39.39,39.39,39.39,38.86,38.86,38.86,38.86
73027,Taranto,,3,730270000003,1,Residenziale,1,Tessuto urbano continuo,18,1084.0,False,36.74,36.74,36.74,36.74,35.32,35.32,35.32,35.32,36.37,36.37,36.37,36.37,35.54,35.54,35.54,35.54,36.16,36.16,36.16,36.16,35.75,35.75,35.75,35.75,34.93,34.93,34.93,34.93,35.19,35.19,35.19,35.19
73027,Taranto,,4,730270000004,1,Residenziale,1,Tessuto urbano continuo,98,875.6,False,38.13,38.27,38.27,38.4,36.43,36.95,36.95,37.46,36.79,37.32,37.32,37.84,36.4,36.96,36.96,37.52,37.3,37.63,37.63,37.96,36.92,37.3,37.3,37.68,35.5,36.26,36.26,37.02,35.51,36.02,36.02,36.53
73027,Taranto,,5,730270000005,1,Residenziale,1,Tessuto urbano continuo,27,1129.5,False,39.1,39.56,39.56,40.01,38.06,38.41,38.41,38.75,38.63,39.1,39.1,39.56,38.69,39.18,39.18,39.66,38.97,39.37,39.37,39.77,37.8,38.17,38.17,38.54,38.08,38.5,38.5,38.92,37.64,38.02,38.02,38.41
73027,Taranto,,6,730270000006,1,Residenziale,1,Tessuto urbano continuo,36,1205.7,False,41.43,41.43,41.43,41.43,40.15,40.15,40.15,40.15,40.47,40.47,40.47,40.47,40.91,40.91,40.91,40.91,40.6,40.6,40.6,40.6,40.3,40.3,40.3,40.3,39.95,39.95,39.95,39.95,40.02,40.02,40.02,40.02
73027,Taranto,,7,730270000007,1,Residenziale,1,Tessuto urbano continuo,2,927.6,False,37.04,37.04,37.04,37.04,36.51,36.51,36.51,36.51,35.92,35.92,35.92,35.92,36.11,36.11,36.11,36.11,36.81,36.81,36.81,36.81,36.7,36.7,36.7,36.7,35.5,35.5,35.5,35.5,35.16,35.16,35.16,35.16
73027,Taranto,,8,730270000008,1,Residenziale,1,Tessuto urbano continuo,73,3018.4,False,37.04,38.32,38.11,39.82,36.51,37.77,37.95,39.01,35.92,37.34,37.36,38.69,36.11,37.8,38.07,39.23,36.81,38.17,38.27,39.48,36.7,37.6,37.6,38.28,35.5,37.27,37.66,38.7,35.16,37.16,37.62,38.72
73027,Taranto,,9,730270000009,1,Residenziale,1,Tessuto urbano continuo,14,1266.6,False,40.58,40.84,40.84,41.1,39.54,39.58,39.58,39.62,39.72,39.76,39.76,39.8,40.19,40.34,40.34,40.49,40.1,40.23,40.23,40.36,39.12,39.39,39.39,39.65,39.43,39.43,39.43,39.43,39.61,39.9,39.9,40.18
73027,Taranto,,10,730270000010,3,Monumento/palazzo storico,5,Edifici pubblici e servizi,4,22172.2,True,31.48,35.68,35.65,39.05,31.23,35.06,34.99,38.02,32.22,35.74,35.51,38.91,31.65,35.17,35.19,38.36,32.37,35.95,36.05,38.74,32.81,35.63,35.68,37.86,31.16,34.69,34.84,37.78,31.03,35.13,35.07,38.72
