PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
113025,Tempio Pausania,Sardegna,1,900700000001,1,Residenziale,1,Tessuto urbano continuo,197,,True,35.08,37.0,36.26,40.41,41.11,41.82,41.83,42.57,37.94,38.68,38.53,40.73,41.78,42.46,42.39,43.44,39.61,40.29,40.18,41.4,39.5,40.04,39.93,41.07,38.15,38.79,38.65,39.96,44.4,45.03,44.97,46.22
113025,Tempio Pausania,Sardegna,2,900700000002,1,Residenziale,1,Tessuto urbano continuo,299,,True,34.56,35.96,36.02,38.98,39.28,41.66,41.94,42.51,37.33,39.15,39.1,40.88,40.06,42.24,42.52,43.22,38.05,40.34,40.58,41.5,37.22,39.92,40.26,40.93,36.05,39.03,39.42,40.01,42.53,45.12,45.36,45.8
113025,Tempio Pausania,Sardegna,3,900700000003,1,Residenziale,1,Tessuto urbano continuo,299,,True,36.09,37.02,36.47,39.76,42.37,42.78,42.83,43.07,38.76,40.82,41.29,42.02,42.78,43.32,43.32,43.73,41.18,41.7,41.74,42.46,40.88,41.24,41.28,41.58,39.81,40.2,40.21,40.56,45.48,46.04,46.1,46.47
113025,Tempio Pausania,Sardegna,4,900700000004,1,Residenziale,1,Tessuto urbano continuo,287,,True,34.82,35.43,35.21,38.85,40.24,41.06,41.07,41.9,37.39,38.22,38.08,40.27,40.53,41.68,41.8,42.65,38.82,39.69,39.71,40.6,38.49,39.31,39.34,40.36,37.42,38.02,37.87,39.13,43.93,44.44,44.42,45.12
113025,Tempio Pausania,Sardegna,5,900700000005,1,Residenziale,1,Tessuto urbano continuo,320,,True,36.07,38.75,39.22,39.54,41.9,42.57,42.62,43.2,38.31,39.43,39.13,41.35,42.14,42.82,42.83,43.3,40.63,41.14,41.15,41.72,40.47,40.97,41.04,41.4,39.41,39.72,39.73,40.0,45.15,45.86,45.87,46.42
113025,Tempio Pausania,Sardegna,6,900700000006,1,Residenziale,1,Tessuto urbano continuo,490,,True,34.49,35.86,35.82,38.88,39.91,41.52,41.75,41.99,37.35,38.67,38.51,40.85,40.27,42.45,42.53,43.3,37.94,40.19,40.4,41.18,38.12,39.92,40.18,40.6,36.49,38.65,38.82,39.68,43.93,45.03,45.2,45.74
113025,Tempio Pausania,Sardegna,7,900700000007,1,Residenziale,1,Tessuto urbano continuo,738,,True,33.02,35.95,35.92,40.13,36.85,40.4,40.74,41.65,34.78,38.38,38.58,40.16,37.94,41.18,41.48,42.64,35.5,39.0,39.31,40.43,34.79,38.56,38.91,40.04,34.28,37.73,38.04,38.92,40.85,44.76,45.17,46.37
113025,Tempio Pausania,Sardegna,8,900700000008,1,Residenziale,1,Tessuto urbano continuo,386,,True,35.06,37.27,36.07,40.79,39.0,40.94,41.06,42.82,38.23,39.89,39.9,41.03,40.43,42.18,42.11,43.83,38.45,40.48,40.59,42.3,37.21,38.94,38.94,40.53,36.04,38.47,38.61,40.24,43.02,44.82,44.82,46.49
113025,Tempio Pausania,Sardegna,9,900700000009,1,Residenziale,1,Tessuto urbano continuo,279,,True,36.04,37.56,37.39,41.16,41.22,42.83,42.94,44.18,39.28,41.25,41.23,42.83,41.93,43.61,43.63,44.99,40.44,41.97,42.06,43.5,39.68,40.89,40.79,42.17,38.49,40.22,40.24,41.81,44.58,46.27,46.38,47.6
113025,Tempio Pausania,Sardegna,10,900700000010,1,Residenziale,1,Tessuto urbano continuo,481,,True,36.49,37.5,37.49,38.49,42.47,43.35,43.43,44.18,40.82,41.78,41.67,43.04,43.37,44.32,44.25,45.6,40.25,42.57,42.59,43.96,40.01,41.19,41.04,42.14,39.82,40.97,40.8,42.61,46.02,47.08,46.95,48.38
113025,Tempio Pausania,Sardegna,11,900700000011,1,Residenziale,1,Tessuto urbano continuo,385,,True,35.52,37.16,37.11,40.61,40.5,42.94,43.1,44.22,38.89,41.88,41.94,44.34,41.12,44.41,44.41,47.31,38.2,41.11,41.28,43.18,38.19,40.86,40.91,42.51,38.37,41.21,41.12,43.7,44.65,47.12,47.03,49.28
113025,Tempio Pausania,Sardegna,12,900700000012,1,Residenziale,1,Tessuto urbano continuo,530,,True,34.15,37.45,37.55,40.46,38.54,41.4,41.54,43.17,36.56,39.8,39.72,41.72,38.9,42.19,41.94,44.66,35.85,39.76,39.8,42.24,36.67,39.39,39.57,41.2,35.46,38.58,38.41,40.7,42.26,45.12,45.28,47.23
113025,Tempio Pausania,Sardegna,14,900700000014,1,Residenziale,1,Tessuto urbano continuo,462,,True,32.16,35.63,35.36,40.56,36.59,40.05,39.94,42.33,33.98,38.04,37.9,40.25,35.88,40.21,40.33,43.18,33.05,37.72,37.89,41.64,33.98,37.54,37.56,39.82,33.47,37.38,37.18,39.91,39.21,43.63,43.52,46.47
