PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
67041,Teramo,,1,670410000001,1,Residenziale,1,Tessuto urbano continuo,510,,True,40.98,42.14,42.21,43.01,36.73,38.94,39.07,40.18,33.54,36.67,34.8,41.78,38.29,40.16,40.17,41.18,38.45,40.07,40.32,41.06,40.66,41.74,41.68,42.71,38.98,40.49,40.59,41.3,42.35,44.59,44.79,45.59
67041,Teramo,,2,670410000002,1,Residenziale,1,Tessuto urbano continuo,602,,True,41.89,42.44,42.45,42.96,38.16,39.63,39.73,40.22,33.66,36.54,34.82,41.34,38.95,40.03,40.08,40.85,39.29,40.5,40.5,41.17,40.9,42.0,42.08,42.67,39.75,40.91,40.98,41.61,44.82,45.34,45.35,45.7
67041,Teramo,,3,670410000003,1,Residenziale,1,Tessuto urbano continuo,618,,True,37.19,41.37,41.72,43.48,34.69,38.8,39.26,41.56,32.29,34.47,34.42,36.16,37.06,40.03,40.15,41.74,36.63,40.53,40.75,42.41,38.31,41.56,41.9,43.4,36.26,40.42,40.85,42.08,40.92,44.96,45.18,46.91
67041,Teramo,,4,670410000004,1,Residenziale,1,Tessuto urbano continuo,2327,,True,35.65,40.52,40.84,43.12,34.47,37.86,37.94,39.67,32.46,36.89,37.03,40.81,35.99,40.44,40.52,43.28,35.03,39.81,40.02,42.47,36.94,41.34,41.5,44.32,34.75,39.73,40.08,42.67,38.27,43.63,44.02,47.53
67041,Teramo,,6,670410000006,1,Residenziale,1,Tessuto urbano continuo,513,,True,35.51,38.97,38.93,42.97,33.86,37.03,37.08,40.96,31.43,34.54,34.6,37.46,36.24,40.21,40.24,43.71,34.52,38.59,38.57,43.09,37.61,40.95,41.03,44.49,35.08,38.76,38.92,42.12,37.52,41.89,42.4,45.88
67041,Teramo,,7,670410000007,1,Residenziale,1,Tessuto urbano continuo,924,,True,36.41,40.71,41.04,42.82,34.95,37.03,36.82,39.7,33.05,36.76,34.54,41.91,36.51,39.18,39.19,41.79,35.12,38.51,38.64,40.8,37.14,40.76,40.77,43.57,33.69,38.93,39.25,41.55,38.33,42.88,43.2,45.99
67041,Teramo,,8,670410000008,1,Residenziale,1,Tessuto urbano continuo,461,,True,35.99,40.21,40.46,43.09,34.12,36.79,36.78,39.18,32.69,38.08,38.31,42.05,35.43,38.93,38.96,42.13,33.56,37.53,37.38,40.65,37.3,40.49,40.5,43.05,33.46,37.74,38.09,41.22,37.72,42.02,42.08,44.98
67041,Teramo,,9,670410000009,1,Residenziale,1,Tessuto urbano continuo,942,,True,36.99,41.42,41.63,43.91,33.79,36.42,36.53,38.46,36.86,39.66,40.11,41.42,36.22,40.21,40.44,42.7,34.91,39.27,39.23,42.48,38.11,41.66,41.55,44.28,36.06,40.06,40.08,43.29,39.7,43.97,43.81,47.08
67041,Teramo,,10,670410000010,1,Residenziale,1,Tessuto urbano continuo,660,,True,33.55,38.09,37.11,44.28,32.24,35.24,35.31,39.22,33.21,37.18,36.79,42.3,33.33,37.78,36.93,43.36,32.14,36.5,35.52,43.13,34.73,39.2,38.53,44.95,32.78,37.37,36.48,43.78,36.37,41.89,41.26,47.16
67041,Teramo,,11,670410000011,1,Residenziale,1,Tessuto urbano continuo,655,,True,36.86,40.45,40.46,44.2,34.37,36.57,36.46,39.65,37.0,39.75,39.9,42.42,37.13,40.59,40.83,43.4,35.36,38.89,38.96,42.95,37.87,41.86,41.93,44.98,35.96,39.54,39.68,43.69,41.48,44.27,44.5,46.8
67041,Teramo,,12,670410000012,1,Residenziale,1,Tessuto urbano continuo,408,,True,36.83,42.19,42.13,45.47,34.91,38.43,38.67,40.94,37.1,40.07,40.25,42.03,37.28,41.05,41.35,43.29,35.51,39.77,40.02,42.74,37.78,42.3,42.36,45.08,36.09,40.75,41.07,43.56,41.4,44.91,45.21,47.24
67041,Teramo,,13,670410000013,1,Residenziale,1,Tessuto urbano continuo,671,,True,44.7,45.74,45.68,46.96,40.0,41.25,41.07,43.33,41.36,42.67,42.68,44.01,42.49,43.27,43.26,44.06,41.78,42.87,42.87,43.84,44.24,45.02,44.93,45.92,42.52,43.37,43.27,44.54,46.55,47.26,47.2,48.08
67041,Teramo,,15,670410000015,1,Residenziale,1,Tessuto urbano continuo,651,,True,42.35,45.51,45.89,47.17,38.68,41.84,42.1,43.44,35.19,41.02,42.41,44.28,39.93,42.48,42.77,44.21,40.23,42.72,43.02,44.05,41.85,44.53,44.93,46.09,40.11,43.23,43.64,44.84,44.69,47.25,47.78,48.47
67041,Teramo,,17,670410000017,37,Scuole/istituti,5,Edifici pubblici e servizi,0,,True,42.28,43.46,43.32,44.8,38.02,39.23,39.27,40.68,34.45,34.96,34.79,35.86,40.1,40.83,40.69,42.0,41.0,41.67,41.55,42.76,42.05,42.83,42.7,44.01,40.77,41.61,41.57,42.61,45.55,46.21,46.09,47.14
