PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
55032,Terni,,1,550320000001,37,Scuole/istituti,5,Edifici pubblici e servizi,0,,True,40.75,40.87,40.85,41.02,44.22,44.31,44.26,44.51,43.57,43.72,43.73,43.86,45.8,45.87,45.81,46.04,43.57,43.76,43.77,43.96,45.86,45.89,45.87,45.94,45.66,45.8,45.69,46.11,49.63,49.69,49.64,49.85
55032,Terni,,2,550320000002,1,Residenziale,1,Tessuto urbano continuo,80,,True,40.89,41.15,41.09,41.46,44.13,44.36,44.43,44.48,43.77,43.88,43.85,44.04,45.68,46.01,45.89,46.49,43.55,43.8,43.84,43.94,46.12,47.32,47.88,48.1,45.48,45.89,45.99,46.12,49.68,50.02,50.02,50.27
55032,Terni,,3,550320000003,1,Residenziale,1,Tessuto urbano continuo,69,,True,42.19,42.38,42.39,42.57,45.67,45.94,45.95,46.17,45.02,45.27,45.27,45.51,47.73,48.04,48.06,48.31,44.93,45.06,45.07,45.19,49.03,49.27,49.26,49.53,47.23,47.31,47.31,47.4,51.15,51.18,51.18,51.24
55032,Terni,,4,550320000004,1,Residenziale,1,Tessuto urbano continuo,96,,True,40.69,41.09,40.93,42.12,44.25,44.61,44.43,45.66,43.58,43.96,43.8,45.0,46.37,46.68,46.49,47.73,43.68,43.95,43.78,44.9,47.64,48.02,47.86,49.03,45.78,46.17,46.03,47.14,49.79,50.13,49.97,51.11
55032,Terni,,5,550320000005,1,Residenziale,1,Tessuto urbano continuo,71,,True,41.56,41.95,41.94,42.38,45.01,45.43,45.4,45.9,44.42,44.82,44.8,45.25,47.06,47.49,47.46,47.98,44.09,44.51,44.49,44.97,47.11,47.52,47.5,47.96,46.52,46.86,46.83,47.25,50.33,50.73,50.72,51.14
55032,Terni,,6,550320000006,1,Residenziale,1,Tessuto urbano continuo,56,,True,40.62,41.09,41.24,41.3,44.17,44.59,44.73,44.77,43.54,44.01,44.18,44.2,46.3,46.67,46.8,46.84,43.6,43.86,43.94,43.98,46.56,46.98,46.92,47.65,45.89,46.3,46.43,46.46,49.79,50.16,50.29,50.3
55032,Terni,,7,550320000007,1,Residenziale,1,Tessuto urbano continuo,18,,True,40.37,40.42,40.42,40.48,43.99,44.06,44.06,44.13,43.3,43.34,43.34,43.37,46.18,46.25,46.25,46.32,43.5,43.57,43.57,43.63,47.47,47.48,47.48,47.48,45.65,45.69,45.69,45.72,49.61,49.62,49.62,49.62
55032,Terni,,8,550320000008,1,Residenziale,1,Tessuto urbano continuo,9,,True,40.77,40.85,40.82,40.96,44.2,44.23,44.22,44.28,43.64,43.69,43.66,43.75,45.67,45.92,45.69,46.4,43.66,43.68,43.68,43.71,46.04,47.16,47.64,47.79,45.56,45.63,45.64,45.7,49.58,49.73,49.8,49.8
55032,Terni,,9,550320000009,1,Residenziale,1,Tessuto urbano continuo,72,,True,40.17,40.48,40.51,40.81,43.89,44.14,44.17,44.39,43.08,43.32,43.3,43.52,45.78,46.12,46.16,46.42,43.44,43.68,43.68,43.96,45.92,46.88,47.42,47.48,45.58,45.68,45.65,45.94,49.45,49.61,49.61,49.83
55032,Terni,,10,550320000010,1,Residenziale,1,Tessuto urbano continuo,56,,True,40.31,40.49,40.42,40.86,43.75,43.95,43.83,44.35,43.19,43.36,43.23,43.76,46.09,46.22,46.19,46.48,43.3,43.43,43.36,43.69,46.13,46.25,46.16,46.54,45.77,45.9,45.8,46.2,49.6,49.78,49.79,50.03
55032,Terni,,11,550320000011,1,Residenziale,1,Tessuto urbano continuo,3,,True,40.44,40.57,40.57,40.7,43.92,44.11,44.11,44.29,43.24,43.48,43.48,43.71,46.19,46.38,46.38,46.57,43.33,43.47,43.47,43.61,46.2,46.29,46.29,46.37,45.81,45.96,45.96,46.12,49.85,50.0,50.0,50.14
55032,Terni,,12,550320000012,1,Residenziale,1,Tessuto urbano continuo,100,,True,40.61,40.93,40.95,41.15,44.15,44.54,44.59,44.71,43.53,44.17,44.29,44.44,46.34,46.7,46.79,46.86,43.56,43.72,43.7,43.88,46.28,46.63,46.65,46.88,46.12,46.37,46.39,46.47,49.99,50.18,50.22,50.3
55032,Terni,,13,550320000013,1,Residenziale,1,Tessuto urbano continuo,59,,True,41.09,41.09,41.09,41.1,44.52,44.57,44.57,44.62,44.24,44.31,44.31,44.37,46.68,46.72,46.72,46.76,43.51,43.59,43.59,43.68,46.97,46.97,46.97,46.98,46.24,46.3,46.3,46.36,50.3,50.33,50.33,50.35
55032,Terni,,14,550320000014,1,Residenziale,1,Tessuto urbano continuo,2,,True,40.38,40.78,40.7,41.18,44.14,44.42,44.38,44.74,43.95,44.31,44.27,44.64,47.04,47.62,47.61,48.01,43.1,43.52,43.4,44.67,45.1,46.15,46.02,47.1,45.86,46.12,46.14,46.5,49.79,50.29,50.41,50.56
55032,Terni,,15,550320000015,1,Residenziale,1,Tessuto urbano continuo,92,,True,39.94,40.3,40.31,40.7,43.75,44.07,44.13,44.38,43.54,43.8,43.76,44.27,46.55,47.44,47.46,48.02,43.1,43.69,43.46,44.34,44.55,45.32,45.1,46.42,45.23,45.72,45.72,46.16,49.31,49.73,49.79,50.08
