PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
116017,Tortolì,Sardegna,1,910950000001,1,Residenziale,1,Tessuto urbano continuo,314,,True,36.67,39.83,40.21,41.55,36.67,39.38,39.5,40.88,39.3,40.73,40.57,42.04,38.01,41.37,41.46,43.5,37.97,41.09,40.65,44.26,37.2,40.24,40.55,41.83,34.34,38.7,38.58,41.54,39.58,44.0,44.1,46.55
116017,Tortolì,Sardegna,2,910950000002,1,Residenziale,1,Tessuto urbano continuo,508,,True,39.51,41.72,41.68,44.45,39.51,41.65,41.69,43.5,40.19,42.29,42.3,43.91,41.14,43.48,43.56,45.72,41.11,43.59,43.68,45.61,40.41,42.39,42.24,45.07,38.2,40.7,40.93,42.82,43.91,45.72,45.83,47.73
116017,Tortolì,Sardegna,3,910950000003,1,Residenziale,1,Tessuto urbano continuo,184,,True,39.89,40.76,40.56,41.84,39.89,40.62,40.61,41.29,40.44,41.17,41.23,41.79,41.85,42.48,42.5,43.37,41.75,42.68,42.65,43.37,40.75,41.35,41.34,42.02,38.01,39.77,39.84,41.12,43.82,44.98,45.1,45.93
116017,Tortolì,Sardegna,4,910950000004,1,Residenziale,1,Tessuto urbano continuo,436,,True,38.82,40.31,40.28,41.35,38.86,40.2,40.25,41.04,39.31,41.11,41.34,41.81,40.04,42.48,42.74,43.25,39.84,42.98,43.39,44.37,39.58,41.11,41.19,41.79,37.34,40.38,40.84,41.58,42.98,45.86,46.21,46.68
116017,Tortolì,Sardegna,5,910950000005,1,Residenziale,1,Tessuto urbano continuo,362,,True,38.09,39.86,40.12,40.85,38.09,39.79,40.09,40.71,39.46,41.01,41.14,41.8,40.29,42.21,42.55,43.4,39.74,42.31,42.72,44.03,39.58,40.88,41.08,41.81,37.15,39.57,40.17,41.54,43.81,45.52,45.8,46.98
116017,Tortolì,Sardegna,6,910950000006,1,Residenziale,1,Tessuto urbano continuo,466,,True,38.13,39.87,39.94,41.61,38.63,40.13,40.19,41.8,39.28,40.67,40.84,42.03,40.82,42.39,42.39,43.89,39.59,42.47,42.49,44.07,40.68,41.65,41.48,43.35,37.55,39.95,39.88,41.55,43.39,45.38,45.5,46.53
116017,Tortolì,Sardegna,7,910950000007,1,Residenziale,1,Tessuto urbano continuo,1067,,True,34.37,40.02,40.21,42.47,35.03,39.89,39.92,42.5,35.33,39.63,39.74,42.12,36.43,41.78,41.91,44.09,35.4,41.59,41.83,43.94,36.03,40.71,40.82,43.46,33.05,39.01,39.13,41.76,37.47,43.88,44.1,46.88
116017,Tortolì,Sardegna,8,910950000008,1,Residenziale,1,Tessuto urbano continuo,485,,True,38.28,40.41,40.34,42.69,38.03,39.88,39.84,42.09,38.64,39.96,39.85,41.83,40.2,41.72,41.54,44.06,39.57,42.05,42.02,44.49,38.18,40.97,40.97,43.23,36.79,39.45,39.43,41.67,41.79,44.11,44.19,46.13
116017,Tortolì,Sardegna,9,910950000009,1,Residenziale,1,Tessuto urbano continuo,487,,True,38.31,39.91,39.78,41.96,37.73,39.81,39.94,41.43,37.97,39.7,39.65,41.23,39.36,41.14,41.1,42.82,40.69,41.98,41.92,43.65,38.6,40.8,40.84,42.31,36.44,39.29,39.27,41.25,42.05,44.42,44.32,46.8
116017,Tortolì,Sardegna,10,910950000010,1,Residenziale,1,Tessuto urbano continuo,436,,True,40.03,40.44,40.47,40.83,39.91,40.36,40.38,40.64,40.92,41.47,41.49,41.73,42.31,42.92,43.03,43.25,42.57,43.44,43.44,43.98,40.54,41.02,41.04,41.32,39.84,40.88,40.99,41.31,45.31,46.06,46.16,46.48
