PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
110009,Trani,Puglia,1,1100090000001,2,Culto,5,Edifici pubblici e servizi,0,,True,34.35,36.01,36.48,36.73,33.5,34.32,34.37,35.05,35.54,36.94,37.38,37.45,37.49,37.78,37.83,37.99,35.21,36.07,36.11,36.85,35.03,36.51,36.74,37.53,33.85,34.75,34.82,35.49,35.89,37.16,37.38,37.99
110009,Trani,Puglia,2,1100090000002,6,Porto,3,Rete infrastrutturale,0,,True,34.15,36.29,35.56,39.68,30.85,34.36,34.05,37.89,34.37,37.33,36.9,41.84,34.26,37.32,36.93,40.75,32.54,36.13,35.79,39.61,34.41,37.12,36.82,39.93,32.63,35.08,34.44,38.67,31.81,36.82,36.73,40.92
110009,Trani,Puglia,3,1100090000003,1,Residenziale,1,Tessuto urbano continuo,28,,True,40.1,40.38,40.38,40.67,37.83,38.42,38.52,38.81,40.94,41.36,41.06,42.4,40.89,41.52,41.62,41.95,40.12,40.75,40.94,41.01,40.21,40.9,41.11,41.16,38.6,39.24,39.22,39.93,41.86,42.49,42.65,42.79
110009,Trani,Puglia,4,1100090000004,1,Residenziale,1,Tessuto urbano continuo,28,,True,39.54,40.07,39.68,40.99,36.45,37.15,37.16,37.79,40.42,41.03,40.97,42.32,39.6,40.29,40.28,40.98,38.67,39.63,39.85,40.39,39.33,40.28,40.32,40.74,36.8,37.63,37.64,38.23,39.82,40.95,40.95,41.9
110009,Trani,Puglia,5,1100090000005,1,Residenziale,1,Tessuto urbano continuo,5,,True,39.37,40.01,40.27,40.38,37.67,38.32,38.64,38.64,41.05,41.48,41.06,42.32,41.0,41.54,41.79,41.84,40.33,41.02,41.36,41.37,40.91,41.38,41.54,41.69,37.78,38.43,38.67,38.84,41.44,42.37,42.76,42.92
110009,Trani,Puglia,7,1100090000007,1,Residenziale,1,Tessuto urbano continuo,44,,True,38.59,40.01,40.29,40.43,37.27,38.43,38.64,38.91,39.01,41.1,40.85,43.06,41.05,41.77,41.86,42.13,39.59,40.98,41.22,41.77,39.73,40.88,41.07,41.75,38.13,39.04,39.22,39.49,40.64,42.53,42.87,43.43
110009,Trani,Puglia,8,1100090000008,1,Residenziale,1,Tessuto urbano continuo,0,,True,41.21,41.21,41.21,41.21,39.44,39.44,39.44,39.44,41.76,41.76,41.76,41.76,42.76,42.76,42.76,42.76,41.77,41.77,41.77,41.77,41.97,41.97,41.97,41.97,40.43,40.43,40.43,40.43,43.41,43.41,43.41,43.41
110009,Trani,Puglia,9,1100090000009,6,Porto,3,Rete infrastrutturale,0,,True,30.71,36.33,36.88,40.61,23.54,33.47,34.27,39.05,32.68,37.58,38.07,42.15,31.08,37.17,37.48,42.77,31.21,36.3,36.03,41.24,32.06,37.23,37.2,41.37,29.11,35.06,34.9,40.28,29.5,37.2,37.9,42.56
110009,Trani,Puglia,11,1100090000011,2,Culto,5,Edifici pubblici e servizi,0,,True,36.01,38.16,38.35,39.31,34.88,36.46,36.44,37.4,37.59,39.48,39.3,40.97,37.14,39.51,39.72,41.22,36.9,38.36,38.49,39.57,37.57,38.63,38.76,39.23,35.52,37.3,37.47,38.31,37.87,39.22,39.21,40.7
110009,Trani,Puglia,12,1100090000012,1,Residenziale,1,Tessuto urbano continuo,28,,True,40.31,40.38,40.38,40.46,38.76,38.84,38.84,38.92,40.97,41.11,41.11,41.25,42.26,42.32,42.32,42.38,41.84,41.98,41.98,42.13,41.23,41.46,41.46,41.7,39.36,39.43,39.43,39.5,43.29,43.51,43.51,43.73
110009,Trani,Puglia,13,1100090000013,1,Residenziale,1,Tessuto urbano continuo,63,,True,40.33,40.47,40.46,40.68,38.64,38.91,38.96,39.03,41.06,41.61,41.39,43.53,41.84,42.17,42.21,42.45,41.37,41.9,42.03,42.23,41.69,41.99,42.0,42.2,38.67,39.41,39.58,39.76,42.76,43.59,43.72,43.97
110009,Trani,Puglia,14,1100090000014,1,Residenziale,1,Tessuto urbano continuo,98,,True,40.42,40.88,40.89,41.34,38.64,39.07,39.13,39.33,41.22,42.75,42.71,44.1,42.41,42.59,42.57,42.79,41.88,42.21,42.21,42.42,41.71,42.22,42.27,42.5,39.63,39.95,39.97,40.26,43.55,44.06,44.04,44.38
110009,Trani,Puglia,15,1100090000015,1,Residenziale,1,Tessuto urbano continuo,17,,True,40.51,40.51,40.51,40.51,38.82,38.82,38.82,38.82,43.37,43.37,43.37,43.37,42.43,42.43,42.43,42.43,42.07,42.07,42.07,42.07,41.96,41.96,41.96,41.96,39.72,39.72,39.72,39.72,43.77,43.77,43.77,43.77
110009,Trani,Puglia,16,1100090000016,1,Residenziale,1,Tessuto urbano continuo,12,,True,40.3,40.32,40.32,40.33,38.51,38.6,38.6,38.68,41.0,41.84,41.84,42.67,42.17,42.25,42.25,42.34,41.55,41.72,41.72,41.9,41.03,41.27,41.27,41.52,39.18,39.33,39.33,39.48,42.89,43.17,43.17,43.44
110009,Trani,Puglia,17,1100090000017,1,Residenziale,1,Tessuto urbano continuo,7,,True,39.83,40.0,40.01,40.18,37.94,38.24,38.26,38.48,40.15,41.07,40.84,42.39,41.65,41.94,41.89,42.27,40.51,41.02,40.88,41.62,39.96,40.53,40.38,41.23,38.75,38.97,38.79,39.45,41.48,42.23,42.07,43.11
