PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
81021,Trapani,,1,810210000001,3,Monumento/palazzo storico,5,Edifici pubblici e servizi,0,4413.3,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81021,Trapani,,2,810210000002,2,Culto,5,Edifici pubblici e servizi,0,625.0,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81021,Trapani,,3,810210000003,1,Residenziale,1,Tessuto urbano continuo,20,809.2,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81021,Trapani,,4,810210000004,1,Residenziale,1,Tessuto urbano continuo,2,938.4,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81021,Trapani,,5,810210000005,1,Residenziale,1,Tessuto urbano continuo,2,275.5,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81021,Trapani,,6,810210000006,1,Residenziale,1,Tessuto urbano continuo,81,5120.6,True,30.58,32.47,33.2,33.7,30.6,32.36,32.21,34.73,29.89,31.74,32.35,33.74,32.26,33.38,33.01,36.31,30.73,32.21,32.53,33.25,29.71,30.7,30.96,32.09,30.05,31.8,32.45,33.69,29.77,31.32,31.26,34.07
81021,Trapani,,7,810210000007,1,Residenziale,1,Tessuto urbano continuo,24,1426.6,False,30.79,31.5,31.5,32.21,30.18,30.83,30.83,31.47,30.32,31.17,31.17,32.01,32.18,33.38,33.38,34.58,31.05,31.75,31.75,32.46,29.61,30.08,30.08,30.55,29.98,30.7,30.7,31.42,27.43,29.04,29.04,30.66
81021,Trapani,,8,810210000008,1,Residenziale,1,Tessuto urbano continuo,2,778.7,False,30.75,30.75,30.75,30.75,32.21,32.21,32.21,32.21,31.05,31.05,31.05,31.05,32.81,32.81,32.81,32.81,31.61,31.61,31.61,31.61,29.42,29.42,29.42,29.42,30.38,30.38,30.38,30.38,,,,
81021,Trapani,,9,810210000009,1,Residenziale,1,Tessuto urbano continuo,0,149.7,False,33.23,33.23,33.23,33.23,33.59,33.59,33.59,33.59,32.37,32.37,32.37,32.37,33.62,33.62,33.62,33.62,32.57,32.57,32.57,32.57,32.22,32.22,32.22,32.22,32.71,32.71,32.71,32.71,31.44,31.44,31.44,31.44
81021,Trapani,,10,810210000010,1,Residenziale,1,Tessuto urbano continuo,2,287.5,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81021,Trapani,,11,810210000011,1,Residenziale,1,Tessuto urbano continuo,16,2220.5,False,33.7,34.4,34.46,34.99,34.73,35.74,35.89,36.43,33.36,34.22,34.31,34.89,35.69,36.85,37.0,37.69,32.9,33.8,33.89,34.53,32.09,32.98,33.07,33.67,33.14,34.0,34.14,34.59,33.33,34.79,34.98,35.89
81021,Trapani,,12,810210000012,1,Residenziale,1,Tessuto urbano continuo,0,1019.3,False,34.21,34.21,34.21,34.21,34.7,34.7,34.7,34.7,33.08,33.08,33.08,33.08,34.21,34.21,34.21,34.21,32.95,32.95,32.95,32.95,32.66,32.66,32.66,32.66,33.46,33.46,33.46,33.46,33.22,33.22,33.22,33.22
