PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
22205,Trento,,1,222050000001,2,Culto,5,Edifici pubblici e servizi,0,,True,41.91,42.24,42.31,42.69,43.24,43.34,43.36,43.4,39.93,40.26,40.24,40.48,44.26,44.64,44.58,45.15,43.11,43.4,43.45,43.64,41.8,42.02,41.99,42.26,37.74,38.07,38.02,38.29,47.67,47.85,47.79,48.27
22205,Trento,,2,222050000002,1,Residenziale,1,Tessuto urbano continuo,139,,True,42.61,43.2,43.26,43.41,43.48,43.94,43.96,44.14,40.85,41.12,41.15,41.28,45.29,45.77,45.79,45.9,43.85,43.99,44.0,44.15,42.63,43.54,43.52,44.23,39.77,40.05,40.09,40.15,48.46,48.93,48.96,49.12
22205,Trento,,3,222050000003,1,Residenziale,1,Tessuto urbano continuo,81,,True,43.17,43.31,43.29,43.44,44.23,44.29,44.26,44.39,41.11,41.22,41.25,41.35,45.88,45.93,45.92,46.01,43.83,43.86,43.87,43.9,42.96,43.04,43.05,43.09,40.18,40.39,40.21,41.7,48.79,48.87,48.9,48.91
22205,Trento,,4,222050000004,1,Residenziale,1,Tessuto urbano continuo,37,,True,43.42,43.47,43.44,43.59,44.46,44.54,44.51,44.68,41.06,41.08,41.07,41.12,45.9,46.03,46.01,46.2,43.77,43.8,43.79,43.84,42.85,42.95,42.92,43.1,40.56,41.47,41.75,41.79,48.93,49.0,48.97,49.13
22205,Trento,,5,222050000005,1,Residenziale,1,Tessuto urbano continuo,65,,True,43.09,43.13,43.11,43.21,43.98,44.11,44.09,44.29,40.95,41.0,40.99,41.05,45.85,45.95,45.95,46.05,43.88,43.89,43.89,43.9,42.97,42.97,42.97,42.97,40.04,40.51,40.15,41.72,48.68,48.72,48.72,48.77
22205,Trento,,6,222050000006,1,Residenziale,1,Tessuto urbano continuo,84,,True,42.77,43.12,43.09,43.63,43.53,44.01,44.04,44.67,40.68,40.99,41.01,41.17,45.3,45.97,46.0,46.42,43.54,43.76,43.77,43.94,42.54,42.85,42.87,43.15,38.34,40.51,40.54,41.98,48.47,48.8,48.7,49.23
22205,Trento,,7,222050000007,1,Residenziale,1,Tessuto urbano continuo,4,,True,42.52,42.76,42.81,42.84,43.27,43.51,43.52,43.66,40.41,40.65,40.67,40.84,44.84,45.46,45.57,45.81,43.02,43.16,43.19,43.3,42.13,42.41,42.45,42.59,38.11,38.42,38.46,38.67,48.14,48.37,48.41,48.49
22205,Trento,,8,222050000008,1,Residenziale,1,Tessuto urbano continuo,119,,True,42.51,42.85,42.89,43.06,43.4,43.63,43.65,43.78,40.63,40.95,41.01,41.17,44.99,45.13,45.13,45.27,43.82,44.06,44.04,44.2,42.51,42.76,42.81,42.89,39.64,40.48,40.39,41.24,47.91,48.32,48.41,48.48
22205,Trento,,9,222050000009,37,Scuole/istituti,5,Edifici pubblici e servizi,0,,True,42.29,42.75,42.7,43.26,43.27,43.8,43.83,44.11,40.72,41.0,41.02,41.35,45.21,45.31,45.31,45.4,43.5,44.0,44.14,44.32,42.66,42.95,42.88,43.32,40.74,41.25,41.28,41.56,47.53,48.0,47.98,48.64
22205,Trento,,10,222050000010,1,Residenziale,1,Tessuto urbano continuo,88,,True,42.61,42.72,42.72,42.84,43.36,43.52,43.51,43.73,40.95,41.23,41.29,41.37,45.26,45.4,45.41,45.53,43.7,44.04,44.1,44.25,42.87,43.31,43.49,43.58,39.99,40.22,40.14,40.64,48.11,48.34,48.37,48.46
