PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
26086,Treviso,,1,260860000001,1,Residenziale,1,Tessuto urbano continuo,25,1066.1,False,37.7,37.93,37.99,38.12,43.27,43.42,43.49,43.51,40.06,40.54,40.76,40.8,46.42,46.6,46.69,46.7,42.01,42.12,42.15,42.21,44.15,44.24,44.26,44.31,42.48,42.67,42.74,42.79,48.61,48.82,48.89,48.95
26086,Treviso,,2,260860000002,1,Residenziale,1,Tessuto urbano continuo,63,6860.2,True,38.18,38.34,38.35,38.55,43.36,43.61,43.68,43.77,38.79,40.7,41.02,41.29,46.9,47.53,47.69,47.95,42.35,42.45,42.43,42.54,44.4,44.49,44.5,44.6,42.86,43.05,43.0,43.23,49.16,49.25,49.21,49.39
26086,Treviso,,3,260860000003,1,Residenziale,1,Tessuto urbano continuo,61,3814.7,False,37.88,38.13,38.11,38.34,43.19,43.38,43.36,43.55,37.29,38.24,38.59,38.74,46.56,46.73,46.74,46.89,41.9,42.04,42.01,42.16,43.91,44.06,44.07,44.23,42.37,42.54,42.53,42.73,48.41,48.64,48.62,48.87
26086,Treviso,,4,260860000004,1,Residenziale,1,Tessuto urbano continuo,40,4000.3,False,37.25,37.31,37.31,37.45,42.85,42.92,42.93,43.01,37.04,37.6,37.19,39.31,45.24,45.86,45.96,46.43,41.3,41.63,41.72,41.77,43.59,43.78,43.77,43.95,42.05,42.16,42.17,42.24,48.2,48.29,48.26,48.42
26086,Treviso,,5,260860000005,1,Residenziale,1,Tessuto urbano continuo,67,4426.6,False,37.25,37.54,37.49,38.05,42.94,43.25,43.29,43.65,40.29,40.58,40.6,40.86,45.93,46.87,46.94,47.34,41.74,42.14,42.11,42.52,44.04,44.29,44.38,44.41,42.18,42.37,42.43,42.53,48.39,48.69,48.77,48.82
26086,Treviso,,6,260860000006,1,Residenziale,1,Tessuto urbano continuo,55,9491.1,True,37.57,37.94,37.98,38.34,40.11,41.19,40.96,42.36,37.24,39.32,39.66,40.67,45.62,46.6,46.86,47.25,40.64,41.4,41.43,41.99,43.01,43.65,43.7,44.06,41.61,42.23,42.27,42.62,47.7,48.24,48.2,48.8
26086,Treviso,,7,260860000007,1,Residenziale,1,Tessuto urbano continuo,32,4221.9,False,38.04,38.4,38.43,38.65,40.55,40.99,41.01,41.37,40.49,40.85,40.94,41.21,46.42,46.93,46.94,47.36,41.03,41.48,41.52,41.84,43.33,43.75,43.8,44.06,41.92,42.47,42.53,42.87,48.09,48.52,48.54,48.92
26086,Treviso,,8,260860000008,1,Residenziale,1,Tessuto urbano continuo,42,2980.5,False,38.16,38.43,38.51,38.63,41.44,41.99,41.76,42.6,39.57,40.19,40.23,40.78,46.34,47.07,47.33,47.72,41.91,42.08,42.02,42.25,44.07,44.19,44.12,44.38,42.79,42.84,42.81,42.99,48.83,48.99,48.91,49.23
26086,Treviso,,9,260860000009,1,Residenziale,1,Tessuto urbano continuo,16,1222.5,False,38.63,38.66,38.66,38.69,42.45,42.73,42.73,43.02,40.55,40.58,40.58,40.61,47.72,47.85,47.85,47.97,42.25,42.31,42.31,42.37,44.38,44.45,44.45,44.53,42.99,43.07,43.07,43.14,49.23,49.31,49.31,49.4
26086,Treviso,,10,260860000010,1,Residenziale,1,Tessuto urbano continuo,24,2052.4,False,38.55,38.58,38.58,38.63,42.48,42.8,42.86,43.01,41.21,41.44,41.51,41.52,47.98,48.04,48.05,48.08,42.33,42.44,42.44,42.54,44.48,44.53,44.53,44.55,43.23,43.31,43.32,43.36,49.43,49.48,49.48,49.5
