PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
32006,Trieste,,1,320060000001,1,Residenziale,1,Tessuto urbano continuo,31,71028.5,True,31.76,35.99,36.03,39.88,26.73,29.86,29.96,32.63,25.82,28.19,28.19,30.75,30.3,33.94,33.99,37.45,27.68,30.29,30.23,34.09,29.34,32.11,31.95,35.99,27.53,31.69,31.76,35.4,32.05,35.75,35.81,39.83
32006,Trieste,,2,320060000002,22,Bosco/copertura forestale,8,Vegetazione naturale,0,41235.9,True,20.78,32.05,34.72,36.97,26.52,29.31,29.55,31.01,25.43,27.3,27.47,28.43,30.14,33.26,33.65,34.84,27.15,29.53,29.72,31.15,28.95,30.97,30.87,32.72,27.0,30.32,30.57,32.49,31.55,34.47,34.74,35.88
32006,Trieste,,3,320060000003,1,Residenziale,1,Tessuto urbano continuo,7,21271.7,True,21.02,31.51,34.49,37.56,26.9,29.79,30.04,31.34,25.65,27.53,27.66,28.78,30.36,33.53,33.63,35.17,27.69,29.88,30.07,31.2,29.95,31.4,31.2,33.14,27.85,31.13,31.32,33.12,31.95,34.94,35.11,36.48
32006,Trieste,,4,320060000004,1,Residenziale,1,Tessuto urbano continuo,3,42437.3,True,20.02,30.26,33.51,37.37,26.76,29.82,30.0,31.66,25.6,27.68,27.74,29.22,30.67,33.69,33.92,36.18,27.88,30.02,30.04,31.78,29.58,31.61,31.43,33.89,27.64,31.02,31.08,33.24,32.41,35.14,35.34,37.22
32006,Trieste,,5,320060000005,1,Residenziale,1,Tessuto urbano continuo,22,57123.0,True,20.95,32.77,34.61,37.98,26.73,29.54,29.67,31.87,25.57,27.57,27.63,29.34,30.52,33.39,33.55,36.38,27.53,29.9,30.07,32.02,29.27,31.56,31.31,34.5,27.9,31.49,31.66,34.23,32.34,35.25,35.27,38.47
32006,Trieste,,6,320060000006,22,Bosco/copertura forestale,8,Vegetazione naturale,5,67006.2,True,21.04,32.92,34.25,38.89,26.75,29.86,29.77,32.96,25.28,27.3,27.36,29.6,30.16,32.89,33.07,35.4,27.33,29.66,29.76,31.93,27.83,30.74,30.65,33.35,27.25,30.88,31.16,34.24,32.12,34.7,34.73,37.67
32006,Trieste,,7,320060000007,1,Residenziale,1,Tessuto urbano continuo,23,107800.3,True,21.75,36.76,37.67,40.1,28.06,31.86,32.14,34.14,26.36,28.97,29.24,30.85,31.09,34.92,35.29,37.41,28.23,31.23,31.49,32.96,29.28,32.16,32.31,33.45,28.44,33.26,33.79,35.55,33.27,36.68,37.06,38.73
32006,Trieste,,8,320060000008,22,Bosco/copertura forestale,8,Vegetazione naturale,0,126718.9,True,23.16,36.04,38.52,39.73,30.8,32.68,33.02,33.78,28.11,29.21,29.28,30.85,34.65,35.52,35.6,37.1,31.03,31.82,31.83,32.89,32.22,33.19,33.14,34.36,32.67,34.32,34.26,35.75,36.39,37.59,37.66,38.89
32006,Trieste,,9,320060000009,1,Residenziale,1,Tessuto urbano continuo,408,145108.8,True,23.41,38.95,40.23,42.97,30.37,32.53,32.43,34.81,27.83,30.81,30.87,33.98,34.47,37.99,37.55,44.02,31.07,34.1,33.94,39.35,33.69,37.03,36.75,44.04,32.76,36.18,36.06,41.42,37.02,41.79,41.44,50.69
32006,Trieste,,10,320060000010,22,Bosco/copertura forestale,8,Vegetazione naturale,2,856116.4,True,22.58,33.34,36.15,40.42,29.8,31.06,30.91,33.73,26.73,27.79,27.69,30.56,32.24,33.8,33.75,37.42,29.04,30.42,30.35,33.56,28.65,32.83,32.86,36.37,30.38,32.67,32.66,35.5,35.07,36.55,36.42,41.23
32006,Trieste,,11,320060000011,1,Residenziale,1,Tessuto urbano continuo,390,77278.4,True,27.06,41.1,42.71,44.73,32.42,34.04,33.91,35.16,30.76,32.77,32.91,33.6,37.66,40.44,40.58,42.58,33.94,36.94,36.98,38.38,36.32,39.01,39.06,43.14,35.82,38.69,38.86,40.36,41.86,45.24,45.09,48.0
32006,Trieste,,12,320060000012,1,Residenziale,1,Tessuto urbano continuo,16,8905.8,True,40.51,41.68,41.7,42.51,31.91,32.96,33.08,33.45,30.18,31.74,31.84,32.56,38.49,39.53,39.58,40.12,33.94,35.36,35.6,36.19,36.82,37.76,37.82,38.32,36.94,38.0,38.06,38.52,42.34,43.85,44.15,44.51
32006,Trieste,,13,320060000013,1,Residenziale,1,Tessuto urbano continuo,283,67679.3,True,24.83,40.64,42.01,44.64,32.11,33.49,33.51,35.13,29.86,32.23,32.3,33.68,37.06,39.56,39.55,41.36,32.97,35.84,36.05,38.01,35.98,38.22,38.23,39.81,36.05,37.96,38.03,39.38,40.33,43.84,44.07,46.63
32006,Trieste,,14,320060000014,1,Residenziale,1,Tessuto urbano continuo,126,110157.5,True,23.13,34.82,39.26,42.04,29.63,31.99,32.12,33.35,27.98,30.08,30.15,32.48,34.28,37.55,37.95,39.58,30.84,33.49,33.77,36.3,33.74,36.52,36.77,38.41,33.64,36.19,36.49,37.98,36.57,40.79,41.15,44.29
32006,Trieste,,15,320060000015,22,Bosco/copertura forestale,8,Vegetazione naturale,20,1713754.1,True,19.53,33.21,34.92,39.23,27.58,29.22,29.05,32.37,26.09,27.41,27.2,29.78,31.36,33.41,33.13,37.59,27.96,29.41,29.23,33.3,30.85,32.72,32.54,36.76,30.01,32.45,32.26,36.21,33.35,35.83,35.67,41.01
32006,Trieste,,16,320060000016,22,Bosco/copertura forestale,8,Vegetazione naturale,0,239537.8,True,19.89,28.52,34.03,37.86,29.0,30.54,30.56,32.85,26.72,28.46,28.39,31.23,31.78,33.98,33.81,36.99,27.78,29.15,28.84,32.15,29.32,31.71,31.27,35.74,29.38,31.93,31.89,34.74,33.14,35.47,35.27,39.08
32006,Trieste,,17,320060000017,1,Residenziale,1,Tessuto urbano continuo,184,143387.6,True,21.22,36.58,38.26,41.51,30.92,32.56,32.34,34.33,28.1,30.17,29.91,32.3,34.56,36.89,36.79,39.41,30.02,33.24,33.03,36.54,31.3,33.62,33.56,35.55,32.91,35.92,35.87,38.43,37.37,40.99,40.77,44.66
32006,Trieste,,18,320060000018,22,Bosco/copertura forestale,8,Vegetazione naturale,17,1314937.4,True,19.98,33.39,35.04,41.55,27.92,29.75,29.8,32.98,26.47,28.0,27.87,32.24,31.67,33.83,33.55,39.76,27.77,29.69,29.27,34.95,29.76,32.28,31.93,36.62,29.87,32.66,32.37,38.83,33.44,36.95,36.41,45.36
32006,Trieste,,19,320060000019,25,Struttura ricettiva,5,Edifici pubblici e servizi,21,31232.4,True,23.85,40.58,41.38,42.15,30.27,32.13,32.42,32.91,28.94,31.61,32.14,32.68,35.86,38.83,39.29,39.9,31.85,34.59,34.95,35.63,33.32,35.81,36.2,36.76,34.73,37.43,37.69,38.65,39.94,43.69,44.18,45.55
32006,Trieste,,20,320060000020,1,Residenziale,1,Tessuto urbano continuo,199,69313.9,True,23.29,40.21,40.76,42.95,32.06,33.77,33.88,35.19,29.73,32.08,32.21,33.76,36.78,38.52,38.64,39.79,33.37,35.72,35.64,38.04,32.98,35.01,34.9,37.3,34.83,37.06,37.36,39.16,41.9,43.58,43.85,44.83
32006,Trieste,,21,320060000021,26,Area agricola,9,Colture agricole,3,137225.3,True,37.03,38.56,38.42,40.75,30.97,32.04,31.97,33.85,28.85,30.07,29.74,33.06,35.55,37.49,37.23,41.24,31.46,32.73,32.71,34.43,32.13,33.45,32.97,36.72,32.95,35.35,35.23,38.51,39.12,42.01,41.61,47.16
32006,Trieste,,22,320060000022,1,Residenziale,1,Tessuto urbano continuo,111,39252.2,True,40.61,41.81,41.86,42.81,33.68,34.53,34.47,35.24,31.16,32.44,32.39,33.64,38.32,39.39,39.23,40.44,35.0,36.69,36.8,37.93,34.72,35.8,35.51,37.46,37.43,38.33,38.36,39.26,43.89,44.63,44.65,45.22
32006,Trieste,,23,320060000023,1,Residenziale,1,Tessuto urbano continuo,541,116109.8,True,21.9,38.9,39.19,41.31,31.5,32.84,32.77,34.39,28.52,30.43,30.39,32.73,35.15,37.2,37.11,39.97,31.52,33.99,33.94,36.88,30.19,33.24,33.33,35.5,33.16,36.31,36.29,38.54,39.17,42.16,42.02,44.98
32006,Trieste,,24,320060000024,22,Bosco/copertura forestale,8,Vegetazione naturale,0,194651.3,True,19.99,35.6,36.25,38.74,30.38,31.3,31.28,32.74,27.83,28.75,28.66,30.34,33.37,35.13,35.0,37.75,29.82,31.4,31.4,33.61,29.52,30.59,30.41,33.33,31.77,34.08,34.05,36.32,37.17,38.91,38.85,41.62
32006,Trieste,,25,320060000025,1,Residenziale,1,Tessuto urbano continuo,182,81865.6,True,23.43,40.13,40.33,41.9,32.75,33.6,33.58,34.76,30.27,31.34,31.3,32.75,36.48,38.17,38.19,39.28,33.7,35.15,35.23,36.78,32.54,34.29,34.34,36.17,35.97,37.68,37.77,38.53,41.4,43.39,43.55,44.64
32006,Trieste,,26,320060000026,1,Residenziale,1,Tessuto urbano continuo,153,67050.8,True,24.61,39.6,40.99,41.94,32.81,34.1,34.18,35.04,30.46,31.95,31.87,33.06,36.74,38.71,38.78,40.15,33.21,35.8,36.01,37.06,33.02,35.16,35.37,36.35,35.97,38.07,38.11,39.5,40.62,43.72,43.96,45.21
32006,Trieste,,27,320060000027,1,Residenziale,1,Tessuto urbano continuo,179,47021.9,True,22.49,35.64,38.29,41.36,30.84,33.41,33.66,34.95,28.15,30.85,31.1,32.11,34.88,37.47,37.68,38.71,30.89,33.81,33.92,36.36,31.18,33.73,33.85,35.66,32.29,36.14,36.16,38.26,37.83,41.28,41.1,44.55
32006,Trieste,,28,320060000028,22,Bosco/copertura forestale,8,Vegetazione naturale,4,262516.9,True,19.87,23.69,21.36,37.7,29.78,31.48,31.52,33.66,27.18,28.88,28.91,30.99,31.92,34.66,34.61,37.93,27.92,29.48,29.26,33.11,28.61,30.67,30.69,33.34,29.37,32.79,32.68,36.35,33.33,35.89,35.65,40.37
32006,Trieste,,29,320060000029,1,Residenziale,1,Tessuto urbano continuo,54,18717.0,True,34.76,36.2,36.34,37.26,30.75,31.7,31.86,32.12,28.29,29.29,29.37,29.72,34.49,36.03,36.28,36.66,30.03,31.74,31.87,32.92,31.02,31.83,31.92,32.38,33.2,34.49,34.58,35.63,37.41,38.77,38.9,39.53
32006,Trieste,,30,320060000030,1,Residenziale,1,Tessuto urbano continuo,241,145283.2,True,21.19,33.93,37.68,40.4,31.23,32.82,32.98,34.44,28.13,29.81,30.16,31.57,32.97,35.79,36.24,38.33,28.64,31.8,31.89,35.35,29.31,32.22,32.55,35.71,31.75,34.86,35.15,37.6,35.12,38.95,38.97,43.79
32006,Trieste,,31,320060000031,22,Bosco/copertura forestale,8,Vegetazione naturale,8,2407312.8,True,19.88,33.13,35.08,41.46,29.48,30.98,30.75,35.2,25.66,27.63,27.37,33.22,30.09,33.07,32.76,41.58,27.5,29.68,29.38,35.56,28.14,31.42,31.42,38.29,29.47,32.68,32.42,39.8,32.24,37.42,36.86,49.32
32006,Trieste,,32,320060000032,1,Residenziale,1,Tessuto urbano continuo,29,23457.0,True,20.89,32.26,36.38,38.45,30.85,32.35,32.42,33.52,26.85,28.34,28.5,29.72,32.3,33.86,34.01,35.22,28.33,30.13,30.3,31.34,30.07,32.32,32.48,34.26,30.79,32.66,32.84,34.3,32.87,35.58,36.12,37.02
