PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
12133,Varese,,6,121330000006,22,Bosco/copertura forestale,8,Vegetazione naturale,8,,True,19.01,21.83,21.98,23.96,22.14,24.36,24.2,27.0,18.08,22.5,22.99,25.38,24.85,28.1,28.08,31.26,26.21,28.48,28.22,31.49,23.62,25.67,25.48,28.85,22.3,24.33,24.02,26.98,26.44,29.85,30.35,33.37
12133,Varese,,7,121330000007,22,Bosco/copertura forestale,8,Vegetazione naturale,19,,True,19.73,22.02,22.19,23.46,22.89,25.51,25.48,27.06,20.0,23.7,23.82,25.48,26.72,29.54,29.65,31.36,27.11,29.6,29.66,31.61,23.87,25.97,26.1,28.0,23.44,25.39,25.39,26.98,27.44,30.71,30.75,33.33
12133,Varese,,19,121330000019,1,Residenziale,1,Tessuto urbano continuo,69,,True,19.15,23.0,22.78,25.25,23.88,27.75,28.13,30.83,21.34,25.93,26.39,29.12,28.04,31.99,32.44,35.84,28.76,32.49,32.8,36.78,25.06,27.01,26.85,29.43,22.88,26.31,26.66,29.71,28.71,32.08,32.24,35.53
12133,Varese,,20,121330000020,1,Residenziale,1,Tessuto urbano continuo,17,,True,18.23,19.94,19.89,21.46,24.42,25.86,25.97,27.14,23.53,24.44,24.31,25.83,29.67,30.86,30.62,32.7,29.47,30.55,30.36,32.42,25.08,25.98,25.75,27.81,24.33,25.98,25.91,27.91,28.73,29.95,29.88,31.62
12133,Varese,,21,121330000021,1,Residenziale,1,Tessuto urbano continuo,15,,True,18.97,21.2,20.62,24.13,25.21,26.31,26.12,27.62,23.9,24.67,24.42,25.93,29.82,30.82,30.59,32.33,29.86,30.73,30.53,32.09,24.5,26.48,26.57,27.56,24.28,24.95,24.89,25.89,29.21,30.13,29.98,31.39
12133,Varese,,22,121330000022,1,Residenziale,1,Tessuto urbano continuo,27,,True,18.06,21.61,21.43,25.94,24.59,27.26,27.37,29.61,23.51,25.53,25.69,27.04,29.64,33.07,33.27,36.01,29.71,32.98,32.99,36.27,24.5,28.22,28.27,31.27,25.78,28.01,27.83,30.62,28.67,31.89,31.9,35.46
12133,Varese,,23,121330000023,1,Residenziale,1,Tessuto urbano continuo,21,,True,20.14,22.18,22.01,25.5,26.46,28.1,28.26,29.87,24.91,26.43,26.63,27.57,31.42,33.88,34.07,36.24,31.17,33.8,33.91,36.25,27.12,28.91,28.94,30.84,25.54,28.4,28.59,30.47,30.71,32.82,32.93,35.09
12133,Varese,,24,121330000024,1,Residenziale,1,Tessuto urbano continuo,4,,True,24.98,25.21,25.18,25.37,29.81,29.98,29.96,30.27,27.29,27.41,27.38,27.57,36.3,36.57,36.58,37.0,36.43,36.69,36.71,37.1,31.21,31.35,31.35,31.52,30.71,30.84,30.85,31.05,35.49,35.69,35.71,35.92
12133,Varese,,25,121330000025,1,Residenziale,1,Tessuto urbano continuo,5,,True,20.33,24.08,25.12,26.09,26.65,28.69,28.81,30.29,23.33,25.65,25.77,27.44,32.01,34.69,34.68,37.08,32.04,34.88,34.96,37.14,27.76,30.24,30.39,31.92,27.23,29.52,29.65,31.28,31.05,34.05,34.17,36.24
12133,Varese,,26,121330000026,1,Residenziale,1,Tessuto urbano continuo,9,,True,24.99,25.27,25.24,25.62,28.44,29.41,29.0,30.32,25.38,26.39,26.0,27.35,34.4,35.81,35.3,37.08,34.64,35.88,35.44,37.05,30.19,31.06,30.76,31.92,29.25,30.26,29.88,31.24,34.08,35.27,34.9,36.24
