PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
103072,Verbania,Piemonte,1,1030720000001,1,Residenziale,1,Tessuto urbano continuo,51,4812.6,False,36.63,36.78,36.73,36.98,36.84,37.51,37.6,37.77,34.27,35.1,35.22,35.49,42.14,42.78,42.88,43.17,41.89,42.99,43.11,43.57,37.13,38.17,38.26,38.85,38.89,39.6,39.65,40.2,41.96,43.24,43.38,43.91
103072,Verbania,Piemonte,2,1030720000002,1,Residenziale,1,Tessuto urbano continuo,63,4309.4,False,37.45,37.7,37.71,37.85,38.16,38.42,38.45,38.66,36.01,36.52,36.61,36.77,44.09,44.31,44.31,44.52,43.9,44.28,44.31,44.54,39.17,39.61,39.62,39.95,40.59,40.9,40.91,41.16,44.1,44.5,44.54,44.88
103072,Verbania,Piemonte,3,1030720000003,1,Residenziale,1,Tessuto urbano continuo,135,14572.6,True,35.25,36.51,36.39,37.81,35.47,37.18,37.01,38.66,32.46,34.66,34.26,36.69,40.57,42.46,42.14,44.2,40.17,42.47,42.26,44.35,35.88,37.72,37.32,39.61,37.44,39.03,38.69,40.87,39.87,42.46,42.26,44.5
103072,Verbania,Piemonte,4,1030720000004,1,Residenziale,1,Tessuto urbano continuo,69,7091.9,True,34.27,35.46,35.59,36.48,35.01,36.32,36.51,37.25,32.34,33.91,34.06,35.01,39.96,41.54,41.63,43.03,40.29,41.77,41.91,42.95,35.65,36.97,37.09,37.96,37.44,38.55,38.54,39.53,40.04,41.51,41.66,42.63
103072,Verbania,Piemonte,5,1030720000005,1,Residenziale,1,Tessuto urbano continuo,31,6126.2,True,28.39,31.94,32.77,35.35,31.96,33.46,32.99,35.65,28.89,30.47,30.02,32.6,37.15,38.75,38.41,40.86,36.71,38.5,38.0,40.82,32.24,33.9,33.41,35.98,34.49,36.02,35.67,37.8,35.77,37.86,37.29,40.4
103072,Verbania,Piemonte,6,1030720000006,1,Residenziale,1,Tessuto urbano continuo,138,42843.5,True,27.9,31.5,32.14,36.7,32.06,34.16,33.9,37.45,29.88,31.93,31.58,35.11,37.26,39.2,38.81,43.27,37.05,39.27,38.85,43.18,32.32,34.57,34.12,38.24,33.91,36.31,35.97,39.98,36.48,38.99,38.56,43.07
103072,Verbania,Piemonte,7,1030720000007,1,Residenziale,1,Tessuto urbano continuo,76,67551.4,True,25.34,29.05,29.19,31.19,28.76,32.66,32.79,34.47,25.62,30.45,30.87,32.55,31.34,37.25,37.62,39.12,31.51,36.99,37.33,38.99,28.88,32.63,32.75,34.37,29.41,34.33,34.57,35.92,30.82,36.45,36.84,38.66
103072,Verbania,Piemonte,8,1030720000008,1,Residenziale,1,Tessuto urbano continuo,63,146177.8,True,24.8,27.93,27.77,32.03,27.11,30.77,30.97,34.21,23.86,27.89,28.0,31.72,29.48,34.6,34.88,38.93,29.23,34.52,34.8,38.53,26.77,30.68,30.66,33.65,27.62,31.94,32.08,35.51,28.05,33.59,33.73,38.2
103072,Verbania,Piemonte,9,1030720000009,1,Residenziale,1,Tessuto urbano continuo,90,46745.9,True,30.66,32.75,32.73,35.49,31.71,33.72,33.54,36.19,30.24,32.29,32.33,34.4,36.46,39.28,39.32,42.1,36.52,39.0,38.83,42.08,31.87,34.41,34.35,37.46,33.52,35.79,35.71,38.77,36.25,39.25,39.19,42.68
103072,Verbania,Piemonte,10,1030720000010,1,Residenziale,1,Tessuto urbano continuo,34,104525.7,True,26.21,29.51,29.65,32.0,29.64,31.6,31.49,33.15,25.93,29.14,29.25,31.29,32.9,35.81,35.66,38.19,32.61,35.49,35.36,37.96,28.51,31.54,31.61,33.14,30.49,32.75,32.69,34.61,31.56,35.19,35.29,38.42
103072,Verbania,Piemonte,11,1030720000011,37,Scuole/istituti,5,Edifici pubblici e servizi,0,12017.2,True,36.28,37.1,37.06,37.72,37.3,37.99,37.92,38.48,35.05,35.87,35.89,36.44,42.79,43.8,43.61,44.54,43.16,43.93,44.06,44.38,38.44,39.35,39.62,39.77,39.9,40.59,40.66,41.07,43.65,44.61,44.84,44.99
103072,Verbania,Piemonte,12,1030720000012,1,Residenziale,1,Tessuto urbano continuo,103,5207.7,True,33.39,35.41,35.42,37.32,37.98,38.12,38.12,38.27,35.48,35.94,35.94,36.29,43.66,43.92,43.95,44.19,43.76,44.04,44.16,44.2,39.23,39.46,39.57,39.6,38.63,39.21,39.39,39.73,44.47,44.6,44.63,44.77
103072,Verbania,Piemonte,13,1030720000013,1,Residenziale,1,Tessuto urbano continuo,159,14428.7,True,34.99,36.18,36.04,37.25,35.66,37.08,37.01,38.22,34.02,35.18,35.02,36.37,41.67,42.91,42.8,44.16,41.66,43.09,43.11,44.19,36.77,38.6,38.67,39.79,38.36,39.54,39.55,40.74,42.0,43.71,43.74,45.11
103072,Verbania,Piemonte,14,1030720000014,1,Residenziale,1,Tessuto urbano continuo,57,10540.7,True,33.44,34.34,34.23,35.3,34.78,35.48,35.36,36.19,33.13,33.83,33.72,34.41,40.33,41.28,41.22,42.07,40.26,41.05,40.93,41.94,35.65,36.53,36.45,37.4,36.68,37.76,37.72,38.68,40.82,41.69,41.53,42.6
103072,Verbania,Piemonte,15,1030720000015,1,Residenziale,1,Tessuto urbano continuo,138,25093.1,True,33.66,35.44,35.58,36.46,35.11,36.51,36.66,37.53,33.04,34.63,34.78,35.52,40.83,42.55,42.69,43.57,40.51,42.2,42.39,43.4,36.06,37.57,37.65,39.06,36.25,38.22,38.43,39.72,41.23,42.65,42.68,43.68
