PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
24116,Vicenza,,1,241160000001,1,Residenziale,1,Tessuto urbano continuo,5,,True,40.81,41.32,41.41,41.55,45.07,45.44,45.51,45.64,40.25,41.0,41.01,41.51,47.04,47.38,47.41,47.61,41.13,41.89,42.04,42.5,44.2,44.67,44.75,44.92,40.76,41.14,41.22,41.38,48.15,48.55,48.63,48.71
24116,Vicenza,,2,241160000002,1,Residenziale,1,Tessuto urbano continuo,23,,True,40.73,41.09,40.92,41.45,44.98,45.22,45.04,45.48,40.89,41.14,41.17,41.29,46.87,47.13,46.97,47.42,42.11,42.41,42.22,42.71,44.25,44.5,44.35,44.84,40.8,40.97,40.87,41.21,48.19,48.41,48.27,48.7
24116,Vicenza,,3,241160000003,1,Residenziale,1,Tessuto urbano continuo,23,,True,40.65,40.78,40.84,40.84,44.94,45.01,45.05,45.05,40.92,41.02,40.92,41.21,46.89,46.94,46.96,46.96,42.11,42.21,42.26,42.26,44.42,44.43,44.43,44.43,40.81,40.89,40.94,40.94,48.25,48.31,48.35,48.35
24116,Vicenza,,4,241160000004,1,Residenziale,1,Tessuto urbano continuo,10,,True,41.04,41.04,41.04,41.04,45.12,45.12,45.12,45.12,40.71,40.71,40.71,40.71,47.01,47.01,47.01,47.01,42.38,42.38,42.38,42.38,44.5,44.5,44.5,44.5,41.01,41.01,41.01,41.01,48.42,48.42,48.42,48.42
24116,Vicenza,,5,241160000005,1,Residenziale,1,Tessuto urbano continuo,128,,True,40.66,40.95,40.95,41.24,44.86,45.04,45.02,45.25,40.27,40.51,40.46,40.93,46.89,47.08,47.02,47.41,40.41,41.11,41.01,41.82,44.21,44.53,44.53,44.86,40.68,41.03,41.01,41.42,48.16,48.45,48.42,48.82
24116,Vicenza,,6,241160000006,1,Residenziale,1,Tessuto urbano continuo,71,,True,40.81,41.06,41.03,41.27,44.69,44.99,45.02,45.22,40.19,40.46,40.44,40.86,46.96,47.25,47.33,47.44,39.63,40.09,40.16,40.66,44.42,44.63,44.59,44.83,40.6,41.1,41.09,41.44,48.1,48.5,48.48,48.82
24116,Vicenza,,7,241160000007,2,Culto,5,Edifici pubblici e servizi,0,,True,40.18,40.75,40.83,41.16,44.85,45.04,45.05,45.18,39.95,40.37,40.36,40.87,46.82,47.11,47.17,47.35,39.88,40.4,40.56,41.05,44.06,44.53,44.61,44.83,40.95,41.26,41.35,41.42,48.16,48.52,48.62,48.76
24116,Vicenza,,8,241160000008,1,Residenziale,1,Tessuto urbano continuo,71,,True,39.74,40.33,40.37,40.94,44.27,44.59,44.55,45.04,37.94,38.85,38.72,39.94,46.1,46.57,46.51,47.12,39.01,39.58,39.5,40.71,43.61,44.2,44.27,44.71,40.48,40.89,40.94,41.31,47.19,47.81,47.78,48.57
24116,Vicenza,,9,241160000009,31,Museo,5,Edifici pubblici e servizi,0,,True,40.79,41.31,41.4,41.52,44.88,45.27,45.33,45.42,39.2,39.52,39.36,40.24,46.86,47.18,47.2,47.34,39.86,40.78,40.69,41.89,44.68,44.92,44.95,45.01,41.18,41.39,41.4,41.53,48.26,48.55,48.6,48.73
24116,Vicenza,,10,241160000010,1,Residenziale,1,Tessuto urbano continuo,52,,True,40.62,40.95,40.96,41.27,44.71,45.0,45.02,45.26,37.92,38.31,38.31,38.69,47.09,47.21,47.22,47.33,39.81,40.15,40.16,40.5,44.34,44.54,44.54,44.74,40.97,41.18,41.2,41.37,47.93,48.2,48.22,48.42
