PRO_COM,comune,regione,SEZ21,SEZ21_ID,COD_TIPO_S,tipo_descrizione,id_macro,nome_macro,POP21,SHAPE_AREA,usato_analisi,min_2019,media_2019,mediana_2019,max_2019,min_2020,media_2020,mediana_2020,max_2020,min_2021,media_2021,mediana_2021,max_2021,min_2022,media_2022,mediana_2022,max_2022,min_2023,media_2023,mediana_2023,max_2023,min_2024,media_2024,mediana_2024,max_2024,min_2025,media_2025,mediana_2025,max_2025,min_2026,media_2026,mediana_2026,max_2026
56059,Viterbo,,1,560590000001,29,Municipio,5,Edifici pubblici e servizi,0,,True,36.52,36.67,36.6,37.02,40.15,40.41,40.35,41.02,39.85,40.04,39.9,40.57,42.95,43.06,42.98,43.29,41.98,42.2,42.09,42.71,43.66,44.0,43.99,44.67,41.49,41.67,41.61,42.06,47.62,47.82,47.75,48.31
56059,Viterbo,,3,560590000003,1,Residenziale,1,Tessuto urbano continuo,18,,True,36.7,38.8,38.8,40.89,40.37,40.59,40.59,40.81,39.9,40.04,40.04,40.18,42.98,43.17,43.17,43.35,42.26,42.46,42.46,42.66,43.99,44.13,44.13,44.27,41.61,41.78,41.78,41.96,47.79,47.97,47.97,48.15
56059,Viterbo,,4,560590000004,1,Residenziale,1,Tessuto urbano continuo,40,,True,35.87,39.41,38.46,42.48,39.5,41.3,41.41,42.38,38.46,40.03,40.07,41.36,42.7,44.34,44.47,46.09,40.24,42.05,42.13,44.02,42.93,44.49,44.55,45.65,40.26,42.23,42.45,43.58,46.75,48.61,48.8,49.85
56059,Viterbo,,5,560590000005,1,Residenziale,1,Tessuto urbano continuo,5,,True,38.14,40.4,40.4,42.73,41.81,42.27,42.31,42.48,40.05,41.01,40.92,41.77,44.41,45.05,45.03,45.84,39.67,42.09,42.58,43.72,44.62,45.05,44.95,45.53,42.47,43.08,43.16,43.3,48.94,49.23,49.2,49.68
56059,Viterbo,,10,560590000010,1,Residenziale,1,Tessuto urbano continuo,5,,True,37.79,38.01,38.11,38.14,42.19,42.23,42.23,42.26,39.62,39.91,40.04,40.05,44.25,44.36,44.41,44.43,39.67,39.9,39.81,40.24,44.62,44.77,44.78,44.9,42.9,43.03,43.03,43.16,48.94,49.06,49.1,49.15
56059,Viterbo,,11,560590000011,1,Residenziale,1,Tessuto urbano continuo,71,,True,37.96,40.69,41.1,41.32,41.89,42.08,42.06,42.27,38.45,39.26,39.33,39.7,43.84,44.31,44.34,44.56,39.78,40.25,39.96,41.22,43.42,43.75,43.69,44.47,42.83,43.07,43.04,43.32,48.36,48.76,48.8,49.03
56059,Viterbo,,12,560590000012,1,Residenziale,1,Tessuto urbano continuo,27,,True,37.09,39.29,39.4,41.19,41.69,42.02,42.04,42.17,38.69,39.11,39.1,39.57,43.78,44.23,44.26,44.42,39.18,40.4,40.47,41.31,43.48,43.85,43.81,44.58,42.19,42.87,42.88,43.1,48.28,48.65,48.65,48.9
56059,Viterbo,,13,560590000013,1,Residenziale,1,Tessuto urbano continuo,75,,True,37.7,40.13,40.93,41.2,42.25,42.36,42.29,42.57,39.23,39.56,39.63,39.86,44.25,44.45,44.46,44.7,40.36,41.18,41.42,41.75,43.98,44.5,44.51,45.15,42.97,43.09,43.11,43.21,48.85,49.08,49.05,49.37
56059,Viterbo,,17,560590000017,1,Residenziale,1,Tessuto urbano continuo,6,,True,38.06,38.06,38.06,38.06,42.79,42.79,42.79,42.79,40.08,40.08,40.08,40.08,45.0,45.0,45.0,45.0,42.36,42.36,42.36,42.36,45.67,45.67,45.67,45.67,43.45,43.45,43.45,43.45,49.58,49.58,49.58,49.58
56059,Viterbo,,18,560590000018,1,Residenziale,1,Tessuto urbano continuo,42,,True,37.05,37.11,37.05,37.23,41.72,41.81,41.72,41.97,38.63,38.77,38.63,39.05,43.87,43.93,43.87,44.04,39.39,39.44,39.39,39.53,43.86,44.08,43.86,44.52,42.33,42.37,42.33,42.44,48.25,48.41,48.25,48.73
56059,Viterbo,,19,560590000019,1,Residenziale,1,Tessuto urbano continuo,22,,True,37.79,37.9,37.92,38.0,42.59,42.71,42.69,42.84,39.67,39.79,39.82,39.86,44.69,44.8,44.83,44.88,40.39,41.15,41.4,41.67,45.22,45.49,45.51,45.75,43.21,43.33,43.38,43.4,49.28,49.45,49.44,49.62
